sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
527.0,804.0,602.0,804.0,527.0,804.0,5625.0,25921.0,31546.0,75.0,161.0,177.61193653580833,0.42226891650876885,1.1348494389852624,114.97791676335524
516.0,800.0,602.0,800.0,516.0,800.0,7396.0,25921.0,33317.0,86.0,161.0,182.52944967867515,0.47115684702602456,1.0801944630861096,118.10941621176593
522.0,797.0,603.0,797.0,522.0,797.0,6561.0,27889.0,34450.0,81.0,167.0,185.60711193270586,0.4364056913366959,1.1191963276482766,115.8747739792129
522.0,798.0,603.0,798.0,522.0,798.0,6561.0,27889.0,34450.0,81.0,167.0,185.60711193270586,0.4364056913366959,1.1191963276482766,115.8747739792129
522.0,795.0,608.0,795.0,522.0,795.0,7396.0,27889.0,35285.0,86.0,167.0,187.8430195668713,0.45782909686129897,1.0952445182357806,117.24711157025064
523.0,799.0,604.0,799.0,523.0,799.0,6561.0,27889.0,34450.0,81.0,167.0,185.60711193270586,0.4364056913366959,1.1191963276482766,115.8747739792129
528.0,797.0,609.0,797.0,528.0,797.0,6561.0,28224.0,34785.0,81.0,168.0,186.50737250843463,0.43429918566000303,1.121536214183016,115.74070835623284
528.0,790.0,609.0,790.0,528.0,790.0,6561.0,30276.0,36837.0,81.0,174.0,191.92967462067975,0.4220295801578592,1.135113453763956,114.96278983080701
516.0,789.0,608.0,789.0,516.0,789.0,8464.0,30276.0,38740.0,92.0,174.0,196.82479518597245,0.46742078361149875,1.0844253569524496,117.86700384965685
521.0,783.0,613.0,783.0,521.0,783.0,8464.0,31684.0,40148.0,92.0,178.0,200.3696583817021,0.45915135426712644,1.0937566613178453,117.33235949216768
515.0,786.0,613.0,786.0,515.0,786.0,9604.0,32041.0,41645.0,98.0,179.0,204.07106605298068,0.4802248642860392,1.069885273187839,118.70008928313572
516.0,782.0,619.0,782.0,516.0,782.0,10609.0,31684.0,42293.0,103.0,178.0,205.65261972559455,0.5008445802316279,1.0462220390835817,120.0558927269397
516.0,785.0,618.0,785.0,516.0,785.0,10404.0,31329.0,41733.0,102.0,177.0,204.2865634347986,0.4992986238791714,1.0480072414144943,119.95360816780149
520.0,788.0,618.0,788.0,520.0,788.0,9604.0,29929.0,39533.0,98.0,173.0,198.82907232092595,0.4928856673526103,1.0553931769778238,119.53042523226713
520.0,790.0,618.0,790.0,520.0,790.0,9604.0,29584.0,39188.0,98.0,172.0,197.9595918363139,0.4950505256700715,1.0529033447245055,119.67308211207782
515.0,789.0,624.0,789.0,515.0,789.0,11881.0,29584.0,41465.0,109.0,172.0,203.62956563328422,0.5352857266134807,1.0059503462164108,122.3632907620757
520.0,789.0,623.0,789.0,520.0,789.0,10609.0,29929.0,40538.0,103.0,173.0,201.34050759844627,0.5115711747654045,1.0337839683657384,120.76854168435739
520.0,790.0,623.0,790.0,520.0,790.0,10609.0,29584.0,40193.0,103.0,172.0,200.48191938426766,0.5137620405687451,1.031232258308811,120.91474390116042
519.0,789.0,629.0,789.0,519.0,789.0,12100.0,29929.0,42029.0,110.0,173.0,205.00975586542216,0.5365598311926632,1.0044412207391593,122.44975728267788
518.0,787.0,628.0,787.0,518.0,787.0,12100.0,32400.0,44500.0,110.0,180.0,210.95023109728987,0.521450009453975,1.0222469243443684,121.42956561483852
518.0,793.0,628.0,793.0,518.0,793.0,12100.0,30276.0,42376.0,110.0,174.0,205.854317418897,0.5343584792353848,1.007047726376126,122.30041551040263
518.0,793.0,634.0,793.0,518.0,793.0,13456.0,30276.0,43732.0,116.0,174.0,209.1219739769114,0.554700196225229,0.9827937232473292,123.69006752597977
518.0,797.0,629.0,797.0,518.0,797.0,12321.0,28561.0,40882.0,111.0,169.0,202.19297712828703,0.5489804916892486,0.9896523262638292,123.29709851977864
518.0,792.0,634.0,792.0,518.0,792.0,13456.0,30625.0,44081.0,116.0,175.0,209.95475703112803,0.5524999844742825,0.9854357250261256,123.53869197458869
517.0,793.0,632.0,793.0,517.0,793.0,13225.0,29584.0,42809.0,115.0,172.0,206.90335908341362,0.5558150457752474,0.9814532414765031,123.76687147396234
522.0,792.0,633.0,792.0,522.0,792.0,12321.0,30276.0,42597.0,111.0,174.0,206.39040675380238,0.5378156947595386,1.0029522825314567,122.535067157935
517.0,796.0,636.0,796.0,517.0,796.0,14161.0,28900.0,43061.0,119.0,170.0,207.51144546747295,0.5734623443633283,0.960070362405688,124.99202019855866
521.0,793.0,635.0,793.0,521.0,793.0,12996.0,28900.0,41896.0,114.0,170.0,204.68512403201166,0.5569530298751512,0.9800837027813981,123.8453402610717
522.0,790.0,636.0,790.0,522.0,790.0,12996.0,29584.0,42580.0,114.0,172.0,206.3492185592182,0.5524615057715095,0.9854818888152165,123.53604698430745
527.0,789.0,640.0,789.0,527.0,789.0,12769.0,30625.0,43394.0,113.0,175.0,208.3122656014283,0.5424548558086693,0.9974398130737103,122.85090839255864
526.0,795.0,640.0,795.0,526.0,795.0,12996.0,29241.0,42237.0,114.0,171.0,205.5164227014474,0.554700196225229,0.9827937232473292,123.69006752597977
526.0,789.0,640.0,789.0,526.0,789.0,12996.0,30976.0,43972.0,114.0,176.0,209.69501663129716,0.543646681887744,0.9960204650959164,122.93223104134667
527.0,792.0,640.0,792.0,527.0,792.0,12769.0,28561.0,41330.0,113.0,169.0,203.29781110479277,0.5558348089726973,0.9814294676134927,123.76823361597556
526.0,792.0,639.0,792.0,526.0,792.0,12769.0,30976.0,43745.0,113.0,176.0,209.15305400591214,0.5402742051129974,1.0000333944418587,122.70230712633997
526.0,792.0,639.0,792.0,526.0,792.0,12769.0,28900.0,41669.0,113.0,170.0,204.1298606279836,0.5535691821488911,0.9841524180634289,123.61222004737095
531.0,790.0,643.0,790.0,531.0,790.0,12544.0,30276.0,42820.0,112.0,174.0,206.92993983471797,0.5412459892921161,0.9988781269336345,122.76849907876982
531.0,783.0,643.0,783.0,531.0,783.0,12544.0,32400.0,44944.0,112.0,180.0,212.0,0.5283018867924528,1.014197008784674,121.89079180184571
531.0,788.0,644.0,788.0,531.0,788.0,12769.0,30276.0,43045.0,113.0,174.0,207.4728897952694,0.544649472572086,0.9948252282265708,123.00071306947859
531.0,790.0,645.0,790.0,531.0,790.0,12996.0,30976.0,43972.0,114.0,176.0,209.69501663129716,0.543646681887744,0.9960204650959164,122.93223104134667
531.0,790.0,644.0,790.0,531.0,790.0,12769.0,30976.0,43745.0,113.0,176.0,209.15305400591214,0.5402742051129974,1.0000333944418587,122.70230712633997
531.0,789.0,644.0,789.0,531.0,789.0,12769.0,30976.0,43745.0,113.0,176.0,209.15305400591214,0.5402742051129974,1.0000333944418587,122.70230712633997
526.0,790.0,645.0,790.0,526.0,790.0,14161.0,30976.0,45137.0,119.0,176.0,212.4547010541306,0.560119401498583,0.9762664008062047,124.06405555337724
531.0,791.0,644.0,791.0,531.0,791.0,12769.0,30625.0,43394.0,113.0,175.0,208.3122656014283,0.5424548558086693,0.9974398130737103,122.85090839255864
531.0,789.0,645.0,789.0,531.0,789.0,12996.0,30976.0,43972.0,114.0,176.0,209.69501663129716,0.543646681887744,0.9960204650959164,122.93223104134667
531.0,790.0,639.0,790.0,531.0,790.0,11664.0,30976.0,42640.0,108.0,176.0,206.49455198624491,0.5230162198525903,1.0204103791181054,121.53479190518829
531.0,785.0,644.0,785.0,531.0,785.0,12769.0,32761.0,45530.0,113.0,181.0,213.37759957408838,0.5295776137024376,1.0126937823990438,121.97692032939501
524.0,791.0,638.0,791.0,524.0,791.0,12996.0,30976.0,43972.0,114.0,176.0,209.69501663129716,0.543646681887744,0.9960204650959164,122.93223104134667
530.0,790.0,638.0,790.0,530.0,790.0,11664.0,30625.0,42289.0,108.0,175.0,205.6428943581567,0.5251822599418507,1.0178670537805543,121.68051371295866
529.0,789.0,637.0,789.0,529.0,789.0,11664.0,30625.0,42289.0,108.0,175.0,205.6428943581567,0.5251822599418507,1.0178670537805543,121.68051371295866
530.0,792.0,637.0,792.0,530.0,792.0,11449.0,28900.0,40349.0,107.0,170.0,200.8706051168264,0.532681224999391,1.009030795118809,122.18679404096257
524.0,793.0,638.0,793.0,524.0,793.0,12996.0,29241.0,42237.0,114.0,171.0,205.5164227014474,0.554700196225229,0.9827937232473292,123.69006752597977
524.0,790.0,637.0,790.0,524.0,790.0,12769.0,30625.0,43394.0,113.0,175.0,208.3122656014283,0.5424548558086693,0.9974398130737103,122.85090839255864
524.0,790.0,637.0,790.0,524.0,790.0,12769.0,30976.0,43745.0,113.0,176.0,209.15305400591214,0.5402742051129974,1.0000333944418587,122.70230712633997
518.0,792.0,636.0,792.0,518.0,792.0,13924.0,30625.0,44549.0,118.0,175.0,211.06634028191232,0.5590659308461615,0.9775375298660234,123.9912252230332
518.0,792.0,637.0,792.0,518.0,792.0,14161.0,30625.0,44786.0,119.0,175.0,211.62703040963365,0.562310021407279,0.9736196687022192,124.2157021324374
513.0,792.0,637.0,792.0,513.0,792.0,15376.0,30276.0,45652.0,124.0,174.0,213.66328650472454,0.5803523947819558,0.9516349796644341,125.47533202821
507.0,792.0,637.0,792.0,507.0,792.0,16900.0,30625.0,47525.0,130.0,175.0,218.0022935659164,0.5963240013375936,0.9318823417910095,126.6070748126075
507.0,792.0,637.0,792.0,507.0,792.0,16900.0,30625.0,47525.0,130.0,175.0,218.0022935659164,0.5963240013375936,0.9318823417910095,126.6070748126075
503.0,793.0,633.0,793.0,503.0,793.0,16900.0,30625.0,47525.0,130.0,175.0,218.0022935659164,0.5963240013375936,0.9318823417910095,126.6070748126075
498.0,793.0,634.0,793.0,498.0,793.0,18496.0,30976.0,49472.0,136.0,176.0,222.4230203913255,0.6114475010757654,0.9129077216126866,127.69424046668917
498.0,793.0,632.0,793.0,498.0,793.0,17956.0,30625.0,48581.0,134.0,175.0,220.41097976280582,0.6079551941750063,0.9173136983238642,127.44179659650575
498.0,789.0,631.0,789.0,498.0,789.0,17689.0,32400.0,50089.0,133.0,180.0,223.80571931923456,0.5942654209398909,0.9344443365954263,126.46028332317997
499.0,789.0,632.0,789.0,499.0,789.0,17689.0,32400.0,50089.0,133.0,180.0,223.80571931923456,0.5942654209398909,0.9344443365954263,126.46028332317997
499.0,782.0,627.0,782.0,499.0,782.0,16384.0,34596.0,50980.0,128.0,186.0,225.78751072634643,0.5669046954290377,0.9680527763120192,124.53466157139934
499.0,786.0,628.0,786.0,499.0,786.0,16641.0,32761.0,49402.0,129.0,181.0,222.26560687609768,0.5803866905594227,0.9515928655351686,125.47774499007478
500.0,788.0,622.0,788.0,500.0,788.0,14884.0,32400.0,47284.0,122.0,180.0,217.4488445588985,0.5610514981005333,0.9751408114291861,124.12854707414516
495.0,789.0,621.0,789.0,495.0,789.0,15876.0,32041.0,47917.0,126.0,179.0,218.89952032839176,0.5756065605396282,0.9574506079198867,125.14212107395554
511.0,792.0,621.0,792.0,511.0,792.0,12100.0,32400.0,44500.0,110.0,180.0,210.95023109728987,0.521450009453975,1.0222469243443684,121.42956561483852
506.0,795.0,617.0,795.0,506.0,795.0,12321.0,30625.0,42946.0,111.0,175.0,207.23416706711276,0.535625961543555,1.0055474930900252,122.38637254598125
505.0,794.0,616.0,794.0,505.0,794.0,12321.0,30625.0,42946.0,111.0,175.0,207.23416706711276,0.535625961543555,1.0055474930900252,122.38637254598125
501.0,797.0,616.0,797.0,501.0,797.0,13225.0,29584.0,42809.0,115.0,172.0,206.90335908341362,0.5558150457752474,0.9814532414765031,123.76687147396234
500.0,792.0,617.0,792.0,500.0,792.0,13689.0,30976.0,44665.0,117.0,176.0,211.3409567499873,0.5536077899865334,0.9841060584519555,123.61487625744826
495.0,800.0,612.0,800.0,495.0,800.0,13689.0,28561.0,42250.0,117.0,169.0,205.54804791094466,0.5692099788303082,0.9652516631899266,124.69515353123396
494.0,797.0,611.0,797.0,494.0,797.0,13689.0,28224.0,41913.0,117.0,168.0,204.7266470198738,0.5714937537595789,0.9624713181763237,124.85445556610365
495.0,800.0,612.0,800.0,495.0,800.0,13689.0,28561.0,42250.0,117.0,169.0,205.54804791094466,0.5692099788303082,0.9652516631899266,124.69515353123396
495.0,801.0,612.0,801.0,495.0,801.0,13689.0,28561.0,42250.0,117.0,169.0,205.54804791094466,0.5692099788303082,0.9652516631899266,124.69515353123396
496.0,800.0,612.0,800.0,496.0,800.0,13456.0,28561.0,42017.0,116.0,169.0,204.98048687619024,0.5659075249931711,0.9692627493613979,124.46533522234537
496.0,801.0,606.0,801.0,496.0,801.0,12100.0,26569.0,38669.0,110.0,163.0,196.64434901618708,0.5593855127306261,0.9771520341617123,124.01331249991065
501.0,809.0,606.0,809.0,501.0,809.0,11025.0,24964.0,35989.0,105.0,158.0,189.70766985021982,0.5534831569166434,0.9842557105098013,123.60630182613824
502.0,802.0,605.0,802.0,502.0,802.0,10609.0,27556.0,38165.0,103.0,166.0,195.35864454894235,0.5272354353082945,1.0154525615342276,121.81885392834025
502.0,804.0,607.0,804.0,502.0,804.0,11025.0,26569.0,37594.0,105.0,163.0,193.89172236070317,0.5415393639376984,0.9985291912018213,122.78849162352402
502.0,803.0,607.0,803.0,502.0,803.0,11025.0,26896.0,37921.0,105.0,164.0,194.7331507473753,0.5391994100491656,1.001310125315338,122.62915583571557
502.0,804.0,607.0,804.0,502.0,804.0,11025.0,24964.0,35989.0,105.0,158.0,189.70766985021982,0.5534831569166434,0.9842557105098013,123.60630182613824
502.0,800.0,606.0,800.0,502.0,800.0,10816.0,28224.0,39040.0,104.0,168.0,197.5854245636555,0.5263546146162954,1.0164888305933455,121.7594800848128
502.0,802.0,608.0,802.0,502.0,802.0,11236.0,26896.0,38132.0,106.0,164.0,195.27416623813812,0.5428265399465709,0.9969973134713411,122.87626175221061
501.0,798.0,608.0,798.0,501.0,798.0,11449.0,27556.0,39005.0,107.0,166.0,197.4968354176846,0.5417808329622421,0.9982419324418016,122.80495033810132
501.0,797.0,608.0,797.0,501.0,797.0,11449.0,27889.0,39338.0,107.0,167.0,198.33809518093088,0.5394828457054148,1.0009735383203073,122.6484408499698
501.0,798.0,608.0,798.0,501.0,798.0,11449.0,27556.0,39005.0,107.0,166.0,197.4968354176846,0.5417808329622421,0.9982419324418016,122.80495033810132
502.0,799.0,608.0,799.0,502.0,799.0,11236.0,27556.0,38792.0,106.0,166.0,196.95684806576287,0.5381889537783786,1.0025094781323536,122.56043798115344
507.0,805.0,608.0,805.0,507.0,805.0,10201.0,25600.0,35801.0,101.0,160.0,189.21152184790438,0.5337941316342657,1.0077152487416778,122.26216929612592
507.0,800.0,607.0,800.0,507.0,800.0,10000.0,27225.0,37225.0,100.0,165.0,192.93781381574738,0.5183017160933443,1.0259324113433528,121.21840276434638
507.0,801.0,608.0,801.0,507.0,801.0,10201.0,27225.0,37426.0,101.0,165.0,193.45800577903205,0.5220771277636467,1.021511810534124,121.4716845336273
508.0,801.0,608.0,801.0,508.0,801.0,10000.0,25281.0,35281.0,100.0,159.0,187.83237207680682,0.5323895923494425,1.0093753485109525,122.16705258577585
507.0,797.0,607.0,797.0,507.0,797.0,10000.0,27225.0,37225.0,100.0,165.0,192.93781381574738,0.5183017160933443,1.0259324113433528,121.21840276434638
507.0,797.0,608.0,797.0,507.0,797.0,10201.0,27225.0,37426.0,101.0,165.0,193.45800577903205,0.5220771277636467,1.021511810534124,121.4716845336273
507.0,792.0,607.0,792.0,507.0,792.0,10000.0,28900.0,38900.0,100.0,170.0,197.2308292331602,0.5070201265633939,1.0390722595360908,120.46554491945989
513.0,795.0,606.0,795.0,513.0,795.0,8649.0,26569.0,35218.0,93.0,163.0,187.66459442313567,0.49556497476721045,1.0523111509848486,119.70701231401424
507.0,793.0,601.0,793.0,507.0,793.0,8836.0,26896.0,35732.0,94.0,164.0,189.02909828912584,0.4972779368403064,1.0503378773437473,119.82007256547375
507.0,791.0,602.0,791.0,507.0,791.0,9025.0,29241.0,38266.0,95.0,171.0,195.616972678753,0.48564293117863216,1.0636978224025595,119.05460409907715
503.0,791.0,596.0,791.0,503.0,791.0,8649.0,28561.0,37210.0,93.0,169.0,192.89893727027115,0.4821177416322283,1.0677259979967642,118.82380663839163
497.0,791.0,595.0,791.0,497.0,791.0,9604.0,28224.0,37828.0,98.0,168.0,194.49421585229726,0.5038710255240861,1.042721878368537,120.25643716352926
497.0,793.0,595.0,793.0,497.0,793.0,9604.0,28224.0,37828.0,98.0,168.0,194.49421585229726,0.5038710255240861,1.042721878368537,120.25643716352926
