sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
497.0,791.0,584.0,791.0,497.0,791.0,7569.0,30276.0,37845.0,87.0,174.0,194.5379140424817,0.4472135954999579,1.1071487177940904,116.56505117707799
502.0,792.0,583.0,792.0,502.0,792.0,6561.0,30276.0,36837.0,81.0,174.0,191.92967462067975,0.4220295801578592,1.135113453763956,114.96278983080701
503.0,792.0,584.0,792.0,503.0,792.0,6561.0,29929.0,36490.0,81.0,173.0,191.02355875650522,0.4240314677795813,1.1329041455182642,115.0893738689286
502.0,791.0,583.0,791.0,502.0,791.0,6561.0,30276.0,36837.0,81.0,174.0,191.92967462067975,0.4220295801578592,1.135113453763956,114.96278983080701
503.0,792.0,584.0,792.0,503.0,792.0,6561.0,29929.0,36490.0,81.0,173.0,191.02355875650522,0.4240314677795813,1.1329041455182642,115.0893738689286
503.0,792.0,584.0,792.0,503.0,792.0,6561.0,29929.0,36490.0,81.0,173.0,191.02355875650522,0.4240314677795813,1.1329041455182642,115.0893738689286
497.0,791.0,584.0,791.0,497.0,791.0,7569.0,30276.0,37845.0,87.0,174.0,194.5379140424817,0.4472135954999579,1.1071487177940904,116.56505117707799
498.0,793.0,584.0,793.0,498.0,793.0,7396.0,29584.0,36980.0,86.0,172.0,192.3018460649819,0.4472135954999579,1.1071487177940904,116.56505117707799
504.0,791.0,579.0,791.0,504.0,791.0,5625.0,31684.0,37309.0,75.0,178.0,193.1553778697347,0.3882884381846231,1.1720227510483714,112.84804287161634
504.0,793.0,584.0,793.0,504.0,793.0,6400.0,29584.0,35984.0,80.0,172.0,189.69449122207,0.4217307497155848,1.1354430516425942,114.94390526342458
503.0,792.0,578.0,792.0,503.0,792.0,5625.0,31684.0,37309.0,75.0,178.0,193.1553778697347,0.3882884381846231,1.1720227510483714,112.84804287161634
