sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
589.0,877.0,658.0,877.0,589.0,877.0,4761.0,18769.0,23530.0,69.0,137.0,153.39491516996253,0.4498193432523338,1.1042332741593155,116.73209379275887
584.0,867.0,657.0,867.0,584.0,867.0,5329.0,21609.0,26938.0,73.0,147.0,164.12799883018133,0.44477481307458744,1.1098735066910221,116.4089322732197
590.0,872.0,658.0,872.0,590.0,872.0,4624.0,19881.0,24505.0,68.0,141.0,156.54072952429985,0.43439174077340903,1.1214334603814873,115.74659571538936
585.0,872.0,658.0,872.0,585.0,872.0,5329.0,19881.0,25210.0,73.0,141.0,158.7765725792064,0.45976556121705947,1.0930651419712303,117.37198063218037
587.0,872.0,660.0,872.0,587.0,872.0,5329.0,19881.0,25210.0,73.0,141.0,158.7765725792064,0.45976556121705947,1.0930651419712303,117.37198063218037
587.0,872.0,660.0,872.0,587.0,872.0,5329.0,19881.0,25210.0,73.0,141.0,158.7765725792064,0.45976556121705947,1.0930651419712303,117.37198063218037
579.0,873.0,662.0,873.0,579.0,873.0,6889.0,18769.0,25658.0,83.0,137.0,160.18114745499858,0.5181633501740153,1.0260941974606923,121.20913310263902
579.0,869.0,661.0,869.0,579.0,869.0,6724.0,19881.0,26605.0,82.0,141.0,163.11039206623224,0.5027270118184944,1.0440457963946803,120.18058224820996
578.0,868.0,661.0,868.0,578.0,868.0,6889.0,21316.0,28205.0,83.0,146.0,167.94344286098223,0.49421399600998134,1.0538658662343983,119.6179336918704
577.0,868.0,660.0,868.0,577.0,868.0,6889.0,21316.0,28205.0,83.0,146.0,167.94344286098223,0.49421399600998134,1.0538658662343983,119.6179336918704
576.0,870.0,663.0,870.0,576.0,870.0,7569.0,19881.0,27450.0,87.0,141.0,165.6804152578089,0.5251073270466075,1.0179551052023574,121.6754687381092
576.0,870.0,663.0,870.0,576.0,870.0,7569.0,19881.0,27450.0,87.0,141.0,165.6804152578089,0.5251073270466075,1.0179551052023574,121.6754687381092
572.0,869.0,660.0,869.0,572.0,869.0,7744.0,19881.0,27625.0,88.0,141.0,166.20770138594662,0.5294580170846444,1.01283476646691,121.9688425373277
572.0,869.0,660.0,869.0,572.0,869.0,7744.0,19881.0,27625.0,88.0,141.0,166.20770138594662,0.5294580170846444,1.01283476646691,121.9688425373277
575.0,868.0,662.0,868.0,575.0,868.0,7569.0,19881.0,27450.0,87.0,141.0,165.6804152578089,0.5251073270466075,1.0179551052023574,121.6754687381092
575.0,868.0,663.0,868.0,575.0,868.0,7744.0,19881.0,27625.0,88.0,141.0,166.20770138594662,0.5294580170846444,1.01283476646691,121.9688425373277
573.0,870.0,661.0,870.0,573.0,870.0,7744.0,19881.0,27625.0,88.0,141.0,166.20770138594662,0.5294580170846444,1.01283476646691,121.9688425373277
569.0,869.0,662.0,869.0,569.0,869.0,8649.0,19881.0,28530.0,93.0,141.0,168.90825912311098,0.5505947458271756,0.9877197917757521,123.40782458970892
573.0,869.0,660.0,869.0,573.0,869.0,7569.0,19881.0,27450.0,87.0,141.0,165.6804152578089,0.5251073270466075,1.0179551052023574,121.6754687381092
569.0,874.0,661.0,874.0,569.0,874.0,8464.0,18225.0,26689.0,92.0,135.0,163.36768346279504,0.5631468724409737,0.972607318369781,124.27370553387476
570.0,870.0,662.0,870.0,570.0,870.0,8464.0,19881.0,28345.0,92.0,141.0,168.35973390332975,0.5464489511062387,0.9926780800804548,123.12373559624038
570.0,870.0,662.0,870.0,570.0,870.0,8464.0,19600.0,28064.0,92.0,140.0,167.5231327309754,0.5491778866608372,0.9894161429899969,123.3106308245608
577.0,870.0,659.0,870.0,577.0,870.0,6724.0,19881.0,26605.0,82.0,141.0,163.11039206623224,0.5027270118184944,1.0440457963946803,120.18058224820996
572.0,870.0,659.0,870.0,572.0,870.0,7569.0,19600.0,27169.0,87.0,140.0,164.83021567661677,0.527815847615505,1.0147693530445225,121.85799889132784
572.0,869.0,660.0,869.0,572.0,869.0,7744.0,19881.0,27625.0,88.0,141.0,166.20770138594662,0.5294580170846444,1.01283476646691,121.9688425373277
572.0,873.0,660.0,873.0,572.0,873.0,7744.0,18769.0,26513.0,88.0,137.0,162.82813024781683,0.5404471565574578,0.9998278506345585,122.71408391900333
570.0,871.0,658.0,871.0,570.0,871.0,7744.0,18496.0,26240.0,88.0,136.0,161.9876538505327,0.5432512781572743,0.9964914966201949,122.9052429229879
570.0,871.0,657.0,871.0,570.0,871.0,7569.0,18496.0,26065.0,87.0,136.0,161.4465855941215,0.5388779185378312,1.001691816826431,122.60728652305396
560.0,873.0,652.0,873.0,560.0,873.0,8464.0,18496.0,26960.0,92.0,136.0,164.19500601419034,0.5603093677042104,0.9760370693115438,124.07719528013074
561.0,874.0,652.0,874.0,561.0,874.0,8281.0,18225.0,26506.0,91.0,135.0,162.8066337714775,0.5589452830756981,0.9776830352050424,123.98288838121078
555.0,870.0,647.0,870.0,555.0,870.0,8464.0,18225.0,26689.0,92.0,135.0,163.36768346279504,0.5631468724409737,0.972607318369781,124.27370553387476
551.0,875.0,643.0,875.0,551.0,875.0,8464.0,16900.0,25364.0,92.0,130.0,159.26079241294764,0.5776688575142399,0.9549263748553701,125.28674897505971
544.0,873.0,640.0,873.0,544.0,873.0,9216.0,16900.0,26116.0,96.0,130.0,161.60445538412608,0.5940430279091785,0.9347208240911457,126.44444175658711
540.0,872.0,631.0,872.0,540.0,872.0,8281.0,16900.0,25181.0,91.0,130.0,158.68522300453813,0.5734623443633283,0.960070362405688,124.99202019855866
541.0,876.0,633.0,876.0,541.0,876.0,8464.0,15876.0,24340.0,92.0,126.0,156.01281998605114,0.5896951289530282,0.9401150284745128,126.13537661158921
535.0,876.0,627.0,876.0,535.0,876.0,8464.0,15876.0,24340.0,92.0,126.0,156.01281998605114,0.5896951289530282,0.9401150284745128,126.13537661158921
526.0,874.0,622.0,874.0,526.0,874.0,9216.0,17161.0,26377.0,96.0,131.0,162.40997506310995,0.5910966981104204,0.9383785080004181,126.23487190579289
522.0,874.0,612.0,874.0,522.0,874.0,8100.0,17161.0,25261.0,90.0,131.0,158.93709447451215,0.5662617672580694,0.968833024718584,124.48995663073137
518.0,879.0,608.0,879.0,518.0,879.0,8100.0,15876.0,23976.0,90.0,126.0,154.8418548067673,0.5812381937190964,0.9505468408120752,125.53767779197437
513.0,879.0,598.0,879.0,513.0,879.0,7225.0,15876.0,23101.0,85.0,126.0,151.99013125857877,0.5592468359369376,0.9773193253807084,124.00372741911258
506.0,878.0,596.0,878.0,506.0,878.0,8100.0,15625.0,23725.0,90.0,125.0,154.02921800749363,0.584304725845076,0.9467732738181397,125.75388725443675
496.0,882.0,586.0,882.0,496.0,882.0,8100.0,14400.0,22500.0,90.0,120.0,150.0,0.6,0.9272952180016123,126.86989764584402
492.0,884.0,582.0,884.0,492.0,884.0,8100.0,14400.0,22500.0,90.0,120.0,150.0,0.6,0.9272952180016123,126.86989764584402
482.0,884.0,572.0,884.0,482.0,884.0,8100.0,14400.0,22500.0,90.0,120.0,150.0,0.6,0.9272952180016123,126.86989764584402
478.0,886.0,563.0,886.0,478.0,886.0,7225.0,13225.0,20450.0,85.0,115.0,143.0034964607509,0.5943910610838058,0.9342881110069455,126.46923439005187
473.0,886.0,553.0,886.0,473.0,886.0,6400.0,13225.0,19625.0,80.0,115.0,140.089257261219,0.5710644881985998,0.9629943306809361,124.8244891569568
466.0,887.0,550.0,887.0,466.0,887.0,7056.0,12769.0,19825.0,84.0,113.0,140.80127840328723,0.5965854923518854,0.9315565558439102,126.62574097240096
456.0,882.0,535.0,882.0,456.0,882.0,6241.0,13924.0,20165.0,79.0,118.0,142.00352108310554,0.5563242333531038,0.9808406007308502,123.801973203046
457.0,882.0,528.0,882.0,457.0,882.0,5041.0,12996.0,18037.0,71.0,114.0,134.30189872075525,0.5286596889268516,1.0137755421054992,121.9149400637678
452.0,882.0,519.0,882.0,452.0,882.0,4489.0,12100.0,16589.0,67.0,110.0,128.79829191413992,0.5201932339651199,1.0237191352792696,121.34521414171567
440.0,880.0,517.0,880.0,440.0,880.0,5929.0,13225.0,19154.0,77.0,115.0,138.3979768638256,0.5563665144885961,0.9807897179140215,123.80488857370003
430.0,880.0,507.0,880.0,430.0,880.0,5929.0,12100.0,18029.0,77.0,110.0,134.27211177307072,0.5734623443633284,0.9600703624056879,124.99202019855866
428.0,879.0,501.0,879.0,428.0,879.0,5329.0,11449.0,16778.0,73.0,107.0,129.52991932368366,0.5635763565758082,0.9720874942116975,124.3034892642219
423.0,874.0,495.0,874.0,423.0,874.0,5184.0,11449.0,16633.0,72.0,107.0,128.96898852049665,0.5582737433701533,0.9784926745004374,123.9364994666567
415.0,872.0,489.0,872.0,415.0,872.0,5476.0,11664.0,17140.0,74.0,108.0,130.91982279242512,0.5652314402940176,0.9700825434839028,124.41836447905621
