sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
578.0,867.0,655.0,867.0,578.0,867.0,5929.0,21316.0,27245.0,77.0,146.0,165.0605949341029,0.46649534996975317,1.0854718968313959,117.8070415315011
577.0,868.0,655.0,868.0,577.0,868.0,6084.0,19600.0,25684.0,78.0,140.0,160.262285020525,0.48670215821526835,1.0624857017840694,119.12405349477743
578.0,868.0,655.0,868.0,578.0,868.0,5929.0,19600.0,25529.0,77.0,140.0,159.7779709471866,0.4819187497721559,1.0679531158670357,118.81079374297306
577.0,868.0,655.0,868.0,577.0,868.0,6084.0,19881.0,25965.0,78.0,141.0,161.13658802394943,0.48406138516726577,1.065506138695502,118.9509952074668
580.0,868.0,653.0,868.0,580.0,868.0,5329.0,19600.0,24929.0,73.0,140.0,157.88920165736477,0.4623495415374716,1.09015318721971,117.53882334957554
580.0,868.0,653.0,868.0,580.0,868.0,5329.0,19600.0,24929.0,73.0,140.0,157.88920165736477,0.4623495415374716,1.09015318721971,117.53882334957554
580.0,868.0,652.0,868.0,580.0,868.0,5184.0,19881.0,25065.0,72.0,141.0,158.31929762350515,0.4547771565486682,1.09867434439112,117.05059700708611
580.0,868.0,653.0,868.0,580.0,868.0,5329.0,19881.0,25210.0,73.0,141.0,158.7765725792064,0.45976556121705947,1.0930651419712303,117.37198063218037
580.0,869.0,653.0,869.0,580.0,869.0,5329.0,19600.0,24929.0,73.0,140.0,157.88920165736477,0.4623495415374716,1.09015318721971,117.53882334957554
580.0,864.0,653.0,864.0,580.0,864.0,5329.0,21025.0,26354.0,73.0,145.0,162.33915116200404,0.44967587595151765,1.1043939038262336,116.72289039077987
581.0,868.0,653.0,868.0,581.0,868.0,5184.0,19600.0,24784.0,72.0,140.0,157.42934923323543,0.45734801262076136,1.0957855705297999,117.21611155730747
581.0,868.0,653.0,868.0,581.0,868.0,5184.0,19881.0,25065.0,72.0,141.0,158.31929762350515,0.4547771565486682,1.09867434439112,117.05059700708611
578.0,873.0,651.0,873.0,578.0,873.0,5329.0,18225.0,23554.0,73.0,135.0,153.47312468311839,0.4756533116187332,1.075089734642608,118.40189560713895
578.0,873.0,651.0,873.0,578.0,873.0,5329.0,18225.0,23554.0,73.0,135.0,153.47312468311839,0.4756533116187332,1.075089734642608,118.40189560713895
578.0,868.0,651.0,868.0,578.0,868.0,5329.0,19600.0,24929.0,73.0,140.0,157.88920165736477,0.4623495415374716,1.09015318721971,117.53882334957554
578.0,873.0,651.0,873.0,578.0,873.0,5329.0,18225.0,23554.0,73.0,135.0,153.47312468311839,0.4756533116187332,1.075089734642608,118.40189560713895
578.0,871.0,656.0,871.0,578.0,871.0,6084.0,18225.0,24309.0,78.0,135.0,155.9134375222354,0.5002775978746292,1.0468769791096975,120.01836742760909
578.0,871.0,656.0,871.0,578.0,871.0,6084.0,18225.0,24309.0,78.0,135.0,155.9134375222354,0.5002775978746292,1.0468769791096975,120.01836742760909
579.0,870.0,651.0,870.0,579.0,870.0,5184.0,19600.0,24784.0,72.0,140.0,157.42934923323543,0.45734801262076136,1.0957855705297999,117.21611155730747
574.0,870.0,651.0,870.0,574.0,870.0,5929.0,19600.0,25529.0,77.0,140.0,159.7779709471866,0.4819187497721559,1.0679531158670357,118.81079374297306
572.0,869.0,654.0,869.0,572.0,869.0,6724.0,19600.0,26324.0,82.0,140.0,162.24672569885655,0.5054031115068469,1.04094725733883,120.35811545876663
572.0,869.0,650.0,869.0,572.0,869.0,6084.0,19600.0,25684.0,78.0,140.0,160.262285020525,0.48670215821526835,1.0624857017840694,119.12405349477743
573.0,868.0,650.0,868.0,573.0,868.0,5929.0,19600.0,25529.0,77.0,140.0,159.7779709471866,0.4819187497721559,1.0679531158670357,118.81079374297306
568.0,868.0,650.0,868.0,568.0,868.0,6724.0,19600.0,26324.0,82.0,140.0,162.24672569885655,0.5054031115068469,1.04094725733883,120.35811545876663
