sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
461.0,1068.0,654.0,1068.0,461.0,1068.0,37249.0,1681.0,38930.0,193.0,41.0,197.3068675946177,0.9781717299193737,0.20932342356645164,168.00665127641304
461.0,1068.0,654.0,1068.0,461.0,1068.0,37249.0,1681.0,38930.0,193.0,41.0,197.3068675946177,0.9781717299193737,0.20932342356645164,168.00665127641304
464.0,1072.0,653.0,1072.0,464.0,1072.0,35721.0,1369.0,37090.0,189.0,37.0,192.5876423865249,0.9813713780278568,0.19332226262213917,168.92345026583172
464.0,1072.0,653.0,1072.0,464.0,1072.0,35721.0,1369.0,37090.0,189.0,37.0,192.5876423865249,0.9813713780278568,0.19332226262213917,168.92345026583172
465.0,1068.0,653.0,1068.0,465.0,1068.0,35344.0,1681.0,37025.0,188.0,41.0,192.41881404893857,0.9770354366293167,0.21472308134726814,167.6972736747573
465.0,1068.0,653.0,1068.0,465.0,1068.0,35344.0,1681.0,37025.0,188.0,41.0,192.41881404893857,0.9770354366293167,0.21472308134726814,167.6972736747573
464.0,1070.0,654.0,1070.0,464.0,1070.0,36100.0,1369.0,37469.0,190.0,37.0,193.56910910576616,0.9815615770395679,0.19232974705437758,168.9803172189655
465.0,1071.0,654.0,1071.0,465.0,1071.0,35721.0,1369.0,37090.0,189.0,37.0,192.5876423865249,0.9813713780278568,0.19332226262213917,168.92345026583172
464.0,1071.0,653.0,1071.0,464.0,1071.0,35721.0,1369.0,37090.0,189.0,37.0,192.5876423865249,0.9813713780278568,0.19332226262213917,168.92345026583172
464.0,1071.0,653.0,1071.0,464.0,1071.0,35721.0,1369.0,37090.0,189.0,37.0,192.5876423865249,0.9813713780278568,0.19332226262213917,168.92345026583172
464.0,1071.0,654.0,1071.0,464.0,1071.0,36100.0,1369.0,37469.0,190.0,37.0,193.56910910576616,0.9815615770395679,0.19232974705437758,168.9803172189655
464.0,1071.0,654.0,1071.0,464.0,1071.0,36100.0,1369.0,37469.0,190.0,37.0,193.56910910576616,0.9815615770395679,0.19232974705437758,168.9803172189655
464.0,1071.0,654.0,1071.0,464.0,1071.0,36100.0,1369.0,37469.0,190.0,37.0,193.56910910576616,0.9815615770395679,0.19232974705437758,168.9803172189655
464.0,1071.0,654.0,1071.0,464.0,1071.0,36100.0,1369.0,37469.0,190.0,37.0,193.56910910576616,0.9815615770395679,0.19232974705437758,168.9803172189655
465.0,1071.0,654.0,1071.0,465.0,1071.0,35721.0,1369.0,37090.0,189.0,37.0,192.5876423865249,0.9813713780278568,0.19332226262213917,168.92345026583172
465.0,1071.0,654.0,1071.0,465.0,1071.0,35721.0,1369.0,37090.0,189.0,37.0,192.5876423865249,0.9813713780278568,0.19332226262213917,168.92345026583172
464.0,1071.0,653.0,1071.0,464.0,1071.0,35721.0,1369.0,37090.0,189.0,37.0,192.5876423865249,0.9813713780278568,0.19332226262213917,168.92345026583172
464.0,1071.0,653.0,1071.0,464.0,1071.0,35721.0,1369.0,37090.0,189.0,37.0,192.5876423865249,0.9813713780278568,0.19332226262213917,168.92345026583172
464.0,1071.0,654.0,1071.0,464.0,1071.0,36100.0,1369.0,37469.0,190.0,37.0,193.56910910576616,0.9815615770395679,0.19232974705437758,168.9803172189655
464.0,1071.0,654.0,1071.0,464.0,1071.0,36100.0,1369.0,37469.0,190.0,37.0,193.56910910576616,0.9815615770395679,0.19232974705437758,168.9803172189655
465.0,1069.0,654.0,1069.0,465.0,1069.0,35721.0,1600.0,37321.0,189.0,40.0,193.18643844742311,0.9783295427926092,0.20856260832903717,168.05024277850615
461.0,1069.0,654.0,1069.0,461.0,1069.0,37249.0,1369.0,38618.0,193.0,37.0,196.51463049859672,0.9821151713250083,0.18941169755401366,169.1475091397466
462.0,1072.0,650.0,1072.0,462.0,1072.0,35344.0,1369.0,36713.0,188.0,37.0,191.60636732634956,0.9811782490494845,0.194324945140239,168.86600078935305
461.0,1072.0,650.0,1072.0,461.0,1072.0,35721.0,1089.0,36810.0,189.0,33.0,191.8593234638338,0.9850967708412004,0.17286060678714465,170.09581678702614
461.0,1072.0,649.0,1072.0,461.0,1072.0,35344.0,1089.0,36433.0,188.0,33.0,190.87430418995638,0.9849413769854748,0.1737617288501074,170.04418629599226
457.0,1072.0,649.0,1072.0,457.0,1072.0,36864.0,1089.0,37953.0,192.0,33.0,194.81529714065064,0.9855488907597534,0.1702119252854747,170.2475750583462
457.0,1072.0,650.0,1072.0,457.0,1072.0,37249.0,841.0,38090.0,193.0,29.0,195.1665955024066,0.9888987380405481,0.14914330458406105,171.45471810469917
453.0,1072.0,645.0,1072.0,453.0,1072.0,36864.0,841.0,37705.0,192.0,29.0,194.17775361765828,0.9887847419331756,0.14990853651111122,171.41087354493052
452.0,1073.0,644.0,1073.0,452.0,1073.0,36864.0,784.0,37648.0,192.0,28.0,194.03092537015846,0.9895329810632816,0.14481249823893874,171.70285503016314
448.0,1073.0,640.0,1073.0,448.0,1073.0,36864.0,784.0,37648.0,192.0,28.0,194.03092537015846,0.9895329810632816,0.14481249823893874,171.70285503016314
450.0,1076.0,638.0,1076.0,450.0,1076.0,35344.0,576.0,35920.0,188.0,24.0,189.52572384771415,0.991949779603849,0.12697278961407937,172.72499504211072
442.0,1080.0,635.0,1080.0,442.0,1080.0,37249.0,400.0,37649.0,193.0,20.0,194.03350226185168,0.9946735885823628,0.10325838066156905,174.0837305887368
