sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
432.0,1077.0,633.0,1077.0,432.0,1077.0,40401.0,841.0,41242.0,201.0,29.0,203.08126452235814,0.9897515680372918,0.14328981136378677,171.79009856162932
432.0,1077.0,633.0,1077.0,432.0,1077.0,40401.0,841.0,41242.0,201.0,29.0,203.08126452235814,0.9897515680372918,0.14328981136378677,171.79009856162932
432.0,1077.0,633.0,1077.0,432.0,1077.0,40401.0,841.0,41242.0,201.0,29.0,203.08126452235814,0.9897515680372918,0.14328981136378677,171.79009856162932
432.0,1077.0,633.0,1077.0,432.0,1077.0,40401.0,841.0,41242.0,201.0,29.0,203.08126452235814,0.9897515680372918,0.14328981136378677,171.79009856162932
432.0,1073.0,633.0,1073.0,432.0,1073.0,40401.0,1156.0,41557.0,201.0,34.0,203.85534086699815,0.9859932987045894,0.1675680275329682,170.39905924102894
432.0,1073.0,629.0,1073.0,432.0,1073.0,38809.0,1156.0,39965.0,197.0,34.0,199.9124808509964,0.9854312205091028,0.17090519277570182,170.20785375708255
432.0,1072.0,629.0,1072.0,432.0,1072.0,38809.0,1156.0,39965.0,197.0,34.0,199.9124808509964,0.9854312205091028,0.17090519277570182,170.20785375708255
432.0,1076.0,629.0,1076.0,432.0,1076.0,38809.0,841.0,39650.0,197.0,29.0,199.12307751739877,0.9893378630750961,0.14615839244646167,171.62574097240096
431.0,1075.0,629.0,1075.0,431.0,1075.0,39204.0,1089.0,40293.0,198.0,33.0,200.73116349984124,0.9863939238321437,0.16514867741462674,170.53767779197437
431.0,1075.0,629.0,1075.0,431.0,1075.0,39204.0,841.0,40045.0,198.0,29.0,200.11246837716035,0.9894435944232176,0.14543060880202527,171.66743990362582
428.0,1076.0,629.0,1076.0,428.0,1076.0,40401.0,841.0,41242.0,201.0,29.0,203.08126452235814,0.9897515680372918,0.14328981136378677,171.79009856162932
428.0,1076.0,629.0,1076.0,428.0,1076.0,40401.0,841.0,41242.0,201.0,29.0,203.08126452235814,0.9897515680372918,0.14328981136378677,171.79009856162932
428.0,1076.0,629.0,1076.0,428.0,1076.0,40401.0,841.0,41242.0,201.0,29.0,203.08126452235814,0.9897515680372918,0.14328981136378677,171.79009856162932
428.0,1076.0,625.0,1076.0,428.0,1076.0,38809.0,841.0,39650.0,197.0,29.0,199.12307751739877,0.9893378630750961,0.14615839244646167,171.62574097240096
428.0,1076.0,625.0,1076.0,428.0,1076.0,38809.0,900.0,39709.0,197.0,30.0,199.27117202445515,0.9886026061804041,0.15112319451714495,171.341278767633
428.0,1077.0,625.0,1077.0,428.0,1077.0,38809.0,841.0,39650.0,197.0,29.0,199.12307751739877,0.9893378630750961,0.14615839244646167,171.62574097240096
428.0,1076.0,625.0,1076.0,428.0,1076.0,38809.0,841.0,39650.0,197.0,29.0,199.12307751739877,0.9893378630750961,0.14615839244646167,171.62574097240096
428.0,1076.0,625.0,1076.0,428.0,1076.0,38809.0,841.0,39650.0,197.0,29.0,199.12307751739877,0.9893378630750961,0.14615839244646167,171.62574097240096
428.0,1076.0,625.0,1076.0,428.0,1076.0,38809.0,900.0,39709.0,197.0,30.0,199.27117202445515,0.9886026061804041,0.15112319451714495,171.341278767633
428.0,1076.0,625.0,1076.0,428.0,1076.0,38809.0,900.0,39709.0,197.0,30.0,199.27117202445515,0.9886026061804041,0.15112319451714495,171.341278767633
428.0,1077.0,625.0,1077.0,428.0,1077.0,38809.0,900.0,39709.0,197.0,30.0,199.27117202445515,0.9886026061804041,0.15112319451714495,171.341278767633
428.0,1077.0,625.0,1077.0,428.0,1077.0,38809.0,676.0,39485.0,197.0,26.0,198.70832896484234,0.9914028316088119,0.1312213036167091,172.4815731205578
428.0,1077.0,625.0,1077.0,428.0,1077.0,38809.0,676.0,39485.0,197.0,26.0,198.70832896484234,0.9914028316088119,0.1312213036167091,172.4815731205578
428.0,1073.0,625.0,1073.0,428.0,1073.0,38809.0,841.0,39650.0,197.0,29.0,199.12307751739877,0.9893378630750961,0.14615839244646167,171.62574097240096
428.0,1077.0,625.0,1077.0,428.0,1077.0,38809.0,625.0,39434.0,197.0,25.0,198.57995870681412,0.9920437152011559,0.12622882121057974,172.76762129172232
428.0,1077.0,625.0,1077.0,428.0,1077.0,38809.0,625.0,39434.0,197.0,25.0,198.57995870681412,0.9920437152011559,0.12622882121057974,172.76762129172232
428.0,1077.0,625.0,1077.0,428.0,1077.0,38809.0,625.0,39434.0,197.0,25.0,198.57995870681412,0.9920437152011559,0.12622882121057974,172.76762129172232
428.0,1077.0,625.0,1077.0,428.0,1077.0,38809.0,625.0,39434.0,197.0,25.0,198.57995870681412,0.9920437152011559,0.12622882121057974,172.76762129172232
428.0,1077.0,625.0,1077.0,428.0,1077.0,38809.0,625.0,39434.0,197.0,25.0,198.57995870681412,0.9920437152011559,0.12622882121057974,172.76762129172232
428.0,1077.0,625.0,1077.0,428.0,1077.0,38809.0,625.0,39434.0,197.0,25.0,198.57995870681412,0.9920437152011559,0.12622882121057974,172.76762129172232
428.0,1073.0,624.0,1073.0,428.0,1073.0,38416.0,841.0,39257.0,196.0,29.0,198.13379318026495,0.9892305439369266,0.14689344414790675,171.58362561218425
428.0,1073.0,624.0,1073.0,428.0,1073.0,38416.0,1089.0,39505.0,196.0,33.0,198.75864761061342,0.9861206159139407,0.16680293562440307,170.44289577832933
428.0,1076.0,625.0,1076.0,428.0,1076.0,38809.0,900.0,39709.0,197.0,30.0,199.27117202445515,0.9886026061804041,0.15112319451714495,171.341278767633
428.0,1076.0,625.0,1076.0,428.0,1076.0,38809.0,900.0,39709.0,197.0,30.0,199.27117202445515,0.9886026061804041,0.15112319451714495,171.341278767633
428.0,1073.0,629.0,1073.0,428.0,1073.0,40401.0,841.0,41242.0,201.0,29.0,203.08126452235814,0.9897515680372918,0.14328981136378677,171.79009856162932
428.0,1073.0,629.0,1073.0,428.0,1073.0,40401.0,841.0,41242.0,201.0,29.0,203.08126452235814,0.9897515680372918,0.14328981136378677,171.79009856162932
429.0,1072.0,625.0,1072.0,429.0,1072.0,38416.0,1089.0,39505.0,196.0,33.0,198.75864761061342,0.9861206159139407,0.16680293562440307,170.44289577832933
429.0,1072.0,625.0,1072.0,429.0,1072.0,38416.0,1156.0,39572.0,196.0,34.0,198.92712233378333,0.9852854537911032,0.17176015132820283,170.15886824036565
429.0,1072.0,626.0,1072.0,429.0,1072.0,38809.0,1156.0,39965.0,197.0,34.0,199.9124808509964,0.9854312205091028,0.17090519277570182,170.20785375708255
425.0,1072.0,626.0,1072.0,425.0,1072.0,40401.0,1156.0,41557.0,201.0,34.0,203.85534086699815,0.9859932987045894,0.1675680275329682,170.39905924102894
425.0,1073.0,626.0,1073.0,425.0,1073.0,40401.0,1089.0,41490.0,201.0,33.0,203.69094236121546,0.9867890916993085,0.16272737464038073,170.676408221862
425.0,1073.0,622.0,1073.0,425.0,1073.0,38809.0,1089.0,39898.0,197.0,33.0,199.7448372299019,0.9862582819763064,0.16597172249627207,170.4905207824471
422.0,1072.0,622.0,1072.0,422.0,1072.0,40000.0,1156.0,41156.0,200.0,34.0,202.86941612771503,0.9858558466698174,0.1683901571475298,170.35195468390185
422.0,1072.0,622.0,1072.0,422.0,1072.0,40000.0,1156.0,41156.0,200.0,34.0,202.86941612771503,0.9858558466698174,0.1683901571475298,170.35195468390185
421.0,1073.0,622.0,1073.0,421.0,1073.0,40401.0,1089.0,41490.0,201.0,33.0,203.69094236121546,0.9867890916993085,0.16272737464038073,170.676408221862
421.0,1068.0,622.0,1068.0,421.0,1068.0,40401.0,1444.0,41845.0,201.0,38.0,204.56050449683585,0.9825943697900349,0.18684945036881548,169.29431508952774
422.0,1070.0,621.0,1070.0,422.0,1070.0,39601.0,1089.0,40690.0,199.0,33.0,201.71762441591463,0.9865275807020647,0.16433368167005144,170.58437360845969
422.0,1070.0,621.0,1070.0,422.0,1070.0,39601.0,1089.0,40690.0,199.0,33.0,201.71762441591463,0.9865275807020647,0.16433368167005144,170.58437360845969
423.0,1070.0,618.0,1070.0,423.0,1070.0,38025.0,1089.0,39114.0,195.0,33.0,197.7725966861941,0.9859808854580931,0.1676424378312153,170.39479584498707
418.0,1065.0,618.0,1065.0,418.0,1065.0,40000.0,1444.0,41444.0,200.0,38.0,203.57799488156869,0.9824244517014219,0.18776194651359407,169.24203291160995
422.0,1066.0,617.0,1066.0,422.0,1066.0,38025.0,1444.0,39469.0,195.0,38.0,198.66806487203723,0.9815367161581814,0.19245976577634155,168.97286769493928
418.0,1066.0,617.0,1066.0,418.0,1066.0,39601.0,1444.0,41045.0,199.0,38.0,202.5956564193813,0.9822520557304638,0.18868329238808446,169.18924368152986
418.0,1066.0,618.0,1066.0,418.0,1066.0,40000.0,1444.0,41444.0,200.0,38.0,203.57799488156869,0.9824244517014219,0.18776194651359407,169.24203291160995
414.0,1066.0,614.0,1066.0,414.0,1066.0,40000.0,1444.0,41444.0,200.0,38.0,203.57799488156869,0.9824244517014219,0.18776194651359407,169.24203291160995
414.0,1066.0,613.0,1066.0,414.0,1066.0,39601.0,1369.0,40970.0,199.0,37.0,202.41047403728888,0.9831507037691113,0.1838305004775629,169.46728817685798
414.0,1066.0,613.0,1066.0,414.0,1066.0,39601.0,1369.0,40970.0,199.0,37.0,202.41047403728888,0.9831507037691113,0.1838305004775629,169.46728817685798
414.0,1065.0,610.0,1065.0,414.0,1065.0,38416.0,1444.0,39860.0,196.0,38.0,199.64969321288726,0.9817195150458079,0.19150171846961872,169.02775976218837
414.0,1066.0,609.0,1066.0,414.0,1066.0,38025.0,1369.0,39394.0,195.0,37.0,198.47921805569467,0.9824706178824304,0.1875144585218143,169.2562129290191
414.0,1066.0,609.0,1066.0,414.0,1066.0,38025.0,1369.0,39394.0,195.0,37.0,198.47921805569467,0.9824706178824304,0.1875144585218143,169.2562129290191
410.0,1066.0,609.0,1066.0,410.0,1066.0,39601.0,1369.0,40970.0,199.0,37.0,202.41047403728888,0.9831507037691113,0.1838305004775629,169.46728817685798
410.0,1065.0,610.0,1065.0,410.0,1065.0,40000.0,1764.0,41764.0,200.0,42.0,204.3624231604235,0.9786534966019707,0.2069921942198208,168.14022087905204
405.0,1065.0,605.0,1065.0,405.0,1065.0,40000.0,1764.0,41764.0,200.0,42.0,204.3624231604235,0.9786534966019707,0.2069921942198208,168.14022087905204
406.0,1065.0,605.0,1065.0,406.0,1065.0,39601.0,1764.0,41365.0,199.0,42.0,203.38387350033435,0.9784453239832354,0.2080026837228709,168.082324095285
406.0,1065.0,606.0,1065.0,406.0,1065.0,40000.0,1764.0,41764.0,200.0,42.0,204.3624231604235,0.9786534966019707,0.2069921942198208,168.14022087905204
402.0,1062.0,602.0,1062.0,402.0,1062.0,40000.0,2116.0,42116.0,200.0,46.0,205.22183119736556,0.9745551866148995,0.22606838799388426,167.04723548662446
402.0,1062.0,602.0,1062.0,402.0,1062.0,40000.0,2116.0,42116.0,200.0,46.0,205.22183119736556,0.9745551866148995,0.22606838799388426,167.04723548662446
403.0,1064.0,601.0,1064.0,403.0,1064.0,39204.0,2025.0,41229.0,198.0,45.0,203.0492551082126,0.9751328557914598,0.2234766011406328,167.19573393471325
403.0,1064.0,601.0,1064.0,403.0,1064.0,39204.0,2025.0,41229.0,198.0,45.0,203.0492551082126,0.9751328557914598,0.2234766011406328,167.19573393471325
403.0,1064.0,601.0,1064.0,403.0,1064.0,39204.0,2025.0,41229.0,198.0,45.0,203.0492551082126,0.9751328557914598,0.2234766011406328,167.19573393471325
403.0,1064.0,601.0,1064.0,403.0,1064.0,39204.0,1681.0,40885.0,198.0,41.0,202.20039564748632,0.9792265705809535,0.20418498025899925,168.30106239119732
402.0,1063.0,601.0,1063.0,402.0,1063.0,39601.0,1764.0,41365.0,199.0,42.0,203.38387350033435,0.9784453239832354,0.2080026837228709,168.082324095285
402.0,1063.0,597.0,1063.0,402.0,1063.0,38025.0,2116.0,40141.0,195.0,46.0,200.35218990567586,0.9732860923147602,0.23166225901704307,166.72673028585695
399.0,1063.0,598.0,1063.0,399.0,1063.0,39601.0,2025.0,41626.0,199.0,45.0,204.0245083317198,0.975373015855769,0.22239035346880096,167.25797134181514
399.0,1063.0,598.0,1063.0,399.0,1063.0,39601.0,2025.0,41626.0,199.0,45.0,204.0245083317198,0.975373015855769,0.22239035346880096,167.25797134181514
398.0,1063.0,597.0,1063.0,398.0,1063.0,39601.0,2116.0,41717.0,199.0,46.0,204.2473990042468,0.9743086128399722,0.22716582051447642,166.98435723489413
394.0,1063.0,593.0,1063.0,394.0,1063.0,39601.0,2116.0,41717.0,199.0,46.0,204.2473990042468,0.9743086128399722,0.22716582051447642,166.98435723489413
394.0,1063.0,593.0,1063.0,394.0,1063.0,39601.0,2116.0,41717.0,199.0,46.0,204.2473990042468,0.9743086128399722,0.22716582051447642,166.98435723489413
394.0,1068.0,593.0,1068.0,394.0,1068.0,39601.0,1369.0,40970.0,199.0,37.0,202.41047403728888,0.9831507037691113,0.1838305004775629,169.46728817685798
395.0,1069.0,593.0,1069.0,395.0,1069.0,39204.0,1369.0,40573.0,198.0,37.0,201.42740627829173,0.982984409412707,0.18473800801582888,169.41529182503905
394.0,1068.0,589.0,1068.0,394.0,1068.0,38025.0,1369.0,39394.0,195.0,37.0,198.47921805569467,0.9824706178824304,0.1875144585218143,169.2562129290191
394.0,1072.0,589.0,1072.0,394.0,1072.0,38025.0,1089.0,39114.0,195.0,33.0,197.7725966861941,0.9859808854580931,0.1676424378312153,170.39479584498707
390.0,1068.0,585.0,1068.0,390.0,1068.0,38025.0,1369.0,39394.0,195.0,37.0,198.47921805569467,0.9824706178824304,0.1875144585218143,169.2562129290191
391.0,1071.0,585.0,1071.0,391.0,1071.0,37636.0,1089.0,38725.0,194.0,33.0,196.78668654154427,0.9858390494269745,0.16849035252818742,170.34621391146345
390.0,1067.0,585.0,1067.0,390.0,1067.0,38025.0,1369.0,39394.0,195.0,37.0,198.47921805569467,0.9824706178824304,0.1875144585218143,169.2562129290191
390.0,1071.0,584.0,1071.0,390.0,1071.0,37636.0,1089.0,38725.0,194.0,33.0,196.78668654154427,0.9858390494269745,0.16849035252818742,170.34621391146345
383.0,1074.0,581.0,1074.0,383.0,1074.0,39204.0,841.0,40045.0,198.0,29.0,200.11246837716035,0.9894435944232176,0.14543060880202527,171.66743990362582
