sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
481.0,933.0,597.0,933.0,481.0,933.0,13456.0,10201.0,23657.0,116.0,101.0,153.8083222715858,0.7541854581520884,0.716383521322141,138.9542477155211
481.0,938.0,602.0,938.0,481.0,938.0,14641.0,9216.0,23857.0,121.0,96.0,154.45711378890906,0.7833889746597643,0.6706964748932308,141.5719226543159
477.0,936.0,599.0,936.0,477.0,936.0,14884.0,9409.0,24293.0,122.0,97.0,155.8621185535472,0.782743113799562,0.6717349392536721,141.51242302928785
477.0,937.0,598.0,937.0,477.0,937.0,14641.0,9409.0,24050.0,121.0,97.0,155.08062419270823,0.7802393150651848,0.6757479912285383,141.28249208816138
477.0,935.0,598.0,935.0,477.0,935.0,14641.0,9409.0,24050.0,121.0,97.0,155.08062419270823,0.7802393150651848,0.6757479912285383,141.28249208816138
477.0,935.0,598.0,935.0,477.0,935.0,14641.0,9409.0,24050.0,121.0,97.0,155.08062419270823,0.7802393150651848,0.6757479912285383,141.28249208816138
480.0,936.0,601.0,936.0,480.0,936.0,14641.0,9409.0,24050.0,121.0,97.0,155.08062419270823,0.7802393150651848,0.6757479912285383,141.28249208816138
480.0,937.0,601.0,937.0,480.0,937.0,14641.0,9216.0,23857.0,121.0,96.0,154.45711378890906,0.7833889746597643,0.6706964748932308,141.5719226543159
480.0,934.0,601.0,934.0,480.0,934.0,14641.0,9409.0,24050.0,121.0,97.0,155.08062419270823,0.7802393150651848,0.6757479912285383,141.28249208816138
480.0,938.0,601.0,938.0,480.0,938.0,14641.0,8464.0,23105.0,121.0,92.0,152.00328943809077,0.7960354045448598,0.6500799612463009,142.75316187455883
480.0,938.0,601.0,938.0,480.0,938.0,14641.0,8464.0,23105.0,121.0,92.0,152.00328943809077,0.7960354045448598,0.6500799612463009,142.75316187455883
480.0,938.0,601.0,938.0,480.0,938.0,14641.0,8464.0,23105.0,121.0,92.0,152.00328943809077,0.7960354045448598,0.6500799612463009,142.75316187455883
480.0,934.0,601.0,934.0,480.0,934.0,14641.0,9409.0,24050.0,121.0,97.0,155.08062419270823,0.7802393150651848,0.6757479912285383,141.28249208816138
480.0,934.0,601.0,934.0,480.0,934.0,14641.0,9409.0,24050.0,121.0,97.0,155.08062419270823,0.7802393150651848,0.6757479912285383,141.28249208816138
480.0,938.0,601.0,938.0,480.0,938.0,14641.0,8649.0,23290.0,121.0,93.0,152.6106156202772,0.7928675178211054,0.6552961056874831,142.45429881274848
480.0,938.0,601.0,938.0,480.0,938.0,14641.0,8464.0,23105.0,121.0,92.0,152.00328943809077,0.7960354045448598,0.6500799612463009,142.75316187455883
479.0,937.0,601.0,937.0,479.0,937.0,14884.0,8649.0,23533.0,122.0,93.0,153.40469353966978,0.7952820554897255,0.651323635019709,142.68190461625144
480.0,938.0,601.0,938.0,480.0,938.0,14641.0,8464.0,23105.0,121.0,92.0,152.00328943809077,0.7960354045448598,0.6500799612463009,142.75316187455883
479.0,939.0,600.0,939.0,479.0,939.0,14641.0,8281.0,22922.0,121.0,91.0,151.40013210033868,0.7992067002940832,0.6448221119878906,143.05441444638174
479.0,938.0,600.0,938.0,479.0,938.0,14641.0,8464.0,23105.0,121.0,92.0,152.00328943809077,0.7960354045448598,0.6500799612463009,142.75316187455883
