,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,471.0,761.0,558.0,832.0,500.0,681.0,313.0,1302.0,512.0,1195.0,558.0,888.0,579.0,873.0,523.0,1118.0,528.0,1108.0,359.0,1220.0,400.0,1200.0,620.0,1251.0,614.0,1241.0,313.0,1307.0,369.0,1292.0,374.0,1578.0,410.0,1506.0
1,471.0,755.0,558.0,832.0,500.0,691.0,318.0,1297.0,206.0,776.0,558.0,883.0,579.0,873.0,517.0,1118.0,528.0,1108.0,354.0,1220.0,400.0,1200.0,620.0,1246.0,615.0,1236.0,313.0,1307.0,374.0,1297.0,374.0,1578.0,410.0,1507.0
2,472.0,755.0,559.0,832.0,500.0,691.0,318.0,1297.0,743.0,775.0,559.0,883.0,579.0,873.0,518.0,1118.0,528.0,1108.0,354.0,1220.0,400.0,1200.0,620.0,1246.0,610.0,1236.0,313.0,1307.0,375.0,1292.0,375.0,1578.0,410.0,1507.0
3,471.0,756.0,558.0,832.0,499.0,692.0,318.0,1297.0,206.0,776.0,558.0,883.0,579.0,873.0,517.0,1118.0,527.0,1108.0,354.0,1220.0,400.0,1200.0,619.0,1246.0,614.0,1236.0,313.0,1307.0,374.0,1297.0,374.0,1578.0,410.0,1507.0
4,466.0,756.0,558.0,832.0,499.0,692.0,318.0,1297.0,742.0,776.0,558.0,883.0,578.0,873.0,517.0,1118.0,527.0,1108.0,354.0,1220.0,400.0,1200.0,619.0,1246.0,614.0,1236.0,313.0,1307.0,374.0,1297.0,374.0,1578.0,410.0,1507.0
5,466.0,760.0,558.0,832.0,499.0,691.0,318.0,1297.0,205.0,776.0,558.0,883.0,578.0,873.0,517.0,1118.0,527.0,1108.0,353.0,1220.0,399.0,1200.0,619.0,1246.0,614.0,1236.0,313.0,1307.0,374.0,1292.0,374.0,1578.0,410.0,1507.0
6,471.0,756.0,557.0,833.0,499.0,692.0,317.0,1297.0,741.0,777.0,557.0,884.0,578.0,874.0,517.0,1119.0,527.0,1108.0,353.0,1221.0,399.0,1200.0,619.0,1246.0,614.0,1236.0,312.0,1308.0,374.0,1292.0,374.0,1578.0,409.0,1507.0
7,471.0,757.0,557.0,833.0,509.0,683.0,318.0,1297.0,741.0,777.0,557.0,884.0,578.0,874.0,517.0,1119.0,527.0,1109.0,354.0,1221.0,399.0,1200.0,619.0,1246.0,613.0,1236.0,313.0,1307.0,374.0,1292.0,374.0,1577.0,410.0,1506.0
8,475.0,758.0,557.0,834.0,508.0,684.0,318.0,1297.0,205.0,778.0,557.0,885.0,577.0,875.0,516.0,1119.0,526.0,1109.0,353.0,1221.0,399.0,1201.0,618.0,1246.0,613.0,1236.0,312.0,1308.0,374.0,1292.0,374.0,1577.0,409.0,1506.0
9,470.0,757.0,557.0,834.0,498.0,684.0,317.0,1298.0,740.0,778.0,557.0,885.0,577.0,875.0,521.0,1119.0,526.0,1109.0,353.0,1221.0,399.0,1201.0,618.0,1247.0,613.0,1236.0,312.0,1308.0,373.0,1293.0,373.0,1578.0,409.0,1507.0
10,471.0,756.0,557.0,832.0,499.0,692.0,317.0,1297.0,205.0,776.0,557.0,883.0,578.0,873.0,517.0,1118.0,527.0,1108.0,353.0,1220.0,399.0,1200.0,619.0,1246.0,614.0,1236.0,312.0,1307.0,374.0,1292.0,374.0,1578.0,409.0,1506.0
11,470.0,756.0,557.0,833.0,499.0,692.0,317.0,1297.0,205.0,777.0,557.0,884.0,578.0,874.0,521.0,1119.0,532.0,1108.0,353.0,1221.0,399.0,1195.0,618.0,1246.0,613.0,1236.0,312.0,1308.0,373.0,1292.0,373.0,1578.0,409.0,1507.0
12,470.0,756.0,557.0,833.0,498.0,692.0,317.0,1297.0,205.0,776.0,557.0,884.0,578.0,873.0,521.0,1119.0,526.0,1108.0,358.0,1221.0,399.0,1200.0,618.0,1246.0,613.0,1236.0,312.0,1307.0,373.0,1292.0,373.0,1578.0,409.0,1507.0
13,470.0,756.0,557.0,833.0,498.0,692.0,317.0,1297.0,205.0,776.0,557.0,884.0,578.0,873.0,521.0,1119.0,526.0,1108.0,353.0,1221.0,399.0,1200.0,618.0,1246.0,613.0,1236.0,312.0,1308.0,373.0,1292.0,373.0,1578.0,409.0,1507.0
14,470.0,756.0,557.0,833.0,498.0,692.0,317.0,1297.0,205.0,777.0,557.0,884.0,577.0,874.0,521.0,1119.0,526.0,1108.0,358.0,1221.0,404.0,1195.0,618.0,1246.0,613.0,1236.0,312.0,1307.0,373.0,1292.0,373.0,1578.0,409.0,1506.0
15,470.0,756.0,557.0,833.0,498.0,693.0,317.0,1297.0,205.0,777.0,557.0,884.0,577.0,874.0,521.0,1118.0,526.0,1108.0,353.0,1220.0,399.0,1200.0,618.0,1246.0,613.0,1236.0,312.0,1307.0,374.0,1292.0,374.0,1577.0,409.0,1506.0
16,470.0,757.0,557.0,833.0,498.0,693.0,318.0,1297.0,205.0,777.0,557.0,884.0,577.0,874.0,521.0,1114.0,526.0,1108.0,353.0,1221.0,399.0,1200.0,618.0,1246.0,613.0,1236.0,312.0,1307.0,374.0,1292.0,374.0,1577.0,409.0,1506.0
17,470.0,757.0,557.0,833.0,498.0,693.0,317.0,1297.0,205.0,777.0,557.0,884.0,577.0,874.0,521.0,1119.0,526.0,1109.0,353.0,1221.0,399.0,1200.0,618.0,1246.0,613.0,1236.0,312.0,1307.0,373.0,1292.0,373.0,1578.0,409.0,1506.0
18,471.0,757.0,557.0,833.0,499.0,693.0,318.0,1297.0,206.0,777.0,557.0,884.0,578.0,874.0,522.0,1119.0,527.0,1108.0,353.0,1220.0,399.0,1200.0,618.0,1246.0,613.0,1236.0,313.0,1307.0,374.0,1297.0,374.0,1577.0,409.0,1506.0
19,470.0,757.0,557.0,833.0,498.0,693.0,318.0,1297.0,206.0,777.0,557.0,884.0,577.0,874.0,521.0,1113.0,532.0,1108.0,353.0,1220.0,399.0,1200.0,623.0,1246.0,613.0,1235.0,313.0,1307.0,374.0,1291.0,374.0,1576.0,409.0,1510.0
20,470.0,757.0,557.0,834.0,498.0,694.0,318.0,1297.0,206.0,778.0,557.0,885.0,577.0,874.0,521.0,1119.0,526.0,1109.0,353.0,1221.0,399.0,1200.0,618.0,1246.0,613.0,1236.0,313.0,1307.0,374.0,1292.0,374.0,1577.0,409.0,1506.0
21,470.0,757.0,557.0,834.0,498.0,694.0,318.0,1297.0,206.0,778.0,557.0,885.0,577.0,874.0,521.0,1119.0,526.0,1108.0,353.0,1220.0,399.0,1200.0,623.0,1246.0,613.0,1236.0,313.0,1307.0,374.0,1292.0,374.0,1576.0,409.0,1510.0
22,470.0,757.0,557.0,834.0,498.0,694.0,317.0,1297.0,205.0,778.0,557.0,884.0,577.0,874.0,521.0,1119.0,526.0,1108.0,353.0,1220.0,399.0,1200.0,623.0,1246.0,613.0,1236.0,312.0,1307.0,373.0,1292.0,373.0,1577.0,409.0,1510.0
23,470.0,757.0,557.0,834.0,498.0,684.0,317.0,1297.0,205.0,778.0,557.0,885.0,577.0,874.0,521.0,1119.0,526.0,1108.0,353.0,1220.0,399.0,1200.0,623.0,1246.0,613.0,1236.0,312.0,1307.0,373.0,1297.0,373.0,1577.0,409.0,1510.0
24,465.0,757.0,557.0,833.0,498.0,693.0,317.0,1297.0,205.0,777.0,557.0,884.0,577.0,874.0,521.0,1118.0,526.0,1108.0,353.0,1220.0,399.0,1200.0,623.0,1246.0,613.0,1236.0,317.0,1307.0,373.0,1292.0,373.0,1577.0,409.0,1511.0
25,465.0,757.0,557.0,833.0,498.0,693.0,317.0,1297.0,740.0,777.0,557.0,884.0,577.0,874.0,521.0,1119.0,526.0,1108.0,353.0,1220.0,399.0,1200.0,623.0,1246.0,613.0,1236.0,317.0,1307.0,373.0,1297.0,373.0,1577.0,409.0,1511.0
26,465.0,759.0,556.0,835.0,498.0,685.0,318.0,1297.0,739.0,779.0,556.0,886.0,577.0,876.0,521.0,1119.0,526.0,1109.0,353.0,1221.0,399.0,1201.0,622.0,1246.0,612.0,1231.0,313.0,1307.0,374.0,1297.0,374.0,1577.0,409.0,1511.0
27,470.0,754.0,551.0,830.0,497.0,686.0,317.0,1297.0,738.0,780.0,556.0,886.0,571.0,876.0,520.0,1120.0,525.0,1109.0,353.0,1221.0,399.0,1201.0,622.0,1246.0,612.0,1236.0,317.0,1307.0,373.0,1297.0,373.0,1576.0,409.0,1510.0
28,465.0,755.0,551.0,831.0,498.0,687.0,318.0,1297.0,739.0,780.0,556.0,887.0,571.0,877.0,521.0,1115.0,526.0,1110.0,354.0,1221.0,399.0,1201.0,622.0,1247.0,612.0,1232.0,313.0,1308.0,374.0,1297.0,374.0,1576.0,409.0,1510.0
29,460.0,755.0,551.0,836.0,498.0,686.0,318.0,1297.0,739.0,780.0,551.0,887.0,566.0,871.0,521.0,1115.0,531.0,1110.0,353.0,1221.0,399.0,1206.0,622.0,1247.0,612.0,1231.0,318.0,1307.0,374.0,1297.0,374.0,1576.0,409.0,1510.0
30,455.0,756.0,546.0,837.0,488.0,687.0,318.0,1298.0,738.0,781.0,551.0,887.0,571.0,877.0,520.0,1115.0,531.0,1110.0,353.0,1222.0,399.0,1201.0,622.0,1247.0,612.0,1237.0,313.0,1308.0,374.0,1298.0,374.0,1576.0,409.0,1510.0
31,454.0,761.0,545.0,837.0,487.0,688.0,317.0,1298.0,738.0,781.0,550.0,888.0,570.0,872.0,520.0,1115.0,530.0,1110.0,358.0,1222.0,398.0,1201.0,621.0,1242.0,611.0,1232.0,317.0,1308.0,373.0,1298.0,373.0,1576.0,408.0,1505.0
32,454.0,761.0,545.0,837.0,487.0,687.0,317.0,1297.0,737.0,781.0,545.0,887.0,565.0,877.0,525.0,1120.0,530.0,1115.0,358.0,1221.0,398.0,1201.0,621.0,1246.0,611.0,1231.0,317.0,1307.0,373.0,1297.0,373.0,1575.0,408.0,1509.0
33,448.0,758.0,539.0,838.0,486.0,689.0,317.0,1298.0,736.0,783.0,544.0,884.0,564.0,874.0,524.0,1116.0,529.0,1111.0,357.0,1222.0,398.0,1202.0,620.0,1242.0,610.0,1232.0,317.0,1308.0,372.0,1293.0,372.0,1576.0,408.0,1505.0
34,443.0,763.0,534.0,839.0,476.0,690.0,317.0,1298.0,736.0,783.0,544.0,884.0,554.0,879.0,524.0,1116.0,529.0,1116.0,357.0,1223.0,397.0,1202.0,620.0,1243.0,610.0,1233.0,317.0,1308.0,372.0,1293.0,377.0,1576.0,408.0,1505.0
35,437.0,764.0,533.0,840.0,475.0,691.0,316.0,1299.0,735.0,784.0,538.0,890.0,553.0,880.0,523.0,1117.0,528.0,1112.0,356.0,1223.0,402.0,1198.0,624.0,1243.0,609.0,1233.0,316.0,1309.0,372.0,1294.0,377.0,1576.0,412.0,1506.0
36,432.0,768.0,528.0,844.0,465.0,699.0,320.0,1294.0,735.0,783.0,533.0,889.0,548.0,884.0,523.0,1122.0,528.0,1117.0,356.0,1218.0,437.0,1193.0,624.0,1243.0,609.0,1233.0,315.0,1304.0,371.0,1294.0,376.0,1577.0,412.0,1507.0
37,427.0,768.0,518.0,844.0,455.0,700.0,316.0,1294.0,735.0,783.0,528.0,895.0,543.0,879.0,523.0,1122.0,528.0,1117.0,356.0,1218.0,437.0,1193.0,624.0,1243.0,609.0,1233.0,316.0,1304.0,371.0,1294.0,377.0,1577.0,412.0,1506.0
38,422.0,775.0,518.0,846.0,444.0,702.0,321.0,1296.0,735.0,785.0,523.0,897.0,543.0,881.0,523.0,1124.0,528.0,1119.0,356.0,1220.0,437.0,1195.0,624.0,1240.0,609.0,1230.0,315.0,1306.0,371.0,1296.0,376.0,1579.0,411.0,1508.0
39,411.0,776.0,512.0,852.0,444.0,703.0,320.0,1296.0,734.0,786.0,512.0,898.0,538.0,882.0,522.0,1125.0,527.0,1120.0,356.0,1221.0,437.0,1190.0,623.0,1241.0,608.0,1231.0,315.0,1307.0,371.0,1291.0,376.0,1579.0,411.0,1509.0
