,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,394.0,631.0,394.0,689.0,394.0,574.0,487.0,985.0,211.0,621.0,483.0,735.0,312.0,735.0,494.0,850.0,294.0,850.0,476.0,903.0,322.0,907.0,451.0,921.0,354.0,921.0,487.0,989.0,308.0,1007.0,490.0,1207.0,319.0,1204.0
1,394.0,633.0,394.0,687.0,394.0,572.0,488.0,982.0,211.0,619.0,484.0,734.0,311.0,737.0,495.0,849.0,293.0,853.0,477.0,903.0,322.0,907.0,452.0,921.0,351.0,921.0,484.0,989.0,308.0,1004.0,491.0,1205.0,319.0,1205.0
2,394.0,630.0,394.0,688.0,394.0,572.0,485.0,985.0,590.0,616.0,485.0,735.0,311.0,735.0,496.0,847.0,293.0,851.0,477.0,905.0,318.0,905.0,452.0,923.0,351.0,920.0,485.0,992.0,307.0,1007.0,488.0,1206.0,318.0,1206.0
3,394.0,633.0,394.0,687.0,394.0,571.0,485.0,981.0,209.0,615.0,485.0,735.0,310.0,735.0,499.0,847.0,292.0,851.0,477.0,905.0,317.0,905.0,448.0,920.0,350.0,920.0,485.0,989.0,310.0,1007.0,488.0,1203.0,317.0,1207.0
4,394.0,631.0,394.0,686.0,394.0,569.0,485.0,982.0,208.0,613.0,485.0,734.0,310.0,734.0,499.0,843.0,288.0,850.0,481.0,905.0,317.0,901.0,448.0,923.0,350.0,920.0,485.0,989.0,310.0,1004.0,489.0,1201.0,317.0,1204.0
5,394.0,631.0,394.0,686.0,394.0,569.0,485.0,981.0,208.0,613.0,485.0,730.0,310.0,733.0,500.0,843.0,288.0,850.0,481.0,905.0,314.0,901.0,449.0,923.0,350.0,923.0,485.0,989.0,310.0,1003.0,489.0,1204.0,317.0,1204.0
6,394.0,629.0,394.0,684.0,394.0,566.0,486.0,985.0,207.0,611.0,486.0,732.0,310.0,732.0,501.0,842.0,288.0,853.0,482.0,904.0,313.0,901.0,449.0,923.0,350.0,923.0,486.0,992.0,313.0,1003.0,490.0,1202.0,317.0,1202.0
7,394.0,631.0,394.0,682.0,394.0,565.0,490.0,988.0,206.0,609.0,486.0,730.0,309.0,730.0,504.0,845.0,287.0,856.0,482.0,903.0,313.0,900.0,449.0,926.0,350.0,922.0,486.0,992.0,313.0,1003.0,490.0,1202.0,317.0,1202.0
8,395.0,629.0,395.0,681.0,391.0,566.0,487.0,988.0,206.0,607.0,487.0,729.0,309.0,733.0,506.0,844.0,287.0,855.0,483.0,903.0,317.0,903.0,450.0,925.0,350.0,925.0,487.0,995.0,313.0,1003.0,491.0,1206.0,317.0,1203.0
9,395.0,630.0,395.0,682.0,391.0,563.0,488.0,987.0,205.0,604.0,488.0,727.0,309.0,731.0,506.0,842.0,287.0,857.0,484.0,905.0,317.0,905.0,447.0,928.0,350.0,928.0,488.0,995.0,313.0,1006.0,488.0,1206.0,320.0,1206.0
