,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,555.0,817.0,656.0,905.0,614.0,722.0,308.0,1383.0,496.0,1200.0,662.0,964.0,685.0,935.0,597.0,1236.0,620.0,1200.0,496.0,1442.0,538.0,1306.0,626.0,1371.0,614.0,1330.0,308.0,1395.0,337.0,1330.0,367.0,1749.0,373.0,1684.0
1,549.0,817.0,650.0,906.0,614.0,723.0,308.0,1389.0,167.0,776.0,661.0,965.0,679.0,935.0,597.0,1235.0,614.0,1206.0,496.0,1436.0,526.0,1300.0,626.0,1371.0,620.0,1330.0,308.0,1400.0,332.0,1336.0,367.0,1748.0,379.0,1683.0
2,550.0,817.0,650.0,905.0,615.0,723.0,308.0,1389.0,167.0,776.0,662.0,964.0,680.0,935.0,597.0,1230.0,627.0,1177.0,503.0,1436.0,526.0,1300.0,621.0,1365.0,615.0,1330.0,308.0,1401.0,332.0,1336.0,367.0,1737.0,379.0,1684.0
3,550.0,818.0,650.0,906.0,608.0,724.0,309.0,1394.0,168.0,777.0,661.0,965.0,679.0,936.0,597.0,1230.0,614.0,1200.0,497.0,1435.0,526.0,1306.0,620.0,1371.0,620.0,1335.0,309.0,1400.0,332.0,1335.0,367.0,1747.0,379.0,1688.0
4,550.0,813.0,649.0,907.0,608.0,725.0,309.0,1394.0,169.0,778.0,661.0,966.0,679.0,936.0,597.0,1229.0,614.0,1200.0,497.0,1435.0,520.0,1300.0,620.0,1364.0,614.0,1329.0,309.0,1400.0,333.0,1335.0,368.0,1751.0,380.0,1687.0
5,556.0,814.0,656.0,907.0,609.0,726.0,309.0,1395.0,169.0,778.0,662.0,966.0,679.0,937.0,597.0,1224.0,615.0,1201.0,503.0,1436.0,527.0,1306.0,620.0,1371.0,615.0,1330.0,304.0,1400.0,327.0,1336.0,368.0,1747.0,380.0,1688.0
6,556.0,813.0,650.0,907.0,614.0,725.0,309.0,1394.0,168.0,778.0,661.0,966.0,679.0,936.0,597.0,1230.0,585.0,1206.0,497.0,1435.0,509.0,1306.0,620.0,1371.0,614.0,1335.0,309.0,1400.0,327.0,1335.0,368.0,1746.0,379.0,1688.0
7,555.0,814.0,649.0,908.0,614.0,726.0,309.0,1394.0,168.0,779.0,661.0,960.0,678.0,937.0,596.0,1230.0,620.0,1177.0,497.0,1435.0,526.0,1306.0,620.0,1371.0,614.0,1336.0,303.0,1400.0,327.0,1336.0,368.0,1746.0,379.0,1687.0
8,555.0,813.0,649.0,907.0,614.0,725.0,309.0,1394.0,168.0,778.0,661.0,960.0,679.0,936.0,596.0,1230.0,614.0,1200.0,497.0,1435.0,526.0,1306.0,620.0,1371.0,614.0,1335.0,309.0,1400.0,326.0,1335.0,367.0,1746.0,379.0,1688.0
9,555.0,817.0,649.0,906.0,614.0,723.0,308.0,1394.0,167.0,776.0,661.0,964.0,679.0,935.0,596.0,1229.0,614.0,1200.0,502.0,1435.0,526.0,1306.0,620.0,1370.0,614.0,1329.0,308.0,1400.0,332.0,1335.0,367.0,1747.0,379.0,1688.0
10,555.0,812.0,650.0,906.0,614.0,724.0,309.0,1394.0,168.0,777.0,661.0,965.0,679.0,936.0,597.0,1229.0,591.0,1200.0,497.0,1435.0,526.0,1306.0,620.0,1371.0,614.0,1335.0,309.0,1400.0,332.0,1335.0,367.0,1741.0,379.0,1688.0
11,555.0,817.0,649.0,906.0,620.0,723.0,308.0,1394.0,167.0,776.0,661.0,965.0,679.0,935.0,596.0,1229.0,620.0,1194.0,502.0,1435.0,532.0,1306.0,620.0,1370.0,620.0,1329.0,308.0,1400.0,332.0,1335.0,367.0,1747.0,379.0,1688.0
12,555.0,812.0,654.0,906.0,619.0,724.0,308.0,1393.0,167.0,777.0,660.0,965.0,684.0,936.0,596.0,1229.0,619.0,1194.0,502.0,1434.0,531.0,1299.0,625.0,1364.0,625.0,1329.0,308.0,1399.0,332.0,1335.0,367.0,1745.0,385.0,1687.0
13,555.0,813.0,654.0,907.0,619.0,725.0,309.0,1393.0,168.0,778.0,660.0,966.0,678.0,936.0,596.0,1224.0,619.0,1194.0,502.0,1434.0,531.0,1300.0,625.0,1370.0,619.0,1329.0,309.0,1399.0,332.0,1335.0,367.0,1751.0,385.0,1686.0
14,561.0,813.0,654.0,907.0,619.0,725.0,309.0,1393.0,168.0,778.0,660.0,965.0,678.0,936.0,596.0,1229.0,619.0,1200.0,502.0,1434.0,531.0,1299.0,625.0,1369.0,619.0,1328.0,303.0,1399.0,332.0,1334.0,367.0,1744.0,385.0,1686.0
15,554.0,812.0,654.0,906.0,619.0,724.0,308.0,1394.0,167.0,777.0,660.0,965.0,684.0,935.0,595.0,1223.0,619.0,1176.0,501.0,1435.0,525.0,1300.0,625.0,1364.0,631.0,1317.0,308.0,1400.0,331.0,1335.0,366.0,1740.0,378.0,1688.0
16,560.0,812.0,654.0,906.0,619.0,724.0,308.0,1393.0,167.0,777.0,660.0,965.0,684.0,936.0,596.0,1223.0,619.0,1194.0,502.0,1435.0,525.0,1300.0,625.0,1370.0,619.0,1329.0,308.0,1399.0,332.0,1335.0,367.0,1746.0,378.0,1687.0
17,555.0,812.0,649.0,906.0,620.0,724.0,309.0,1393.0,168.0,777.0,661.0,965.0,678.0,936.0,596.0,1229.0,590.0,1200.0,502.0,1434.0,526.0,1305.0,626.0,1370.0,614.0,1335.0,309.0,1399.0,326.0,1335.0,368.0,1745.0,379.0,1687.0
