,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,566.0,824.0,663.0,915.0,623.0,727.0,303.0,1383.0,492.0,1200.0,663.0,972.0,691.0,944.0,588.0,1252.0,617.0,1200.0,486.0,1428.0,588.0,1480.0,606.0,1371.0,606.0,1326.0,298.0,1394.0,332.0,1331.0,366.0,1736.0,360.0,1674.0
1,571.0,818.0,662.0,910.0,622.0,727.0,303.0,1389.0,177.0,790.0,662.0,972.0,691.0,944.0,588.0,1246.0,617.0,1200.0,491.0,1429.0,594.0,1480.0,605.0,1366.0,611.0,1326.0,297.0,1394.0,326.0,1332.0,366.0,1742.0,360.0,1674.0
2,571.0,818.0,663.0,915.0,623.0,726.0,303.0,1389.0,177.0,789.0,663.0,972.0,691.0,943.0,588.0,1241.0,583.0,1206.0,491.0,1429.0,588.0,1481.0,606.0,1366.0,606.0,1326.0,297.0,1395.0,326.0,1332.0,366.0,1738.0,360.0,1675.0
3,566.0,811.0,663.0,914.0,629.0,725.0,302.0,1383.0,176.0,788.0,663.0,971.0,692.0,943.0,588.0,1240.0,588.0,1206.0,491.0,1429.0,588.0,1481.0,606.0,1366.0,611.0,1326.0,296.0,1395.0,325.0,1332.0,365.0,1738.0,359.0,1675.0
4,571.0,811.0,663.0,914.0,623.0,725.0,302.0,1384.0,176.0,788.0,669.0,972.0,692.0,943.0,589.0,1241.0,589.0,1206.0,486.0,1430.0,589.0,1481.0,606.0,1367.0,611.0,1326.0,297.0,1395.0,325.0,1332.0,365.0,1739.0,365.0,1676.0
5,566.0,811.0,663.0,914.0,623.0,725.0,302.0,1383.0,176.0,788.0,669.0,971.0,692.0,942.0,589.0,1246.0,589.0,1206.0,491.0,1429.0,589.0,1481.0,611.0,1372.0,611.0,1332.0,297.0,1395.0,325.0,1332.0,365.0,1744.0,360.0,1675.0
6,572.0,810.0,664.0,914.0,623.0,724.0,302.0,1384.0,175.0,787.0,669.0,971.0,692.0,942.0,589.0,1241.0,589.0,1206.0,486.0,1430.0,503.0,1298.0,606.0,1367.0,606.0,1327.0,296.0,1396.0,325.0,1333.0,365.0,1740.0,365.0,1677.0
7,571.0,816.0,663.0,914.0,623.0,724.0,302.0,1384.0,176.0,787.0,669.0,971.0,692.0,942.0,589.0,1246.0,589.0,1206.0,485.0,1430.0,503.0,1298.0,606.0,1367.0,612.0,1327.0,296.0,1395.0,325.0,1332.0,365.0,1745.0,371.0,1676.0
8,566.0,819.0,663.0,910.0,629.0,721.0,303.0,1385.0,177.0,790.0,669.0,973.0,697.0,944.0,589.0,1242.0,617.0,1202.0,486.0,1431.0,514.0,1288.0,606.0,1373.0,612.0,1328.0,297.0,1396.0,326.0,1333.0,366.0,1745.0,377.0,1677.0
9,571.0,813.0,668.0,910.0,628.0,722.0,303.0,1385.0,177.0,791.0,668.0,973.0,697.0,939.0,588.0,1242.0,617.0,1202.0,491.0,1430.0,497.0,1299.0,611.0,1367.0,617.0,1333.0,297.0,1396.0,326.0,1333.0,366.0,1744.0,377.0,1676.0
10,571.0,815.0,668.0,912.0,628.0,724.0,303.0,1385.0,178.0,792.0,668.0,969.0,696.0,940.0,588.0,1242.0,616.0,1180.0,485.0,1430.0,508.0,1294.0,611.0,1373.0,611.0,1334.0,297.0,1396.0,326.0,1334.0,366.0,1744.0,377.0,1676.0
11,572.0,814.0,663.0,911.0,629.0,723.0,304.0,1385.0,178.0,791.0,669.0,974.0,697.0,945.0,589.0,1242.0,618.0,1179.0,486.0,1430.0,521.0,1294.0,612.0,1368.0,612.0,1328.0,298.0,1396.0,327.0,1333.0,367.0,1739.0,372.0,1676.0
12,571.0,815.0,668.0,912.0,634.0,724.0,303.0,1390.0,178.0,792.0,668.0,969.0,696.0,940.0,588.0,1242.0,588.0,1208.0,491.0,1430.0,588.0,1475.0,611.0,1373.0,617.0,1327.0,298.0,1396.0,326.0,1333.0,366.0,1748.0,360.0,1669.0
13,571.0,815.0,668.0,911.0,634.0,724.0,298.0,1389.0,179.0,792.0,668.0,968.0,696.0,940.0,588.0,1247.0,622.0,1179.0,492.0,1429.0,594.0,1480.0,611.0,1372.0,628.0,1332.0,298.0,1395.0,327.0,1332.0,366.0,1747.0,361.0,1668.0
14,571.0,813.0,668.0,910.0,634.0,722.0,303.0,1389.0,178.0,791.0,668.0,973.0,696.0,944.0,588.0,1246.0,616.0,1178.0,491.0,1429.0,588.0,1474.0,611.0,1372.0,616.0,1332.0,297.0,1395.0,326.0,1338.0,366.0,1742.0,371.0,1674.0
15,577.0,809.0,668.0,911.0,639.0,724.0,304.0,1389.0,178.0,792.0,668.0,968.0,696.0,945.0,588.0,1247.0,588.0,1207.0,491.0,1429.0,588.0,1474.0,611.0,1372.0,611.0,1332.0,298.0,1395.0,326.0,1332.0,366.0,1742.0,377.0,1673.0
16,577.0,808.0,668.0,911.0,639.0,723.0,304.0,1388.0,179.0,791.0,673.0,968.0,696.0,945.0,594.0,1246.0,617.0,1178.0,492.0,1434.0,588.0,1473.0,617.0,1371.0,622.0,1326.0,298.0,1399.0,327.0,1337.0,367.0,1746.0,361.0,1667.0
17,571.0,814.0,668.0,910.0,639.0,722.0,304.0,1388.0,178.0,791.0,674.0,973.0,691.0,944.0,588.0,1246.0,588.0,1206.0,491.0,1428.0,588.0,1474.0,617.0,1371.0,611.0,1326.0,298.0,1400.0,326.0,1337.0,366.0,1747.0,361.0,1667.0
18,571.0,813.0,668.0,910.0,634.0,722.0,304.0,1388.0,178.0,791.0,674.0,973.0,696.0,944.0,594.0,1246.0,588.0,1206.0,491.0,1428.0,588.0,1474.0,617.0,1371.0,611.0,1326.0,298.0,1400.0,326.0,1337.0,366.0,1747.0,360.0,1667.0
19,571.0,808.0,668.0,911.0,633.0,723.0,303.0,1389.0,178.0,791.0,673.0,968.0,690.0,945.0,594.0,1241.0,588.0,1207.0,491.0,1429.0,588.0,1474.0,611.0,1372.0,605.0,1332.0,297.0,1395.0,326.0,1332.0,371.0,1748.0,377.0,1674.0
20,577.0,808.0,668.0,911.0,640.0,723.0,304.0,1389.0,178.0,791.0,674.0,973.0,691.0,945.0,588.0,1247.0,588.0,1207.0,492.0,1429.0,503.0,1298.0,611.0,1372.0,611.0,1332.0,298.0,1395.0,326.0,1332.0,366.0,1753.0,361.0,1668.0
21,571.0,813.0,668.0,910.0,640.0,721.0,303.0,1383.0,177.0,790.0,674.0,972.0,697.0,944.0,588.0,1246.0,588.0,1206.0,491.0,1429.0,588.0,1475.0,611.0,1372.0,611.0,1332.0,303.0,1395.0,326.0,1332.0,366.0,1749.0,360.0,1669.0
22,571.0,812.0,669.0,909.0,634.0,720.0,303.0,1384.0,177.0,789.0,669.0,972.0,697.0,944.0,589.0,1241.0,589.0,1207.0,491.0,1430.0,589.0,1476.0,611.0,1373.0,611.0,1333.0,303.0,1395.0,325.0,1333.0,365.0,1750.0,360.0,1670.0
23,571.0,808.0,668.0,911.0,634.0,723.0,303.0,1389.0,178.0,791.0,668.0,968.0,696.0,945.0,588.0,1241.0,617.0,1178.0,491.0,1429.0,588.0,1474.0,611.0,1372.0,611.0,1332.0,303.0,1395.0,326.0,1332.0,366.0,1742.0,360.0,1674.0
24,571.0,814.0,668.0,911.0,634.0,723.0,304.0,1389.0,178.0,791.0,668.0,968.0,697.0,945.0,588.0,1241.0,617.0,1201.0,486.0,1429.0,588.0,1474.0,611.0,1372.0,611.0,1332.0,304.0,1395.0,326.0,1332.0,366.0,1742.0,361.0,1668.0
25,571.0,812.0,663.0,910.0,629.0,721.0,309.0,1384.0,177.0,790.0,669.0,967.0,691.0,944.0,589.0,1241.0,617.0,1201.0,486.0,1430.0,589.0,1475.0,611.0,1373.0,611.0,1333.0,303.0,1395.0,326.0,1333.0,366.0,1744.0,360.0,1670.0
26,566.0,811.0,663.0,909.0,629.0,720.0,308.0,1385.0,176.0,789.0,663.0,966.0,692.0,943.0,588.0,1241.0,623.0,1178.0,485.0,1431.0,588.0,1477.0,611.0,1373.0,623.0,1327.0,302.0,1391.0,330.0,1333.0,365.0,1740.0,359.0,1677.0
27,566.0,815.0,663.0,913.0,623.0,729.0,307.0,1383.0,175.0,786.0,663.0,964.0,692.0,941.0,583.0,1240.0,617.0,1200.0,485.0,1435.0,589.0,1475.0,612.0,1372.0,617.0,1326.0,301.0,1395.0,330.0,1332.0,365.0,1740.0,359.0,1671.0
28,560.0,811.0,657.0,908.0,623.0,725.0,309.0,1388.0,177.0,788.0,663.0,965.0,686.0,942.0,583.0,1240.0,583.0,1205.0,480.0,1434.0,589.0,1474.0,612.0,1371.0,612.0,1325.0,303.0,1394.0,326.0,1337.0,366.0,1737.0,360.0,1668.0
29,559.0,813.0,657.0,911.0,617.0,727.0,307.0,1387.0,175.0,785.0,657.0,968.0,686.0,940.0,577.0,1238.0,622.0,1198.0,479.0,1433.0,588.0,1473.0,611.0,1370.0,617.0,1324.0,301.0,1393.0,330.0,1336.0,370.0,1743.0,358.0,1674.0
30,554.0,811.0,652.0,909.0,611.0,730.0,305.0,1388.0,172.0,782.0,658.0,966.0,686.0,943.0,577.0,1238.0,623.0,1197.0,473.0,1434.0,588.0,1480.0,611.0,1365.0,611.0,1325.0,305.0,1394.0,328.0,1336.0,363.0,1735.0,357.0,1671.0
