,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,581.0,812.0,672.0,909.0,644.0,728.0,287.0,1389.0,491.0,1203.0,677.0,976.0,706.0,948.0,593.0,1254.0,587.0,1208.0,485.0,1429.0,502.0,1305.0,621.0,1378.0,627.0,1322.0,287.0,1401.0,332.0,1327.0,361.0,1752.0,315.0,1667.0
1,587.0,813.0,677.0,914.0,643.0,728.0,287.0,1389.0,180.0,796.0,677.0,971.0,706.0,948.0,587.0,1254.0,581.0,1208.0,485.0,1429.0,491.0,1299.0,621.0,1378.0,626.0,1316.0,287.0,1401.0,327.0,1333.0,361.0,1746.0,349.0,1666.0
2,587.0,814.0,672.0,915.0,644.0,729.0,288.0,1389.0,181.0,797.0,677.0,971.0,700.0,949.0,587.0,1248.0,582.0,1208.0,486.0,1428.0,491.0,1298.0,621.0,1372.0,632.0,1321.0,283.0,1406.0,328.0,1332.0,362.0,1738.0,356.0,1671.0
3,587.0,815.0,671.0,911.0,643.0,726.0,284.0,1393.0,183.0,799.0,682.0,972.0,705.0,950.0,587.0,1247.0,581.0,1208.0,486.0,1432.0,486.0,1298.0,626.0,1371.0,632.0,1320.0,284.0,1404.0,329.0,1331.0,357.0,1735.0,357.0,1668.0
4,587.0,814.0,677.0,915.0,643.0,729.0,288.0,1394.0,181.0,797.0,677.0,971.0,705.0,949.0,587.0,1247.0,581.0,1208.0,486.0,1433.0,486.0,1298.0,621.0,1371.0,632.0,1321.0,283.0,1405.0,328.0,1332.0,362.0,1737.0,356.0,1670.0
5,587.0,813.0,677.0,915.0,643.0,729.0,288.0,1394.0,181.0,797.0,677.0,971.0,705.0,949.0,587.0,1247.0,581.0,1208.0,485.0,1433.0,491.0,1298.0,615.0,1371.0,632.0,1320.0,283.0,1405.0,328.0,1332.0,361.0,1737.0,356.0,1664.0
6,581.0,812.0,677.0,914.0,643.0,728.0,287.0,1389.0,180.0,795.0,677.0,976.0,706.0,948.0,587.0,1253.0,576.0,1208.0,485.0,1434.0,491.0,1299.0,621.0,1378.0,632.0,1315.0,287.0,1400.0,327.0,1332.0,361.0,1745.0,316.0,1666.0
7,587.0,814.0,671.0,910.0,643.0,730.0,289.0,1388.0,182.0,797.0,677.0,972.0,705.0,949.0,587.0,1248.0,576.0,1208.0,486.0,1433.0,491.0,1298.0,621.0,1371.0,626.0,1326.0,283.0,1405.0,328.0,1332.0,362.0,1737.0,356.0,1664.0
8,581.0,817.0,672.0,913.0,644.0,726.0,287.0,1389.0,179.0,794.0,678.0,975.0,706.0,947.0,587.0,1247.0,581.0,1207.0,485.0,1434.0,491.0,1298.0,621.0,1377.0,632.0,1321.0,287.0,1406.0,327.0,1332.0,361.0,1740.0,315.0,1666.0
9,582.0,811.0,672.0,913.0,644.0,726.0,287.0,1394.0,180.0,794.0,678.0,975.0,706.0,947.0,587.0,1247.0,582.0,1207.0,485.0,1434.0,491.0,1298.0,621.0,1372.0,627.0,1321.0,281.0,1406.0,327.0,1332.0,361.0,1740.0,315.0,1666.0
