,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,506.0,782.0,587.0,887.0,576.0,701.0,269.0,1419.0,431.0,1188.0,576.0,956.0,616.0,921.0,523.0,1211.0,471.0,829.0,408.0,1413.0,431.0,1298.0,604.0,1361.0,616.0,1338.0,269.0,1431.0,327.0,1344.0,350.0,1755.0,373.0,1674.0
1,508.0,782.0,589.0,880.0,577.0,695.0,270.0,1418.0,172.0,776.0,577.0,956.0,612.0,921.0,502.0,1228.0,473.0,828.0,409.0,1413.0,432.0,1297.0,606.0,1355.0,623.0,1326.0,270.0,1430.0,322.0,1343.0,346.0,1754.0,374.0,1673.0
2,513.0,782.0,588.0,880.0,577.0,695.0,270.0,1419.0,171.0,776.0,577.0,955.0,612.0,921.0,502.0,1222.0,531.0,1170.0,409.0,1413.0,432.0,1297.0,606.0,1361.0,612.0,1326.0,270.0,1436.0,328.0,1344.0,351.0,1755.0,374.0,1674.0
3,507.0,781.0,587.0,883.0,569.0,696.0,268.0,1418.0,172.0,775.0,581.0,957.0,615.0,918.0,501.0,1225.0,473.0,827.0,405.0,1406.0,422.0,1287.0,604.0,1355.0,604.0,1327.0,268.0,1429.0,331.0,1344.0,336.0,1736.0,353.0,1691.0
4,507.0,785.0,587.0,888.0,575.0,699.0,267.0,1419.0,170.0,774.0,575.0,956.0,610.0,922.0,501.0,1225.0,478.0,819.0,404.0,1407.0,427.0,1293.0,604.0,1356.0,604.0,1327.0,267.0,1430.0,324.0,1344.0,353.0,1738.0,347.0,1693.0
5,513.0,787.0,588.0,886.0,576.0,694.0,268.0,1421.0,170.0,775.0,576.0,956.0,611.0,921.0,501.0,1217.0,530.0,1165.0,408.0,1409.0,431.0,1304.0,606.0,1357.0,611.0,1322.0,268.0,1432.0,321.0,1345.0,350.0,1752.0,367.0,1676.0
6,512.0,782.0,588.0,881.0,576.0,701.0,268.0,1421.0,170.0,776.0,576.0,956.0,611.0,921.0,507.0,1212.0,530.0,1165.0,408.0,1409.0,431.0,1305.0,611.0,1357.0,611.0,1322.0,268.0,1432.0,321.0,1345.0,350.0,1752.0,373.0,1676.0
7,512.0,785.0,588.0,884.0,577.0,697.0,267.0,1422.0,168.0,773.0,577.0,960.0,606.0,919.0,501.0,1217.0,477.0,826.0,407.0,1410.0,425.0,1299.0,612.0,1357.0,606.0,1317.0,267.0,1433.0,326.0,1346.0,349.0,1755.0,372.0,1679.0
8,508.0,781.0,589.0,885.0,577.0,694.0,271.0,1417.0,172.0,775.0,577.0,960.0,606.0,919.0,502.0,1226.0,479.0,827.0,410.0,1411.0,433.0,1295.0,612.0,1359.0,618.0,1336.0,265.0,1434.0,323.0,1342.0,352.0,1747.0,375.0,1671.0
9,507.0,782.0,589.0,880.0,577.0,695.0,270.0,1420.0,171.0,776.0,577.0,956.0,612.0,921.0,502.0,1217.0,531.0,1165.0,409.0,1408.0,432.0,1298.0,612.0,1356.0,612.0,1321.0,270.0,1432.0,328.0,1345.0,351.0,1751.0,374.0,1675.0
10,513.0,782.0,588.0,880.0,577.0,695.0,271.0,1417.0,172.0,776.0,577.0,961.0,611.0,920.0,507.0,1221.0,530.0,1169.0,409.0,1411.0,432.0,1296.0,605.0,1359.0,623.0,1336.0,265.0,1434.0,328.0,1342.0,346.0,1752.0,374.0,1671.0
11,508.0,779.0,588.0,882.0,574.0,684.0,273.0,1416.0,175.0,779.0,577.0,957.0,611.0,922.0,502.0,1221.0,473.0,830.0,405.0,1410.0,433.0,1295.0,605.0,1358.0,611.0,1330.0,267.0,1433.0,324.0,1347.0,353.0,1743.0,370.0,1668.0
12,507.0,788.0,586.0,884.0,569.0,692.0,270.0,1415.0,174.0,777.0,581.0,957.0,609.0,918.0,502.0,1223.0,479.0,828.0,406.0,1404.0,423.0,1291.0,603.0,1353.0,603.0,1325.0,264.0,1426.0,332.0,1342.0,332.0,1731.0,377.0,1680.0
