,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,468.0,794.0,556.0,887.0,523.0,701.0,265.0,1425.0,171.0,783.0,561.0,953.0,572.0,926.0,501.0,1239.0,501.0,1189.0,374.0,1392.0,369.0,1321.0,605.0,1348.0,561.0,1304.0,259.0,1431.0,314.0,1348.0,364.0,1716.0,336.0,1678.0
1,461.0,790.0,555.0,890.0,522.0,702.0,261.0,1423.0,167.0,779.0,561.0,951.0,572.0,929.0,494.0,1234.0,483.0,1190.0,372.0,1401.0,366.0,1323.0,605.0,1345.0,566.0,1301.0,261.0,1434.0,311.0,1351.0,361.0,1717.0,339.0,1678.0
2,463.0,790.0,551.0,890.0,524.0,701.0,263.0,1422.0,169.0,779.0,557.0,956.0,568.0,929.0,490.0,1228.0,485.0,1189.0,374.0,1395.0,368.0,1322.0,607.0,1345.0,562.0,1300.0,263.0,1433.0,313.0,1350.0,363.0,1716.0,340.0,1678.0
3,468.0,793.0,552.0,888.0,524.0,704.0,261.0,1419.0,166.0,776.0,557.0,955.0,563.0,927.0,490.0,1229.0,484.0,1190.0,373.0,1397.0,367.0,1324.0,613.0,1352.0,563.0,1307.0,261.0,1430.0,311.0,1352.0,356.0,1721.0,345.0,1681.0
4,463.0,788.0,552.0,888.0,518.0,699.0,262.0,1422.0,168.0,777.0,552.0,955.0,563.0,927.0,490.0,1233.0,468.0,1194.0,374.0,1400.0,368.0,1328.0,607.0,1344.0,563.0,1300.0,262.0,1433.0,312.0,1350.0,362.0,1717.0,340.0,1678.0
5,464.0,796.0,553.0,891.0,514.0,701.0,262.0,1422.0,167.0,774.0,553.0,952.0,570.0,930.0,492.0,1226.0,480.0,1193.0,374.0,1400.0,369.0,1321.0,609.0,1349.0,570.0,1310.0,262.0,1433.0,313.0,1349.0,352.0,1718.0,341.0,1679.0
6,458.0,794.0,552.0,894.0,513.0,705.0,263.0,1421.0,169.0,777.0,552.0,955.0,568.0,933.0,491.0,1232.0,469.0,1193.0,374.0,1399.0,369.0,1321.0,607.0,1349.0,563.0,1310.0,258.0,1432.0,308.0,1349.0,363.0,1720.0,341.0,1676.0
7,453.0,794.0,547.0,888.0,508.0,699.0,264.0,1426.0,170.0,777.0,547.0,955.0,564.0,927.0,492.0,1232.0,486.0,1193.0,370.0,1404.0,375.0,1321.0,608.0,1348.0,564.0,1315.0,259.0,1432.0,309.0,1348.0,359.0,1714.0,342.0,1676.0
8,453.0,793.0,542.0,888.0,509.0,699.0,265.0,1425.0,171.0,777.0,547.0,954.0,570.0,926.0,486.0,1237.0,475.0,1192.0,370.0,1397.0,376.0,1320.0,608.0,1353.0,570.0,1320.0,259.0,1431.0,309.0,1347.0,359.0,1719.0,342.0,1680.0
9,443.0,792.0,542.0,891.0,503.0,704.0,266.0,1421.0,751.0,781.0,547.0,952.0,569.0,930.0,492.0,1233.0,487.0,1189.0,371.0,1399.0,376.0,1316.0,597.0,1344.0,558.0,1310.0,260.0,1432.0,310.0,1355.0,360.0,1713.0,343.0,1675.0
