,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,522.0,798.0,601.0,894.0,578.0,702.0,284.0,1409.0,448.0,1188.0,590.0,968.0,635.0,934.0,522.0,1245.0,494.0,838.0,420.0,1409.0,443.0,1318.0,607.0,1364.0,629.0,1335.0,279.0,1420.0,347.0,1335.0,347.0,1737.0,380.0,1663.0
1,522.0,798.0,601.0,894.0,578.0,702.0,279.0,1414.0,183.0,787.0,595.0,967.0,640.0,928.0,516.0,1233.0,494.0,838.0,414.0,1414.0,448.0,1312.0,607.0,1363.0,623.0,1329.0,279.0,1425.0,341.0,1335.0,335.0,1742.0,375.0,1662.0
2,522.0,798.0,601.0,894.0,579.0,702.0,280.0,1413.0,184.0,787.0,595.0,967.0,635.0,928.0,517.0,1232.0,488.0,837.0,421.0,1413.0,443.0,1305.0,607.0,1362.0,624.0,1334.0,280.0,1424.0,342.0,1339.0,336.0,1740.0,381.0,1666.0
3,516.0,802.0,601.0,892.0,578.0,706.0,279.0,1413.0,182.0,785.0,595.0,972.0,641.0,932.0,516.0,1238.0,539.0,1198.0,414.0,1413.0,443.0,1317.0,607.0,1362.0,629.0,1328.0,279.0,1424.0,341.0,1339.0,335.0,1741.0,369.0,1668.0
4,522.0,801.0,601.0,892.0,573.0,705.0,278.0,1413.0,182.0,784.0,595.0,971.0,641.0,931.0,516.0,1237.0,488.0,835.0,414.0,1413.0,573.0,1470.0,607.0,1368.0,629.0,1334.0,278.0,1424.0,340.0,1339.0,335.0,1742.0,374.0,1668.0
5,517.0,802.0,601.0,892.0,573.0,706.0,279.0,1412.0,183.0,785.0,596.0,971.0,641.0,932.0,517.0,1237.0,488.0,836.0,415.0,1412.0,443.0,1305.0,613.0,1361.0,630.0,1333.0,279.0,1424.0,341.0,1339.0,336.0,1740.0,375.0,1667.0
6,523.0,795.0,608.0,892.0,579.0,705.0,279.0,1413.0,183.0,784.0,591.0,965.0,642.0,926.0,517.0,1237.0,494.0,835.0,415.0,1413.0,444.0,1305.0,608.0,1362.0,625.0,1334.0,279.0,1424.0,342.0,1339.0,336.0,1741.0,370.0,1668.0
7,523.0,800.0,602.0,891.0,580.0,704.0,279.0,1412.0,183.0,783.0,591.0,965.0,642.0,925.0,517.0,1237.0,489.0,834.0,421.0,1412.0,449.0,1299.0,608.0,1361.0,631.0,1333.0,279.0,1424.0,342.0,1339.0,336.0,1741.0,370.0,1662.0
8,517.0,799.0,602.0,890.0,574.0,702.0,283.0,1414.0,181.0,782.0,591.0,970.0,636.0,930.0,517.0,1237.0,488.0,833.0,420.0,1414.0,574.0,1471.0,608.0,1363.0,625.0,1329.0,277.0,1425.0,346.0,1340.0,340.0,1739.0,374.0,1670.0
9,517.0,799.0,602.0,889.0,573.0,702.0,278.0,1411.0,182.0,782.0,590.0,969.0,641.0,929.0,517.0,1235.0,488.0,833.0,420.0,1411.0,449.0,1303.0,613.0,1366.0,630.0,1332.0,278.0,1422.0,346.0,1337.0,329.0,1740.0,380.0,1666.0
10,521.0,799.0,601.0,891.0,572.0,701.0,279.0,1416.0,175.0,776.0,595.0,966.0,642.0,926.0,515.0,1231.0,538.0,1191.0,417.0,1410.0,578.0,1473.0,607.0,1358.0,630.0,1318.0,279.0,1421.0,342.0,1341.0,342.0,1744.0,371.0,1669.0
11,516.0,796.0,602.0,888.0,573.0,704.0,280.0,1410.0,177.0,779.0,590.0,968.0,636.0,928.0,516.0,1232.0,493.0,830.0,418.0,1410.0,579.0,1473.0,607.0,1364.0,630.0,1330.0,280.0,1421.0,343.0,1341.0,343.0,1743.0,372.0,1668.0
12,521.0,795.0,602.0,893.0,573.0,703.0,285.0,1410.0,176.0,778.0,590.0,968.0,642.0,927.0,515.0,1232.0,492.0,830.0,418.0,1410.0,579.0,1474.0,607.0,1359.0,630.0,1324.0,280.0,1422.0,343.0,1336.0,343.0,1744.0,372.0,1669.0
13,516.0,797.0,602.0,889.0,573.0,705.0,281.0,1410.0,178.0,780.0,590.0,969.0,636.0,929.0,516.0,1232.0,493.0,831.0,418.0,1410.0,579.0,1473.0,607.0,1364.0,630.0,1330.0,281.0,1421.0,344.0,1341.0,344.0,1742.0,372.0,1668.0
14,521.0,801.0,602.0,893.0,573.0,703.0,280.0,1410.0,176.0,778.0,590.0,967.0,636.0,927.0,516.0,1232.0,493.0,829.0,418.0,1410.0,579.0,1474.0,608.0,1370.0,636.0,1336.0,280.0,1422.0,343.0,1336.0,337.0,1744.0,372.0,1669.0
15,516.0,796.0,602.0,894.0,573.0,704.0,281.0,1411.0,177.0,779.0,591.0,968.0,637.0,928.0,516.0,1238.0,493.0,831.0,418.0,1416.0,579.0,1474.0,608.0,1365.0,631.0,1330.0,281.0,1422.0,344.0,1342.0,344.0,1744.0,372.0,1669.0
16,515.0,798.0,601.0,890.0,573.0,707.0,281.0,1410.0,178.0,781.0,595.0,970.0,641.0,930.0,515.0,1233.0,492.0,832.0,418.0,1410.0,578.0,1473.0,613.0,1364.0,635.0,1330.0,281.0,1422.0,344.0,1336.0,344.0,1742.0,372.0,1668.0
17,516.0,799.0,601.0,891.0,573.0,702.0,281.0,1410.0,179.0,782.0,596.0,971.0,636.0,931.0,516.0,1239.0,493.0,834.0,419.0,1410.0,578.0,1473.0,613.0,1365.0,624.0,1330.0,281.0,1422.0,339.0,1336.0,344.0,1742.0,373.0,1667.0
18,516.0,797.0,602.0,889.0,579.0,706.0,286.0,1412.0,177.0,780.0,596.0,970.0,642.0,929.0,516.0,1234.0,493.0,832.0,418.0,1412.0,579.0,1475.0,613.0,1371.0,636.0,1337.0,280.0,1423.0,343.0,1337.0,349.0,1745.0,372.0,1670.0
19,516.0,797.0,602.0,894.0,573.0,705.0,281.0,1410.0,177.0,779.0,590.0,969.0,636.0,929.0,516.0,1238.0,493.0,831.0,418.0,1410.0,579.0,1474.0,608.0,1365.0,631.0,1324.0,281.0,1422.0,344.0,1336.0,344.0,1743.0,372.0,1669.0
20,516.0,798.0,602.0,889.0,573.0,707.0,282.0,1414.0,180.0,781.0,596.0,969.0,642.0,929.0,516.0,1237.0,488.0,832.0,419.0,1414.0,442.0,1317.0,613.0,1363.0,636.0,1334.0,277.0,1425.0,345.0,1340.0,339.0,1739.0,374.0,1665.0
21,517.0,800.0,602.0,891.0,573.0,704.0,279.0,1412.0,182.0,783.0,596.0,970.0,636.0,931.0,517.0,1237.0,488.0,834.0,420.0,1407.0,449.0,1305.0,607.0,1356.0,624.0,1327.0,279.0,1424.0,341.0,1339.0,335.0,1741.0,375.0,1668.0
