,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,495.0,791.0,579.0,892.0,553.0,694.0,277.0,1416.0,445.0,1187.0,573.0,970.0,606.0,931.0,500.0,1260.0,461.0,836.0,405.0,1427.0,567.0,1461.0,612.0,1366.0,612.0,1338.0,277.0,1427.0,339.0,1344.0,339.0,1729.0,383.0,1684.0
1,488.0,790.0,578.0,891.0,550.0,700.0,280.0,1418.0,185.0,784.0,572.0,969.0,606.0,930.0,499.0,1250.0,460.0,835.0,404.0,1430.0,566.0,1463.0,611.0,1368.0,606.0,1334.0,274.0,1430.0,336.0,1345.0,331.0,1733.0,370.0,1688.0
2,494.0,791.0,578.0,892.0,553.0,693.0,276.0,1418.0,186.0,786.0,572.0,970.0,611.0,926.0,500.0,1250.0,460.0,836.0,404.0,1429.0,572.0,1469.0,606.0,1368.0,617.0,1334.0,276.0,1429.0,337.0,1346.0,332.0,1732.0,376.0,1687.0
3,495.0,791.0,579.0,892.0,551.0,701.0,276.0,1413.0,186.0,785.0,573.0,970.0,607.0,931.0,500.0,1251.0,461.0,836.0,405.0,1430.0,568.0,1464.0,612.0,1368.0,612.0,1335.0,276.0,1430.0,332.0,1340.0,327.0,1733.0,377.0,1682.0
4,495.0,792.0,579.0,892.0,554.0,694.0,277.0,1417.0,188.0,786.0,573.0,970.0,607.0,926.0,501.0,1249.0,461.0,836.0,406.0,1428.0,562.0,1462.0,612.0,1367.0,607.0,1333.0,272.0,1428.0,333.0,1344.0,333.0,1724.0,367.0,1685.0
5,495.0,793.0,579.0,893.0,554.0,696.0,278.0,1417.0,189.0,787.0,573.0,971.0,607.0,927.0,495.0,1250.0,462.0,838.0,406.0,1428.0,562.0,1461.0,612.0,1367.0,612.0,1333.0,272.0,1428.0,334.0,1345.0,334.0,1729.0,373.0,1684.0
6,494.0,792.0,578.0,893.0,553.0,695.0,277.0,1417.0,188.0,787.0,573.0,965.0,606.0,926.0,500.0,1250.0,461.0,837.0,405.0,1428.0,567.0,1467.0,612.0,1367.0,612.0,1333.0,277.0,1428.0,333.0,1345.0,333.0,1730.0,372.0,1685.0
7,494.0,792.0,578.0,892.0,553.0,694.0,276.0,1418.0,187.0,786.0,572.0,965.0,606.0,926.0,500.0,1250.0,461.0,836.0,405.0,1429.0,505.0,719.0,612.0,1367.0,623.0,1334.0,276.0,1429.0,338.0,1340.0,326.0,1731.0,382.0,1681.0
8,495.0,791.0,579.0,892.0,554.0,694.0,278.0,1416.0,189.0,786.0,573.0,970.0,607.0,931.0,495.0,1249.0,462.0,836.0,406.0,1427.0,568.0,1461.0,613.0,1366.0,613.0,1332.0,272.0,1427.0,334.0,1343.0,334.0,1728.0,378.0,1684.0
9,489.0,790.0,579.0,891.0,551.0,700.0,276.0,1419.0,186.0,785.0,573.0,970.0,607.0,930.0,500.0,1250.0,461.0,835.0,405.0,1430.0,568.0,1464.0,613.0,1363.0,618.0,1335.0,276.0,1430.0,332.0,1346.0,321.0,1733.0,382.0,1682.0
