,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,381.0,904.0,481.0,973.0,413.0,819.0,222.0,1444.0,698.0,899.0,476.0,1021.0,529.0,1005.0,471.0,1243.0,476.0,1211.0,402.0,1412.0,370.0,1327.0,503.0,1364.0,534.0,1354.0,222.0,1454.0,291.0,1380.0,339.0,1708.0,397.0,1639.0
1,380.0,904.0,481.0,973.0,412.0,819.0,221.0,1444.0,698.0,898.0,475.0,1020.0,528.0,999.0,465.0,1243.0,475.0,1211.0,401.0,1413.0,353.0,1328.0,497.0,1359.0,539.0,1349.0,221.0,1455.0,284.0,1381.0,343.0,1709.0,391.0,1635.0
2,384.0,905.0,484.0,974.0,410.0,821.0,220.0,1444.0,696.0,900.0,474.0,1022.0,527.0,1001.0,463.0,1244.0,474.0,1212.0,405.0,1413.0,352.0,1333.0,495.0,1360.0,532.0,1349.0,220.0,1455.0,289.0,1376.0,342.0,1709.0,394.0,1635.0
3,378.0,905.0,484.0,973.0,410.0,820.0,225.0,1444.0,696.0,899.0,473.0,1021.0,526.0,1000.0,463.0,1243.0,473.0,1211.0,405.0,1412.0,352.0,1333.0,500.0,1365.0,537.0,1354.0,220.0,1455.0,288.0,1381.0,341.0,1709.0,394.0,1629.0
4,379.0,905.0,479.0,974.0,411.0,820.0,220.0,1444.0,696.0,900.0,474.0,1021.0,527.0,1000.0,464.0,1243.0,474.0,1212.0,405.0,1412.0,353.0,1333.0,501.0,1360.0,532.0,1349.0,220.0,1455.0,289.0,1381.0,342.0,1708.0,395.0,1634.0
5,381.0,905.0,481.0,974.0,413.0,820.0,222.0,1444.0,698.0,899.0,476.0,1021.0,529.0,1000.0,465.0,1243.0,476.0,1206.0,402.0,1412.0,354.0,1333.0,502.0,1360.0,534.0,1349.0,222.0,1455.0,291.0,1381.0,338.0,1709.0,391.0,1640.0
6,376.0,904.0,482.0,973.0,408.0,824.0,222.0,1444.0,699.0,899.0,477.0,1021.0,530.0,999.0,466.0,1243.0,477.0,1206.0,403.0,1413.0,355.0,1333.0,503.0,1360.0,530.0,1349.0,222.0,1455.0,286.0,1375.0,344.0,1709.0,392.0,1635.0
7,380.0,904.0,480.0,973.0,411.0,819.0,221.0,1444.0,698.0,898.0,475.0,1020.0,528.0,1004.0,464.0,1243.0,475.0,1206.0,401.0,1413.0,353.0,1328.0,502.0,1360.0,533.0,1349.0,221.0,1455.0,290.0,1381.0,343.0,1709.0,396.0,1635.0
8,380.0,903.0,481.0,972.0,407.0,819.0,222.0,1443.0,698.0,898.0,476.0,1020.0,529.0,999.0,465.0,1242.0,481.0,1205.0,402.0,1412.0,359.0,1327.0,497.0,1359.0,534.0,1348.0,222.0,1454.0,290.0,1375.0,343.0,1708.0,396.0,1639.0
9,376.0,904.0,481.0,973.0,407.0,825.0,222.0,1443.0,698.0,899.0,476.0,1020.0,529.0,999.0,465.0,1242.0,481.0,1205.0,402.0,1411.0,360.0,1327.0,502.0,1359.0,534.0,1348.0,222.0,1454.0,291.0,1380.0,339.0,1713.0,391.0,1639.0
10,375.0,909.0,480.0,967.0,406.0,825.0,221.0,1443.0,697.0,899.0,475.0,1020.0,528.0,999.0,465.0,1237.0,480.0,1205.0,401.0,1411.0,359.0,1327.0,496.0,1359.0,533.0,1348.0,221.0,1454.0,290.0,1374.0,343.0,1713.0,391.0,1639.0
11,375.0,909.0,481.0,967.0,402.0,824.0,222.0,1442.0,698.0,898.0,470.0,1020.0,523.0,999.0,465.0,1242.0,476.0,1210.0,402.0,1411.0,354.0,1331.0,502.0,1363.0,534.0,1347.0,222.0,1453.0,285.0,1379.0,338.0,1712.0,391.0,1627.0
12,378.0,908.0,479.0,972.0,405.0,823.0,224.0,1444.0,697.0,897.0,474.0,1020.0,521.0,998.0,463.0,1243.0,468.0,1211.0,405.0,1413.0,357.0,1328.0,500.0,1359.0,532.0,1349.0,219.0,1455.0,288.0,1381.0,341.0,1710.0,394.0,1630.0
13,377.0,909.0,477.0,968.0,403.0,825.0,223.0,1445.0,695.0,899.0,472.0,1021.0,525.0,1000.0,467.0,1243.0,477.0,1206.0,403.0,1413.0,366.0,1328.0,499.0,1360.0,536.0,1349.0,223.0,1455.0,287.0,1376.0,345.0,1715.0,393.0,1630.0
14,372.0,908.0,479.0,972.0,399.0,823.0,224.0,1445.0,696.0,898.0,468.0,1020.0,521.0,998.0,463.0,1243.0,473.0,1211.0,404.0,1413.0,356.0,1328.0,500.0,1360.0,532.0,1349.0,218.0,1455.0,287.0,1376.0,346.0,1716.0,394.0,1631.0
15,375.0,908.0,476.0,972.0,397.0,824.0,222.0,1444.0,699.0,898.0,465.0,1020.0,524.0,998.0,460.0,1242.0,476.0,1210.0,402.0,1412.0,354.0,1332.0,497.0,1359.0,540.0,1353.0,222.0,1454.0,285.0,1380.0,344.0,1708.0,391.0,1634.0
16,369.0,910.0,475.0,968.0,396.0,825.0,221.0,1444.0,697.0,899.0,465.0,1021.0,523.0,1000.0,459.0,1238.0,475.0,1211.0,401.0,1412.0,354.0,1333.0,496.0,1359.0,539.0,1349.0,221.0,1454.0,285.0,1380.0,343.0,1708.0,391.0,1639.0
17,372.0,911.0,477.0,969.0,388.0,827.0,224.0,1444.0,693.0,901.0,467.0,1017.0,525.0,1001.0,461.0,1238.0,477.0,1212.0,403.0,1412.0,356.0,1328.0,498.0,1359.0,535.0,1354.0,224.0,1454.0,288.0,1380.0,346.0,1712.0,393.0,1633.0
18,368.0,915.0,474.0,968.0,390.0,825.0,225.0,1444.0,697.0,899.0,464.0,1021.0,522.0,1000.0,458.0,1238.0,480.0,1211.0,400.0,1413.0,358.0,1328.0,501.0,1360.0,533.0,1349.0,220.0,1455.0,289.0,1381.0,342.0,1709.0,390.0,1635.0
19,365.0,912.0,475.0,970.0,386.0,828.0,223.0,1443.0,696.0,902.0,460.0,1017.0,523.0,1001.0,460.0,1238.0,475.0,1217.0,402.0,1411.0,354.0,1332.0,502.0,1359.0,533.0,1348.0,223.0,1453.0,286.0,1380.0,344.0,1716.0,391.0,1632.0
20,362.0,917.0,473.0,970.0,383.0,827.0,225.0,1444.0,694.0,901.0,462.0,1017.0,520.0,1001.0,457.0,1239.0,478.0,1212.0,399.0,1413.0,357.0,1328.0,499.0,1360.0,536.0,1349.0,219.0,1455.0,288.0,1376.0,346.0,1713.0,393.0,1634.0
21,357.0,912.0,468.0,970.0,383.0,828.0,225.0,1446.0,695.0,902.0,457.0,1018.0,515.0,1002.0,457.0,1240.0,473.0,1213.0,399.0,1414.0,352.0,1330.0,494.0,1361.0,531.0,1351.0,220.0,1456.0,288.0,1377.0,346.0,1715.0,394.0,1630.0
22,355.0,917.0,466.0,970.0,381.0,827.0,222.0,1446.0,693.0,901.0,455.0,1017.0,513.0,1002.0,455.0,1240.0,476.0,1213.0,397.0,1414.0,360.0,1329.0,497.0,1356.0,534.0,1351.0,222.0,1456.0,286.0,1377.0,344.0,1716.0,392.0,1631.0
23,355.0,917.0,462.0,970.0,371.0,831.0,227.0,1446.0,682.0,901.0,452.0,1018.0,505.0,997.0,452.0,1243.0,462.0,1211.0,398.0,1414.0,355.0,1334.0,494.0,1355.0,527.0,1350.0,222.0,1457.0,291.0,1377.0,339.0,1708.0,393.0,1639.0
24,349.0,924.0,455.0,972.0,370.0,828.0,226.0,1446.0,679.0,902.0,450.0,1020.0,503.0,998.0,450.0,1244.0,466.0,1212.0,397.0,1414.0,359.0,1334.0,498.0,1361.0,530.0,1350.0,221.0,1457.0,285.0,1377.0,343.0,1713.0,391.0,1638.0
25,345.0,924.0,457.0,972.0,361.0,828.0,222.0,1446.0,680.0,903.0,446.0,1020.0,499.0,999.0,451.0,1243.0,462.0,1211.0,393.0,1414.0,361.0,1323.0,494.0,1361.0,526.0,1350.0,222.0,1456.0,286.0,1377.0,345.0,1712.0,393.0,1637.0
26,333.0,925.0,450.0,973.0,360.0,829.0,227.0,1446.0,679.0,903.0,439.0,1021.0,498.0,999.0,445.0,1244.0,461.0,1217.0,392.0,1414.0,360.0,1324.0,498.0,1356.0,525.0,1351.0,221.0,1457.0,290.0,1377.0,344.0,1713.0,392.0,1638.0
27,332.0,927.0,443.0,975.0,348.0,832.0,226.0,1446.0,676.0,906.0,438.0,1022.0,491.0,996.0,443.0,1245.0,459.0,1213.0,390.0,1415.0,358.0,1324.0,496.0,1356.0,523.0,1351.0,221.0,1457.0,284.0,1377.0,348.0,1717.0,390.0,1632.0
28,328.0,928.0,439.0,976.0,344.0,833.0,222.0,1445.0,676.0,907.0,433.0,1023.0,491.0,997.0,439.0,1245.0,460.0,1218.0,391.0,1419.0,360.0,1324.0,497.0,1356.0,523.0,1350.0,222.0,1456.0,286.0,1377.0,344.0,1714.0,391.0,1635.0
29,322.0,931.0,432.0,973.0,337.0,836.0,227.0,1445.0,673.0,910.0,427.0,1020.0,484.0,999.0,437.0,1241.0,458.0,1214.0,385.0,1419.0,358.0,1335.0,495.0,1356.0,526.0,1351.0,222.0,1456.0,285.0,1377.0,343.0,1713.0,395.0,1634.0
30,320.0,933.0,429.0,975.0,325.0,845.0,226.0,1445.0,670.0,912.0,424.0,1022.0,482.0,1001.0,435.0,1247.0,466.0,1215.0,388.0,1419.0,361.0,1320.0,497.0,1356.0,529.0,1346.0,220.0,1456.0,288.0,1377.0,346.0,1712.0,393.0,1639.0
31,315.0,937.0,423.0,973.0,320.0,849.0,226.0,1445.0,662.0,916.0,418.0,1025.0,475.0,999.0,429.0,1243.0,455.0,1212.0,382.0,1419.0,366.0,1315.0,491.0,1357.0,527.0,1347.0,221.0,1455.0,289.0,1378.0,346.0,1710.0,398.0,1637.0
32,304.0,940.0,412.0,976.0,309.0,852.0,227.0,1444.0,659.0,919.0,412.0,1022.0,464.0,996.0,428.0,1243.0,458.0,1218.0,381.0,1424.0,366.0,1315.0,500.0,1357.0,525.0,1346.0,222.0,1460.0,283.0,1377.0,345.0,1712.0,392.0,1640.0
33,299.0,944.0,407.0,975.0,304.0,851.0,222.0,1448.0,659.0,918.0,407.0,1026.0,458.0,995.0,422.0,1242.0,479.0,1212.0,381.0,1422.0,360.0,1335.0,499.0,1356.0,525.0,1345.0,222.0,1459.0,283.0,1376.0,345.0,1711.0,391.0,1639.0
34,289.0,943.0,396.0,979.0,289.0,857.0,223.0,1448.0,661.0,923.0,401.0,1025.0,452.0,994.0,422.0,1244.0,452.0,1214.0,376.0,1423.0,361.0,1336.0,493.0,1361.0,519.0,1346.0,223.0,1458.0,284.0,1377.0,345.0,1713.0,396.0,1647.0
