,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,597.0,870.0,665.0,943.0,626.0,783.0,380.0,1353.0,534.0,1199.0,665.0,1015.0,684.0,972.0,616.0,1223.0,636.0,1189.0,539.0,1344.0,529.0,1276.0,669.0,1310.0,645.0,1281.0,380.0,1363.0,414.0,1300.0,433.0,1614.0,476.0,1556.0
1,594.0,870.0,661.0,943.0,627.0,783.0,381.0,1353.0,261.0,846.0,661.0,1015.0,690.0,967.0,613.0,1223.0,637.0,1174.0,536.0,1339.0,531.0,1271.0,671.0,1305.0,647.0,1276.0,381.0,1363.0,410.0,1305.0,434.0,1614.0,478.0,1556.0
2,590.0,869.0,663.0,942.0,624.0,782.0,382.0,1354.0,261.0,845.0,663.0,1014.0,687.0,971.0,615.0,1218.0,639.0,1174.0,537.0,1339.0,532.0,1271.0,673.0,1305.0,649.0,1276.0,377.0,1364.0,411.0,1305.0,435.0,1611.0,474.0,1553.0
3,586.0,869.0,663.0,942.0,624.0,782.0,382.0,1354.0,260.0,845.0,663.0,1015.0,687.0,971.0,615.0,1219.0,634.0,1175.0,537.0,1340.0,532.0,1272.0,673.0,1306.0,649.0,1277.0,377.0,1359.0,411.0,1301.0,435.0,1612.0,474.0,1553.0
4,590.0,871.0,662.0,943.0,624.0,784.0,382.0,1353.0,262.0,846.0,662.0,1015.0,687.0,972.0,614.0,1218.0,638.0,1175.0,537.0,1344.0,532.0,1271.0,672.0,1310.0,648.0,1276.0,378.0,1363.0,407.0,1305.0,436.0,1614.0,474.0,1556.0
5,585.0,866.0,662.0,943.0,623.0,784.0,382.0,1353.0,261.0,847.0,662.0,1016.0,686.0,972.0,614.0,1223.0,638.0,1175.0,536.0,1339.0,532.0,1267.0,672.0,1310.0,647.0,1276.0,377.0,1363.0,411.0,1305.0,435.0,1614.0,474.0,1556.0
6,585.0,870.0,663.0,943.0,624.0,783.0,378.0,1354.0,257.0,846.0,663.0,1015.0,687.0,967.0,614.0,1223.0,639.0,1170.0,532.0,1344.0,532.0,1267.0,668.0,1305.0,643.0,1276.0,378.0,1363.0,407.0,1305.0,436.0,1615.0,474.0,1552.0
7,586.0,870.0,664.0,943.0,625.0,783.0,378.0,1354.0,257.0,846.0,664.0,1015.0,688.0,967.0,615.0,1223.0,639.0,1170.0,533.0,1344.0,528.0,1267.0,668.0,1305.0,644.0,1276.0,378.0,1363.0,407.0,1305.0,436.0,1615.0,475.0,1552.0
8,579.0,871.0,662.0,944.0,623.0,784.0,382.0,1354.0,256.0,847.0,662.0,1016.0,686.0,973.0,613.0,1219.0,637.0,1176.0,536.0,1345.0,531.0,1267.0,671.0,1306.0,642.0,1277.0,377.0,1364.0,410.0,1301.0,435.0,1610.0,478.0,1552.0
9,579.0,872.0,661.0,944.0,627.0,785.0,381.0,1355.0,255.0,847.0,666.0,1017.0,685.0,973.0,617.0,1220.0,637.0,1176.0,535.0,1345.0,530.0,1268.0,670.0,1306.0,641.0,1278.0,376.0,1360.0,410.0,1302.0,434.0,1611.0,477.0,1548.0
