,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,590.0,870.0,668.0,943.0,629.0,783.0,386.0,1342.0,536.0,1191.0,663.0,1011.0,687.0,972.0,619.0,1225.0,638.0,1171.0,561.0,1351.0,517.0,1274.0,672.0,1312.0,643.0,1283.0,386.0,1346.0,415.0,1293.0,425.0,1614.0,464.0,1565.0
1,590.0,866.0,667.0,943.0,629.0,783.0,386.0,1342.0,255.0,841.0,667.0,1006.0,687.0,972.0,619.0,1220.0,638.0,1172.0,561.0,1351.0,527.0,1259.0,672.0,1313.0,643.0,1279.0,386.0,1351.0,410.0,1298.0,425.0,1614.0,463.0,1560.0
2,591.0,871.0,668.0,944.0,629.0,784.0,387.0,1341.0,256.0,842.0,663.0,1007.0,688.0,973.0,615.0,1220.0,639.0,1172.0,557.0,1356.0,528.0,1259.0,673.0,1312.0,644.0,1278.0,387.0,1351.0,406.0,1298.0,426.0,1613.0,465.0,1560.0
3,599.0,866.0,667.0,944.0,633.0,784.0,385.0,1341.0,254.0,842.0,667.0,1007.0,686.0,973.0,618.0,1220.0,637.0,1172.0,560.0,1351.0,526.0,1259.0,671.0,1312.0,642.0,1278.0,385.0,1351.0,410.0,1298.0,424.0,1608.0,463.0,1550.0
4,589.0,867.0,667.0,945.0,628.0,785.0,386.0,1343.0,254.0,843.0,667.0,1008.0,687.0,969.0,619.0,1217.0,638.0,1173.0,560.0,1353.0,546.0,1260.0,672.0,1309.0,638.0,1275.0,386.0,1353.0,410.0,1299.0,424.0,1610.0,463.0,1552.0
5,589.0,867.0,667.0,945.0,628.0,785.0,386.0,1343.0,255.0,843.0,667.0,1008.0,686.0,974.0,619.0,1216.0,638.0,1173.0,560.0,1352.0,546.0,1260.0,667.0,1309.0,638.0,1275.0,386.0,1352.0,410.0,1299.0,424.0,1610.0,463.0,1551.0
6,590.0,867.0,667.0,944.0,628.0,784.0,386.0,1341.0,255.0,842.0,667.0,1007.0,687.0,973.0,619.0,1220.0,638.0,1172.0,556.0,1351.0,527.0,1254.0,672.0,1312.0,643.0,1278.0,386.0,1351.0,410.0,1298.0,425.0,1608.0,464.0,1555.0
7,589.0,867.0,667.0,944.0,633.0,784.0,385.0,1342.0,255.0,843.0,667.0,1007.0,686.0,973.0,618.0,1221.0,638.0,1172.0,560.0,1352.0,526.0,1255.0,672.0,1308.0,638.0,1274.0,385.0,1352.0,410.0,1298.0,424.0,1609.0,463.0,1551.0
8,590.0,868.0,668.0,946.0,629.0,785.0,386.0,1339.0,255.0,844.0,668.0,1009.0,687.0,970.0,619.0,1217.0,638.0,1174.0,561.0,1353.0,527.0,1261.0,672.0,1310.0,643.0,1276.0,386.0,1353.0,410.0,1300.0,425.0,1611.0,459.0,1552.0
9,593.0,868.0,666.0,946.0,632.0,786.0,385.0,1339.0,254.0,844.0,666.0,1009.0,685.0,975.0,618.0,1218.0,637.0,1174.0,559.0,1354.0,525.0,1257.0,671.0,1310.0,642.0,1276.0,385.0,1354.0,409.0,1300.0,428.0,1611.0,462.0,1548.0
10,592.0,869.0,665.0,947.0,631.0,786.0,384.0,1340.0,253.0,845.0,665.0,1005.0,685.0,976.0,617.0,1218.0,636.0,1175.0,558.0,1354.0,544.0,1252.0,670.0,1311.0,636.0,1277.0,384.0,1354.0,408.0,1301.0,427.0,1612.0,461.0,1548.0
11,588.0,869.0,665.0,947.0,631.0,786.0,384.0,1340.0,253.0,845.0,665.0,1005.0,685.0,976.0,617.0,1219.0,636.0,1175.0,558.0,1355.0,544.0,1253.0,670.0,1311.0,636.0,1272.0,384.0,1355.0,408.0,1301.0,427.0,1612.0,461.0,1544.0
12,590.0,869.0,668.0,947.0,629.0,787.0,387.0,1339.0,256.0,845.0,668.0,1010.0,687.0,976.0,619.0,1218.0,639.0,1175.0,561.0,1349.0,542.0,1257.0,668.0,1310.0,639.0,1276.0,387.0,1354.0,406.0,1301.0,426.0,1611.0,459.0,1548.0
13,590.0,869.0,668.0,947.0,629.0,787.0,387.0,1339.0,256.0,845.0,668.0,1005.0,687.0,976.0,619.0,1218.0,639.0,1175.0,561.0,1349.0,547.0,1257.0,668.0,1310.0,639.0,1276.0,387.0,1354.0,406.0,1301.0,426.0,1611.0,460.0,1548.0
14,587.0,870.0,664.0,947.0,631.0,788.0,384.0,1339.0,253.0,846.0,664.0,1005.0,689.0,972.0,621.0,1218.0,635.0,1175.0,558.0,1354.0,543.0,1252.0,669.0,1310.0,640.0,1276.0,384.0,1354.0,408.0,1301.0,427.0,1610.0,461.0,1547.0
15,592.0,870.0,665.0,948.0,631.0,788.0,384.0,1339.0,254.0,846.0,665.0,1006.0,684.0,972.0,617.0,1219.0,636.0,1175.0,558.0,1354.0,544.0,1252.0,670.0,1310.0,636.0,1272.0,384.0,1354.0,409.0,1301.0,428.0,1610.0,462.0,1547.0
