,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,586.0,870.0,654.0,942.0,624.0,783.0,368.0,1339.0,518.0,1184.0,649.0,1005.0,683.0,972.0,595.0,1204.0,605.0,1175.0,499.0,1325.0,508.0,1267.0,654.0,1300.0,668.0,1281.0,368.0,1349.0,402.0,1296.0,426.0,1610.0,465.0,1557.0
1,586.0,870.0,653.0,943.0,624.0,783.0,368.0,1339.0,281.0,836.0,648.0,1005.0,682.0,967.0,595.0,1203.0,605.0,1165.0,499.0,1319.0,508.0,1266.0,648.0,1300.0,668.0,1281.0,363.0,1353.0,402.0,1300.0,426.0,1604.0,465.0,1561.0
2,586.0,869.0,654.0,942.0,625.0,782.0,368.0,1343.0,282.0,836.0,649.0,1005.0,683.0,971.0,591.0,1203.0,610.0,1164.0,499.0,1324.0,509.0,1266.0,649.0,1299.0,668.0,1280.0,364.0,1353.0,402.0,1299.0,426.0,1609.0,465.0,1560.0
3,586.0,869.0,654.0,942.0,625.0,782.0,369.0,1343.0,282.0,835.0,649.0,1005.0,683.0,971.0,591.0,1203.0,606.0,1179.0,499.0,1324.0,509.0,1266.0,649.0,1299.0,668.0,1280.0,364.0,1353.0,402.0,1299.0,427.0,1604.0,465.0,1556.0
4,585.0,869.0,657.0,941.0,624.0,787.0,364.0,1341.0,282.0,835.0,648.0,1004.0,682.0,970.0,590.0,1206.0,614.0,1163.0,498.0,1322.0,508.0,1269.0,648.0,1298.0,662.0,1278.0,364.0,1351.0,402.0,1298.0,426.0,1606.0,465.0,1563.0
5,585.0,869.0,657.0,941.0,624.0,787.0,368.0,1342.0,281.0,835.0,648.0,1004.0,682.0,970.0,595.0,1202.0,609.0,1163.0,498.0,1322.0,508.0,1264.0,648.0,1298.0,662.0,1279.0,363.0,1351.0,402.0,1298.0,426.0,1607.0,465.0,1563.0
6,586.0,870.0,654.0,942.0,625.0,783.0,364.0,1342.0,282.0,836.0,649.0,1005.0,682.0,971.0,591.0,1203.0,605.0,1178.0,499.0,1323.0,509.0,1265.0,649.0,1299.0,668.0,1280.0,364.0,1352.0,403.0,1299.0,427.0,1603.0,461.0,1559.0
7,585.0,870.0,658.0,942.0,624.0,788.0,369.0,1342.0,282.0,836.0,648.0,1005.0,682.0,971.0,590.0,1202.0,605.0,1164.0,499.0,1323.0,508.0,1265.0,648.0,1298.0,662.0,1279.0,364.0,1351.0,402.0,1298.0,426.0,1607.0,465.0,1563.0
8,586.0,871.0,654.0,943.0,620.0,789.0,364.0,1343.0,282.0,837.0,649.0,1006.0,683.0,967.0,591.0,1203.0,606.0,1179.0,499.0,1324.0,509.0,1266.0,649.0,1300.0,668.0,1281.0,364.0,1353.0,403.0,1300.0,427.0,1604.0,466.0,1556.0
9,581.0,871.0,654.0,943.0,620.0,789.0,369.0,1343.0,282.0,837.0,649.0,1006.0,683.0,967.0,591.0,1204.0,606.0,1179.0,499.0,1324.0,509.0,1266.0,649.0,1300.0,668.0,1281.0,364.0,1353.0,403.0,1300.0,427.0,1604.0,466.0,1556.0
10,578.0,865.0,655.0,942.0,621.0,788.0,366.0,1342.0,284.0,836.0,650.0,1005.0,684.0,971.0,592.0,1207.0,597.0,1178.0,496.0,1323.0,510.0,1265.0,650.0,1299.0,665.0,1280.0,366.0,1352.0,404.0,1299.0,428.0,1608.0,462.0,1555.0
11,578.0,865.0,655.0,942.0,621.0,788.0,366.0,1342.0,284.0,836.0,650.0,1005.0,684.0,966.0,592.0,1207.0,597.0,1179.0,496.0,1323.0,510.0,1265.0,650.0,1299.0,665.0,1280.0,366.0,1352.0,399.0,1299.0,428.0,1608.0,462.0,1559.0
12,582.0,870.0,654.0,942.0,621.0,788.0,365.0,1343.0,283.0,836.0,649.0,1005.0,683.0,967.0,592.0,1203.0,601.0,1179.0,495.0,1324.0,510.0,1266.0,649.0,1299.0,669.0,1280.0,365.0,1353.0,403.0,1299.0,428.0,1604.0,461.0,1555.0
13,582.0,870.0,654.0,942.0,621.0,788.0,365.0,1343.0,283.0,836.0,650.0,1005.0,683.0,967.0,592.0,1203.0,601.0,1179.0,495.0,1324.0,510.0,1266.0,650.0,1300.0,669.0,1280.0,365.0,1353.0,403.0,1300.0,428.0,1604.0,461.0,1560.0
14,582.0,870.0,654.0,942.0,625.0,787.0,364.0,1343.0,282.0,836.0,650.0,1005.0,683.0,971.0,592.0,1203.0,601.0,1179.0,495.0,1324.0,509.0,1266.0,650.0,1300.0,669.0,1280.0,364.0,1353.0,403.0,1300.0,427.0,1604.0,466.0,1556.0
15,587.0,869.0,654.0,942.0,625.0,787.0,364.0,1343.0,282.0,835.0,650.0,1005.0,683.0,971.0,592.0,1203.0,601.0,1179.0,500.0,1324.0,509.0,1266.0,650.0,1300.0,669.0,1280.0,364.0,1353.0,403.0,1300.0,427.0,1604.0,466.0,1556.0
16,582.0,870.0,655.0,942.0,621.0,788.0,366.0,1342.0,284.0,837.0,650.0,1005.0,684.0,967.0,592.0,1207.0,597.0,1178.0,496.0,1323.0,510.0,1265.0,650.0,1299.0,669.0,1279.0,366.0,1352.0,404.0,1299.0,428.0,1607.0,467.0,1564.0
17,582.0,870.0,655.0,942.0,626.0,788.0,365.0,1342.0,283.0,836.0,650.0,1005.0,683.0,966.0,592.0,1207.0,597.0,1178.0,495.0,1328.0,510.0,1265.0,650.0,1299.0,669.0,1280.0,365.0,1352.0,404.0,1299.0,428.0,1607.0,467.0,1559.0
18,587.0,871.0,654.0,943.0,620.0,790.0,366.0,1342.0,284.0,838.0,649.0,1006.0,683.0,967.0,592.0,1208.0,596.0,1179.0,496.0,1323.0,510.0,1265.0,649.0,1299.0,668.0,1280.0,366.0,1352.0,404.0,1299.0,428.0,1606.0,462.0,1558.0
19,587.0,871.0,654.0,943.0,620.0,790.0,366.0,1342.0,284.0,838.0,649.0,1006.0,683.0,967.0,592.0,1203.0,596.0,1179.0,496.0,1328.0,510.0,1265.0,649.0,1299.0,668.0,1280.0,366.0,1352.0,404.0,1299.0,428.0,1606.0,467.0,1558.0
20,587.0,871.0,654.0,943.0,621.0,789.0,366.0,1342.0,284.0,837.0,650.0,1005.0,683.0,967.0,592.0,1203.0,597.0,1179.0,496.0,1328.0,510.0,1265.0,650.0,1299.0,669.0,1280.0,366.0,1352.0,404.0,1299.0,428.0,1607.0,462.0,1559.0
21,587.0,871.0,654.0,943.0,620.0,789.0,365.0,1342.0,284.0,837.0,649.0,1006.0,683.0,967.0,592.0,1203.0,596.0,1179.0,495.0,1323.0,510.0,1265.0,649.0,1299.0,669.0,1280.0,365.0,1352.0,404.0,1299.0,428.0,1607.0,462.0,1559.0
22,580.0,868.0,657.0,940.0,624.0,786.0,369.0,1343.0,283.0,839.0,648.0,1002.0,681.0,969.0,595.0,1204.0,604.0,1165.0,499.0,1324.0,508.0,1266.0,652.0,1300.0,667.0,1281.0,364.0,1353.0,403.0,1300.0,427.0,1607.0,465.0,1564.0
23,580.0,868.0,652.0,940.0,619.0,786.0,369.0,1338.0,283.0,839.0,647.0,1002.0,681.0,969.0,595.0,1204.0,595.0,1180.0,499.0,1324.0,508.0,1266.0,652.0,1300.0,667.0,1276.0,364.0,1353.0,403.0,1300.0,427.0,1607.0,465.0,1564.0
24,581.0,871.0,653.0,943.0,619.0,789.0,369.0,1338.0,283.0,837.0,648.0,1006.0,682.0,967.0,591.0,1203.0,595.0,1179.0,499.0,1323.0,509.0,1265.0,648.0,1299.0,667.0,1280.0,364.0,1352.0,403.0,1299.0,427.0,1607.0,465.0,1564.0
