sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
561.0,812.0,659.0,812.0,561.0,812.0,9604.0,24336.0,33940.0,98.0,156.0,184.22811946062956,0.5319491958497848,1.0098955195425248,122.13724898104178
561.0,811.0,660.0,811.0,561.0,811.0,9801.0,22801.0,32602.0,99.0,151.0,180.5602392554906,0.5482934693053667,0.9904740637801948,123.25001642822332
561.0,811.0,660.0,811.0,561.0,811.0,9801.0,22801.0,32602.0,99.0,151.0,180.5602392554906,0.5482934693053667,0.9904740637801948,123.25001642822332
561.0,811.0,665.0,811.0,561.0,811.0,10816.0,22801.0,33617.0,104.0,151.0,183.34939323597447,0.5672230388357481,0.9676662842301957,124.55680593650305
561.0,811.0,660.0,811.0,561.0,811.0,9801.0,22801.0,32602.0,99.0,151.0,180.5602392554906,0.5482934693053667,0.9904740637801948,123.25001642822332
561.0,811.0,666.0,811.0,561.0,811.0,11025.0,22801.0,33826.0,105.0,151.0,183.91846019364124,0.5709051711799306,0.9631883923901243,124.8133702400552
561.0,813.0,665.0,813.0,561.0,813.0,10816.0,22801.0,33617.0,104.0,151.0,183.34939323597447,0.5672230388357481,0.9676662842301957,124.55680593650305
561.0,813.0,666.0,813.0,561.0,813.0,11025.0,22801.0,33826.0,105.0,151.0,183.91846019364124,0.5709051711799306,0.9631883923901243,124.8133702400552
566.0,814.0,665.0,814.0,566.0,814.0,9801.0,22500.0,32301.0,99.0,150.0,179.7247896090019,0.5508422083307387,0.9874233198010406,123.4248111826038
560.0,813.0,665.0,813.0,560.0,813.0,11025.0,22801.0,33826.0,105.0,151.0,183.91846019364124,0.5709051711799306,0.9631883923901243,124.8133702400552
566.0,814.0,665.0,814.0,566.0,814.0,9801.0,22500.0,32301.0,99.0,150.0,179.7247896090019,0.5508422083307387,0.9874233198010406,123.4248111826038
561.0,811.0,665.0,811.0,561.0,811.0,10816.0,23104.0,33920.0,104.0,152.0,184.1738309315414,0.5646839155919902,0.9707461133931431,124.38034472384487
561.0,811.0,660.0,811.0,561.0,811.0,9801.0,23104.0,32905.0,99.0,152.0,181.39735389470266,0.5457631981636701,0.9934966784568726,123.07683336415539
561.0,811.0,660.0,811.0,561.0,811.0,9801.0,22801.0,32602.0,99.0,151.0,180.5602392554906,0.5482934693053667,0.9904740637801948,123.25001642822332
561.0,811.0,660.0,811.0,561.0,811.0,9801.0,24649.0,34450.0,99.0,157.0,185.60711193270586,0.5333847338559617,1.0081993171568426,122.23443421894139
561.0,812.0,665.0,812.0,561.0,812.0,10816.0,22801.0,33617.0,104.0,151.0,183.34939323597447,0.5672230388357481,0.9676662842301957,124.55680593650305
561.0,812.0,665.0,812.0,561.0,812.0,10816.0,22801.0,33617.0,104.0,151.0,183.34939323597447,0.5672230388357481,0.9676662842301957,124.55680593650305
561.0,806.0,665.0,806.0,561.0,806.0,10816.0,24649.0,35465.0,104.0,157.0,188.32153355365392,0.5522469896963206,0.9857392228290935,123.52130283138713
561.0,812.0,665.0,812.0,561.0,812.0,10816.0,22801.0,33617.0,104.0,151.0,183.34939323597447,0.5672230388357481,0.9676662842301957,124.55680593650305
