sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
294.0,1397.0,369.0,1397.0,294.0,1397.0,5625.0,121104.0,126729.0,75.0,348.0,355.990168403567,0.21067997561937304,1.3585258310788055,102.16220351968184
293.0,1398.0,363.0,1398.0,293.0,1398.0,4900.0,121801.0,126701.0,70.0,349.0,355.95083930228344,0.19665637012462284,1.3728498028134386,101.34150039342268
293.0,1399.0,369.0,1399.0,293.0,1399.0,5776.0,121801.0,127577.0,76.0,349.0,357.179226719584,0.2127783317579845,1.3563787977603172,102.28521946730518
293.0,1399.0,369.0,1399.0,293.0,1399.0,5776.0,121801.0,127577.0,76.0,349.0,357.179226719584,0.2127783317579845,1.3563787977603172,102.28521946730518
293.0,1399.0,369.0,1399.0,293.0,1399.0,5776.0,121801.0,127577.0,76.0,349.0,357.179226719584,0.2127783317579845,1.3563787977603172,102.28521946730518
293.0,1399.0,369.0,1399.0,293.0,1399.0,5776.0,121801.0,127577.0,76.0,349.0,357.179226719584,0.2127783317579845,1.3563787977603172,102.28521946730518
294.0,1399.0,364.0,1399.0,294.0,1399.0,4900.0,120409.0,125309.0,70.0,347.0,353.9901128562774,0.1977456359873546,1.3717387186139385,101.4051608287377
294.0,1399.0,364.0,1399.0,294.0,1399.0,4900.0,121801.0,126701.0,70.0,349.0,355.95083930228344,0.19665637012462284,1.3728498028134386,101.34150039342268
294.0,1399.0,363.0,1399.0,294.0,1399.0,4761.0,121104.0,125865.0,69.0,348.0,354.7745763157219,0.19448969742013122,1.3750591402174301,101.21491468465358
294.0,1399.0,363.0,1399.0,294.0,1399.0,4761.0,116964.0,121725.0,69.0,342.0,348.89110048839024,0.19776944698047996,1.3717144279027111,101.4065525839724
294.0,1399.0,363.0,1399.0,294.0,1399.0,4761.0,120409.0,125170.0,69.0,347.0,353.79372521287036,0.19502889701756054,1.3745094139409144,101.24641168018536
293.0,1399.0,363.0,1399.0,293.0,1399.0,4900.0,121801.0,126701.0,70.0,349.0,355.95083930228344,0.19665637012462284,1.3728498028134386,101.34150039342268
293.0,1400.0,363.0,1400.0,293.0,1400.0,4900.0,118336.0,123236.0,70.0,344.0,351.04985400937,0.19940187754110733,1.3700488241914166,101.50198464697091
293.0,1399.0,363.0,1399.0,293.0,1399.0,4900.0,118336.0,123236.0,70.0,344.0,351.04985400937,0.19940187754110733,1.3700488241914166,101.50198464697091
293.0,1399.0,363.0,1399.0,293.0,1399.0,4900.0,117649.0,122549.0,70.0,343.0,350.06999300139967,0.19996001199600139,1.3694792184202558,101.53462065364472
294.0,1398.0,364.0,1398.0,294.0,1398.0,4900.0,121104.0,126004.0,70.0,348.0,354.9704213029587,0.19719952931023704,1.3722957950190353,101.37324270185934
294.0,1397.0,364.0,1397.0,294.0,1397.0,4900.0,121104.0,126004.0,70.0,348.0,354.9704213029587,0.19719952931023704,1.3722957950190353,101.37324270185934
294.0,1398.0,364.0,1398.0,294.0,1398.0,4900.0,121104.0,126004.0,70.0,348.0,354.9704213029587,0.19719952931023704,1.3722957950190353,101.37324270185934
294.0,1398.0,364.0,1398.0,294.0,1398.0,4900.0,117649.0,122549.0,70.0,343.0,350.06999300139967,0.19996001199600139,1.3694792184202558,101.53462065364472
295.0,1397.0,364.0,1397.0,295.0,1397.0,4761.0,120409.0,125170.0,69.0,347.0,353.79372521287036,0.19502889701756054,1.3745094139409144,101.24641168018536
293.0,1398.0,368.0,1398.0,293.0,1398.0,5625.0,121801.0,127426.0,75.0,349.0,356.9677856613955,0.21010299251804704,1.3591160243576192,102.12838793570883
294.0,1398.0,363.0,1398.0,294.0,1398.0,4761.0,116964.0,121725.0,69.0,342.0,348.89110048839024,0.19776944698047996,1.3717144279027111,101.4065525839724
298.0,1398.0,362.0,1398.0,298.0,1398.0,4096.0,123201.0,127297.0,64.0,351.0,356.78705133454605,0.1793787071605061,1.3904414482527536,100.33357335505936
294.0,1398.0,363.0,1398.0,294.0,1398.0,4761.0,120409.0,125170.0,69.0,347.0,353.79372521287036,0.19502889701756054,1.3745094139409144,101.24641168018536
294.0,1398.0,363.0,1398.0,294.0,1398.0,4761.0,121104.0,125865.0,69.0,348.0,354.7745763157219,0.19448969742013122,1.3750591402174301,101.21491468465358
293.0,1398.0,363.0,1398.0,293.0,1398.0,4900.0,121801.0,126701.0,70.0,349.0,355.95083930228344,0.19665637012462284,1.3728498028134386,101.34150039342268
295.0,1398.0,364.0,1398.0,295.0,1398.0,4761.0,120409.0,125170.0,69.0,347.0,353.79372521287036,0.19502889701756054,1.3745094139409144,101.24641168018536
295.0,1398.0,364.0,1398.0,295.0,1398.0,4761.0,116964.0,121725.0,69.0,342.0,348.89110048839024,0.19776944698047996,1.3717144279027111,101.4065525839724
299.0,1394.0,363.0,1394.0,299.0,1394.0,4096.0,121801.0,125897.0,64.0,349.0,354.81967250985394,0.1803733134278867,1.3894303502126963,100.3915050054286
299.0,1398.0,363.0,1398.0,299.0,1398.0,4096.0,117649.0,121745.0,64.0,343.0,348.919761549844,0.18342325959333047,1.3863286582619672,100.56921886355508
298.0,1392.0,362.0,1392.0,298.0,1392.0,4096.0,126736.0,130832.0,64.0,356.0,361.7070637961056,0.17693876179337437,1.39292106378882,100.19150185002769
298.0,1393.0,368.0,1393.0,298.0,1393.0,4900.0,126025.0,130925.0,70.0,355.0,361.83559802761255,0.19345802453261696,1.3761107874109468,101.15465973892829
300.0,1393.0,363.0,1393.0,300.0,1393.0,3969.0,119025.0,122994.0,63.0,345.0,350.7050042414565,0.17963815525319735,1.3901777162106292,100.34868408799545
300.0,1392.0,363.0,1392.0,300.0,1392.0,3969.0,119716.0,123685.0,63.0,346.0,351.6887828748594,0.17913565364527745,1.3906885035084102,100.31941813160371
