sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
341.0,1367.0,432.0,1367.0,341.0,1367.0,8281.0,65025.0,73306.0,91.0,255.0,270.7508079396994,0.33610241347928743,1.2280208335740503,109.63958908206965
341.0,1366.0,432.0,1366.0,341.0,1366.0,8281.0,65025.0,73306.0,91.0,255.0,270.7508079396994,0.33610241347928743,1.2280208335740503,109.63958908206965
340.0,1367.0,431.0,1367.0,340.0,1367.0,8281.0,65025.0,73306.0,91.0,255.0,270.7508079396994,0.33610241347928743,1.2280208335740503,109.63958908206965
340.0,1367.0,431.0,1367.0,340.0,1367.0,8281.0,64516.0,72797.0,91.0,254.0,269.80919183749097,0.33727538850792854,1.2267751291630313,109.71096268734186
339.0,1366.0,431.0,1366.0,339.0,1366.0,8464.0,65025.0,73489.0,92.0,255.0,271.0885464197999,0.3393725084110763,1.224546591111572,109.8386485121748
340.0,1366.0,431.0,1366.0,340.0,1366.0,8281.0,65025.0,73306.0,91.0,255.0,270.7508079396994,0.33610241347928743,1.2280208335740503,109.63958908206965
340.0,1366.0,431.0,1366.0,340.0,1366.0,8281.0,64516.0,72797.0,91.0,254.0,269.80919183749097,0.33727538850792854,1.2267751291630313,109.71096268734186
340.0,1366.0,430.0,1366.0,340.0,1366.0,8100.0,64516.0,72616.0,90.0,254.0,269.47356085523495,0.3339845278860188,1.2302686368058218,109.51079944371328
344.0,1363.0,430.0,1363.0,344.0,1363.0,7396.0,67081.0,74477.0,86.0,259.0,272.90474528670256,0.3151282690583189,1.2502045204312027,108.36855745111498
341.0,1358.0,431.0,1358.0,341.0,1358.0,8100.0,68121.0,76221.0,90.0,261.0,276.08150970320344,0.3259906833194042,1.2387368592520112,109.02560603756868
341.0,1355.0,431.0,1355.0,341.0,1355.0,8100.0,68121.0,76221.0,90.0,261.0,276.08150970320344,0.3259906833194042,1.2387368592520112,109.02560603756868
337.0,1356.0,431.0,1356.0,337.0,1356.0,8836.0,67081.0,75917.0,94.0,259.0,275.53039759707093,0.34116017985595676,1.2226454781702472,109.9475742600904
334.0,1356.0,433.0,1356.0,334.0,1356.0,9801.0,67081.0,76882.0,99.0,259.0,277.2760357477725,0.3570449199946603,1.205693955575705,110.91882496107834
334.0,1356.0,436.0,1356.0,334.0,1356.0,10404.0,68644.0,79048.0,102.0,262.0,281.15476165272395,0.3627895163518095,1.1995367138736601,111.27160892404746
333.0,1361.0,434.0,1361.0,333.0,1361.0,10201.0,64516.0,74717.0,101.0,254.0,273.34410547879025,0.3694976331137199,1.192327990339046,111.68463835825747
329.0,1360.0,433.0,1360.0,329.0,1360.0,10816.0,67600.0,78416.0,104.0,260.0,280.0285699709942,0.37139067635410367,1.1902899496825319,111.8014094863518
325.0,1360.0,434.0,1360.0,325.0,1360.0,11881.0,65536.0,77417.0,109.0,256.0,278.23910580649874,0.39174939009401505,1.168264139717214,113.06339543772171
321.0,1362.0,433.0,1362.0,321.0,1362.0,12544.0,65025.0,77569.0,112.0,255.0,278.5121182282739,0.4021369005861449,1.1569467414542216,113.71183459325987
314.0,1363.0,433.0,1363.0,314.0,1363.0,14161.0,63001.0,77162.0,119.0,251.0,277.7804888756588,0.4283958188772115,1.1280796380781155,115.36579778347858
311.0,1368.0,437.0,1368.0,311.0,1368.0,15876.0,64009.0,79885.0,126.0,253.0,282.63934616397626,0.4457978045523065,1.1087309949546382,116.47439337375866
314.0,1370.0,434.0,1370.0,314.0,1370.0,14400.0,62001.0,76401.0,120.0,249.0,276.40730815229904,0.43414192194180556,1.121710795186829,115.7307056015312
318.0,1381.0,431.0,1381.0,318.0,1381.0,12769.0,56169.0,68938.0,113.0,237.0,262.56046922566236,0.43037704926890613,1.125885877372153,115.49149101319188
337.0,1394.0,428.0,1394.0,337.0,1394.0,8281.0,50176.0,58457.0,91.0,224.0,241.7788245483876,0.37637704695593804,1.1849136573968229,112.10944834375167
333.0,1394.0,429.0,1394.0,333.0,1394.0,9216.0,49284.0,58500.0,96.0,222.0,241.8677324489565,0.39691115068546706,1.1626472230398073,113.38522105721376
323.0,1388.0,425.0,1388.0,323.0,1388.0,10404.0,51529.0,61933.0,102.0,227.0,248.86341635523692,0.409863376039174,1.148492052493741,114.19625258779125
314.0,1382.0,427.0,1382.0,314.0,1382.0,12769.0,55225.0,67994.0,113.0,235.0,260.7565914794869,0.4333543376942379,1.1225848844543327,115.68062397558556
306.0,1381.0,435.0,1381.0,306.0,1381.0,16641.0,55696.0,72337.0,129.0,236.0,268.9553866350328,0.47963345004519453,1.0705593976347871,118.66146479745902
