x_cog,y_cog
539.35,1148.22
536.91,1147.49
538.68,1148.46
537.75,1146.58
538.47,1147.49
538.05,1147.59
536.94,1146.36
536.69,1146.03
535.97,1145.69
537.55,1145.73
535.81,1147.2
537.28,1147.35
537.52,1146.85
537.73,1147.73
537.69,1147.2
537.47,1148.24
537.47,1147.99
537.31,1147.06
537.45,1147.53
536.78,1147.89
537.71,1147.3
537.28,1147.76
536.73,1147.22
536.69,1147.19
537.13,1147.66
537.1,1148.0
536.65,1148.46
536.73,1147.97
535.76,1147.55
536.21,1147.3
535.59,1145.24
535.32,1146.79
535.02,1147.32
533.96,1146.6
537.23,1146.65
536.23,1147.22
536.1,1146.62
532.46,1147.49
533.28,1146.0
531.35,1146.91
529.34,1147.03
528.53,1148.65
526.69,1148.92
527.02,1148.59
523.62,1148.39
520.23,1150.72
518.18,1153.37
515.73,1153.4
511.46,1155.25
504.68,1155.54
500.7,1156.13
497.31,1156.47
494.09,1155.07
490.23,1156.11
487.97,1155.46
482.06,1152.57
476.22,1150.05
471.2,1146.67
467.1,1142.7
460.19,1138.9
458.58,1134.49
455.45,1128.04
452.63,1120.3
447.81,1114.5
445.42,1107.96
441.18,1101.31
434.67,1096.14
434.42,1086.26
428.53,1079.2
426.02,1069.29
425.56,1060.03
420.29,1049.38
419.71,1040.13
414.46,1030.87
410.42,1022.31
408.09,1011.53
405.26,1002.82
404.26,992.91
400.87,985.47
400.98,973.22
398.7,964.07
392.71,955.32
394.86,949.59
392.16,944.06
389.34,939.79
387.6,937.63
387.47,935.52
386.46,932.47
384.62,933.72
385.25,932.82
382.36,932.77
385.03,934.08
382.69,935.08
382.39,935.34
384.21,938.36
383.34,939.56
384.19,939.26
385.37,941.26
383.04,941.53
382.72,941.14
383.01,942.7
380.86,941.9
379.7,942.73
380.17,939.83
376.45,938.31
379.02,940.71
376.85,941.75
375.96,942.79
373.87,939.99
375.23,942.63
373.24,941.87
373.09,943.86
373.53,942.71
371.31,942.51
371.19,941.75
371.58,943.98
370.68,941.26
370.24,940.15
368.1,941.4
365.85,944.24
368.08,942.4
369.37,942.83
368.65,941.75
367.81,942.95
366.38,945.14
365.37,945.95
366.04,945.09
366.66,943.61
367.03,943.0
366.36,945.91
364.21,947.88
365.26,947.45
363.9,947.78
364.6,948.23
364.06,946.97
364.23,947.84
363.3,948.72
363.5,946.45
361.72,946.39
361.87,946.97
362.19,946.77
362.3,948.2
361.04,948.79
362.88,948.35
362.83,949.86
363.3,947.95
362.03,948.11
361.95,948.68
363.65,947.01
363.01,946.58
362.38,946.88
361.86,946.34
364.08,946.74
363.93,947.08
362.31,947.41
363.94,947.26
362.11,947.22
363.2,947.43
363.96,945.61
363.18,945.41
363.26,944.52
363.26,945.5
366.17,945.82
364.81,947.63
364.71,945.77
364.22,945.96
363.67,944.26
364.19,944.59
365.27,943.63
365.57,944.43
364.53,944.69
364.98,944.7
366.49,945.82
366.49,945.38
367.17,944.44
367.28,944.39
367.56,943.75
367.91,944.72
368.18,944.79
368.26,945.08
368.27,945.65
368.27,944.97
367.56,944.92
370.25,944.97
370.74,946.28
370.32,946.12
369.78,948.17
370.48,947.51
369.4,948.3
369.9,946.8
372.8,945.42
371.96,947.72
371.74,946.29
372.85,943.5
373.86,940.54
378.1,942.68
377.64,943.94
378.55,943.06
377.65,942.0
382.58,940.33
380.24,939.68
382.23,941.96
381.38,943.87
384.35,949.03
386.84,949.58
385.14,956.42
388.53,959.08
386.85,964.56
388.27,965.92
391.19,970.57
391.16,973.55
391.34,978.3
393.42,982.14
393.0,990.14
392.62,995.07
397.81,998.84
401.14,1006.19
403.36,1013.25
403.91,1020.48
402.99,1023.07
405.23,1029.37
406.79,1035.75
403.36,1040.41
406.95,1045.8
408.84,1049.79
412.02,1055.55
412.26,1062.91
412.89,1067.65
414.82,1071.36
417.31,1077.18
416.81,1078.32
420.88,1083.74
421.84,1086.83
424.8,1090.27
425.26,1094.69
428.11,1099.5
428.61,1104.95
429.21,1109.55
433.05,1113.34
435.37,1115.62
435.62,1120.27
437.17,1123.92
446.41,1127.99
448.37,1132.78
454.54,1136.66
456.51,1141.64
459.54,1144.23
462.47,1145.22
468.99,1144.56
473.37,1145.11
476.35,1145.8
480.33,1148.77
483.42,1150.48
487.14,1142.23
490.35,1145.24
493.59,1151.36
499.78,1149.75
501.71,1149.55
503.85,1149.06
506.47,1146.74
506.47,1147.68
509.42,1147.16
510.65,1147.2
513.57,1146.55
518.6,1145.81
519.47,1146.38
522.5,1145.99
524.73,1146.23
528.55,1145.72
525.07,1145.44
528.69,1145.68
531.33,1144.85
532.1,1145.07
534.3,1144.91
537.47,1148.08
540.38,1147.94
539.58,1146.42
544.96,1147.46
543.62,1144.97
544.67,1145.54
546.07,1144.14
546.97,1144.0
548.14,1144.06
549.91,1146.93
548.86,1145.5
550.96,1146.24
550.9,1145.43
551.12,1144.91
553.2,1145.34
551.08,1145.78
552.14,1146.57
550.42,1147.46
552.0,1146.85
551.91,1148.58
551.85,1148.71
552.85,1149.83
552.89,1147.76
553.04,1148.0
552.0,1147.76
552.07,1147.94
550.56,1147.64
550.68,1147.02
549.3,1146.27
548.95,1146.97
549.69,1147.09
548.2,1147.09
547.98,1146.81
546.49,1147.21
546.14,1147.21
545.38,1146.08
