x_cog,y_cog
536.9,1165.75
535.54,1165.78
535.29,1165.86
535.57,1165.29
536.4,1165.54
536.06,1164.31
535.79,1165.77
535.82,1164.63
535.24,1165.81
535.06,1165.35
535.27,1165.34
536.98,1164.96
535.5,1166.29
536.16,1165.28
535.43,1164.99
536.29,1165.04
536.4,1164.79
536.56,1164.84
537.15,1164.33
536.88,1164.38
536.53,1164.07
537.15,1164.01
536.07,1164.99
535.48,1164.81
535.91,1164.89
535.48,1165.78
534.85,1163.83
534.89,1164.13
535.13,1163.88
535.12,1164.23
536.1,1164.36
536.16,1164.21
536.16,1164.21
535.31,1164.18
535.81,1164.15
536.16,1164.55
535.31,1164.51
535.82,1164.86
536.07,1164.55
536.9,1164.22
536.57,1165.04
536.59,1165.04
536.01,1164.89
536.48,1165.04
536.33,1165.04
536.16,1165.04
536.55,1165.0
536.54,1165.16
535.62,1164.73
535.98,1164.7
535.97,1164.27
534.8,1164.98
535.2,1165.28
533.27,1165.0
534.15,1165.71
534.18,1165.64
534.35,1165.64
534.17,1164.67
533.27,1164.73
532.64,1164.71
531.87,1164.38
531.72,1165.12
530.74,1164.13
530.47,1163.77
529.6,1164.9
528.92,1164.33
528.61,1164.82
527.43,1164.09
527.01,1165.3
526.96,1164.05
525.52,1166.3
523.3,1164.11
521.24,1165.35
519.57,1166.07
519.18,1164.61
517.82,1166.36
516.87,1166.59
514.92,1167.5
516.39,1168.43
514.93,1165.92
512.13,1167.17
510.11,1168.91
507.61,1169.21
508.25,1169.34
503.5,1169.49
500.54,1169.32
497.42,1170.93
493.55,1173.7
489.76,1172.94
485.89,1172.36
482.46,1171.83
478.42,1173.06
473.57,1173.63
467.57,1174.81
464.34,1175.13
459.03,1173.42
453.95,1173.47
450.75,1170.72
443.13,1167.65
439.48,1168.67
435.49,1165.62
432.02,1163.17
430.32,1160.49
427.36,1159.04
421.7,1153.25
418.65,1149.79
417.71,1145.04
415.21,1136.23
413.83,1131.16
411.99,1125.59
411.3,1118.27
410.15,1111.76
406.79,1106.03
404.47,1097.81
403.63,1092.78
399.55,1086.42
398.5,1080.23
395.69,1073.83
394.93,1065.23
396.16,1059.55
395.78,1052.98
394.19,1045.58
392.54,1039.73
389.91,1033.42
388.77,1026.77
384.93,1021.78
382.47,1016.24
381.81,1010.62
379.59,1006.94
379.22,1003.43
379.61,996.96
380.05,992.43
378.14,987.52
377.69,982.85
