x_cog,y_cog
521.87,1148.89
520.0,1148.5
519.95,1148.12
519.05,1152.19
518.98,1149.66
521.5,1149.64
519.84,1140.78
523.12,1142.62
522.06,1149.45
522.98,1150.73
522.37,1150.04
521.7,1150.08
521.84,1150.35
522.39,1149.12
521.93,1149.21
522.14,1149.42
523.03,1149.45
522.01,1148.51
521.25,1148.67
521.36,1148.87
520.83,1148.04
519.51,1148.8
520.63,1148.35
519.42,1149.1
521.12,1148.98
520.41,1150.03
519.67,1149.49
518.96,1149.38
519.87,1149.37
518.86,1148.8
520.7,1149.23
520.94,1148.27
520.09,1149.31
519.9,1149.17
520.85,1148.46
520.18,1148.54
519.63,1148.54
519.26,1148.61
518.66,1148.59
519.38,1148.7
518.69,1148.98
519.42,1149.1
520.3,1148.55
520.96,1150.11
522.2,1151.05
521.79,1150.71
522.1,1149.29
520.89,1149.04
521.9,1150.47
522.46,1150.49
522.57,1150.03
521.1,1150.77
521.52,1150.85
522.41,1151.7
523.19,1151.26
522.36,1151.99
521.1,1152.25
521.33,1151.51
520.21,1150.29
519.57,1151.2
518.76,1150.76
517.09,1152.23
516.16,1153.67
514.88,1153.33
513.49,1153.26
511.15,1154.93
509.07,1153.39
507.27,1153.63
504.9,1152.86
500.55,1153.79
499.6,1155.62
496.74,1154.57
493.68,1156.17
494.08,1153.58
488.98,1154.34
486.05,1153.71
482.31,1153.67
476.82,1154.49
474.83,1154.27
470.35,1154.2
465.46,1151.61
461.35,1149.9
456.97,1147.79
454.47,1145.69
452.07,1143.43
447.7,1142.27
445.3,1140.97
440.62,1138.33
437.19,1134.07
434.77,1128.18
429.0,1126.79
426.94,1120.11
426.46,1116.89
422.4,1111.32
420.18,1104.39
418.63,1099.65
416.8,1092.13
413.95,1084.77
411.65,1078.5
409.02,1072.08
405.37,1066.11
404.4,1056.42
402.18,1047.26
400.62,1040.78
400.54,1035.06
399.43,1027.09
396.4,1019.29
395.86,1012.52
393.66,1006.04
388.44,1000.45
385.29,993.71
383.2,987.93
381.31,983.81
377.81,976.95
378.8,971.48
377.83,964.63
380.78,960.2
378.48,955.97
378.58,953.64
376.74,948.69
376.41,947.01
375.19,943.09
375.6,941.99
373.96,941.53
372.18,937.91
372.98,939.07
372.61,940.4
371.2,937.83
373.33,938.9
373.45,937.16
374.48,937.29
375.36,938.77
371.98,939.79
372.32,942.05
371.43,942.13
369.94,941.26
368.83,941.89
371.22,944.38
370.32,944.75
369.89,945.07
367.8,946.09
367.8,947.96
364.33,947.18
365.02,946.29
364.14,947.7
363.58,948.64
364.14,946.79
365.43,947.66
363.67,949.21
363.49,949.2
363.15,948.16
363.37,947.16
364.62,949.65
362.65,950.17
363.07,949.62
362.46,949.9
362.6,950.78
362.36,951.54
362.05,948.72
360.24,950.16
359.76,949.66
359.73,950.95
359.79,951.05
357.37,951.23
358.56,952.3
358.4,953.09
357.94,953.81
357.25,952.21
356.3,954.05
355.86,954.58
355.67,952.95
356.68,952.55
356.65,952.26
356.26,952.39
358.23,952.36
358.45,951.68
358.23,953.26
356.72,952.83
358.08,952.49
355.82,952.69
356.89,952.66
356.94,952.12
356.89,952.69
357.58,951.87
358.89,952.69
359.81,952.48
357.72,951.96
357.29,951.67
357.79,951.96
358.65,952.0
359.15,952.94
357.75,952.59
357.6,952.49
357.85,952.29
359.39,952.74
358.31,951.5
358.55,952.45
358.58,952.5
358.8,952.35
359.53,952.12
359.8,951.96
359.8,951.81
360.07,952.05
360.07,951.89
359.95,951.38
360.6,951.71
360.53,952.0
361.88,951.9
361.88,951.61
360.64,954.14
360.97,952.17
360.97,951.36
362.13,951.24
360.14,953.46
360.97,951.48
361.21,951.48
362.73,951.47
362.57,951.56
361.21,951.63
362.72,954.3
363.5,953.54
362.14,952.14
363.56,953.88
363.57,953.14
362.92,952.12
362.35,952.54
362.66,951.56
361.42,952.92
361.78,950.75
362.63,950.74
362.53,950.32
362.37,950.48
363.9,950.17
362.92,950.67
362.81,951.03
362.8,951.03
362.73,950.88
363.63,950.98
364.11,951.0
364.8,951.73
364.98,951.73
364.84,950.56
365.06,950.73
364.98,950.85
365.91,950.59
365.95,950.53
364.86,950.39
364.86,950.68
365.05,951.03
365.61,951.6
365.93,951.34
365.7,950.83
365.7,950.23
365.74,950.71
366.94,950.92
365.93,950.26
367.25,950.01
367.18,950.06
366.87,950.64
367.22,949.93
366.51,950.09
367.27,951.63
367.42,951.48
367.67,951.52
367.54,951.52
368.3,952.16
367.74,951.91
368.05,950.44
368.17,951.07
369.02,951.04
369.7,948.8
368.83,949.02
369.66,950.34
370.73,950.4
371.66,950.72
371.09,947.53
372.13,947.3
371.81,948.12
370.56,947.77
373.48,947.73
372.01,943.55
373.17,946.14
371.33,943.06
370.32,940.67
368.88,940.11
371.87,939.03
373.15,939.95
377.12,940.18
378.92,941.72
380.97,941.18
380.91,942.32
379.17,945.82
379.7,948.79
379.43,951.0
378.78,952.34
379.24,954.11
382.84,959.48
382.32,957.95
382.91,960.69
381.76,966.39
381.6,969.18
382.56,971.87
382.19,976.35
385.62,977.45
385.89,979.28
384.83,980.56
382.84,985.81
385.38,986.18
385.29,989.69
387.25,996.26
389.21,998.39
393.64,1000.82
394.55,1006.32
397.47,1009.04
398.79,1011.85
400.88,1014.64
401.38,1018.12
401.93,1022.87
408.08,1025.94
405.76,1030.95
407.19,1035.33
407.32,1038.89
406.18,1043.03
408.06,1047.74
406.43,1050.09
406.49,1053.42
407.03,1058.09
407.93,1060.67
407.9,1065.19
407.39,1069.68
414.22,1073.49
410.97,1077.59
415.33,1082.52
416.86,1086.02
415.29,1090.22
417.42,1095.1
422.62,1097.29
424.25,1101.2
426.07,1104.93
427.06,1107.48
430.59,1107.95
430.47,1111.6
431.0,1113.8
430.57,1117.41
429.29,1116.15
430.16,1119.41
433.37,1122.84
442.63,1128.93
443.51,1131.7
442.1,1132.63
448.74,1136.01
448.86,1139.43
446.97,1138.88
454.23,1145.31
452.16,1140.25
462.1,1149.88
468.8,1149.29
473.05,1150.22
475.4,1151.57
482.23,1151.13
483.34,1149.77
486.95,1150.67
489.89,1149.11
492.14,1148.33
494.56,1148.52
497.22,1149.39
497.87,1151.6
502.11,1151.4
505.21,1151.21
505.85,1150.88
507.55,1150.65
509.78,1150.41
510.97,1148.33
513.37,1146.74
514.47,1147.29
516.47,1146.59
519.06,1147.78
521.24,1146.83
522.13,1146.86
526.12,1145.36
527.66,1146.35
528.17,1145.11
530.78,1145.43
532.37,1144.91
531.66,1143.6
533.07,1144.81
534.28,1137.01
537.59,1135.51
538.81,1136.09
538.68,1135.19
540.28,1135.7
538.18,1134.15
540.6,1135.52
542.74,1136.49
545.6,1136.98
546.82,1136.51
545.76,1135.41
547.11,1135.13
546.26,1135.14
547.32,1136.05
547.93,1136.55
548.93,1135.67
549.1,1136.1
546.61,1133.85
546.58,1135.41
546.93,1133.5
545.36,1133.62
545.44,1133.65
545.44,1133.67
545.63,1133.55
545.33,1139.92
544.92,1139.92
545.51,1134.32
546.36,1135.26
545.39,1135.35
544.19,1134.5
543.65,1133.71
544.01,1135.47
