x_cog,y_cog
482.78,1179.64
482.26,1178.32
482.45,1179.15
482.45,1179.43
482.61,1178.91
482.62,1179.14
482.61,1179.09
482.49,1179.15
482.54,1179.27
482.31,1179.4
482.17,1179.01
482.15,1178.97
482.28,1178.81
482.17,1179.25
482.6,1179.15
482.47,1178.35
482.47,1178.47
482.68,1178.97
482.86,1179.1
482.7,1178.92
482.61,1178.45
482.71,1178.87
482.86,1178.22
482.87,1178.58
483.64,1179.02
482.86,1179.31
483.13,1179.41
483.14,1179.07
483.36,1179.59
483.5,1178.8
482.23,1179.44
481.62,1179.85
481.5,1180.3
479.45,1179.84
478.39,1182.73
476.77,1182.58
474.63,1185.29
472.97,1186.68
469.73,1188.9
466.89,1190.82
462.65,1192.22
459.79,1195.66
453.85,1193.97
450.17,1194.79
445.23,1193.59
439.87,1189.97
437.05,1186.89
430.86,1180.28
425.04,1173.79
419.45,1164.39
416.78,1152.65
416.23,1140.48
413.6,1125.8
412.74,1108.66
412.25,1093.35
411.37,1078.11
410.45,1062.37
408.22,1050.1
405.38,1039.51
401.61,1032.76
398.81,1029.18
396.92,1027.07
394.16,1025.74
393.67,1024.26
394.69,1021.26
393.63,1022.54
392.74,1021.73
390.74,1021.81
390.03,1022.5
388.21,1023.54
386.55,1023.28
387.27,1025.98
385.28,1026.95
385.92,1026.53
386.53,1028.39
385.87,1026.41
385.34,1026.33
385.21,1028.06
384.85,1027.5
385.57,1027.3
386.46,1027.69
385.87,1029.53
386.32,1028.28
385.99,1028.54
384.96,1028.45
385.89,1027.19
386.09,1028.05
386.34,1028.29
386.52,1028.09
386.41,1027.31
387.21,1027.5
386.99,1028.64
386.97,1028.67
387.66,1028.55
387.68,1028.7
387.97,1028.42
388.15,1028.57
388.16,1028.9
388.34,1030.28
388.77,1029.37
388.53,1029.51
388.73,1029.47
389.97,1029.45
390.5,1028.46
392.3,1029.76
391.5,1029.41
392.36,1028.9
392.09,1029.44
392.07,1027.97
391.86,1030.15
391.73,1030.07
392.34,1028.46
391.79,1026.69
393.47,1025.3
392.58,1026.09
394.64,1027.55
393.47,1027.07
394.75,1027.74
393.62,1028.4
393.72,1030.77
394.93,1033.02
394.5,1033.09
393.83,1034.82
394.91,1033.71
396.17,1037.72
395.3,1039.58
396.88,1045.99
400.51,1052.0
404.64,1059.87
404.77,1074.25
407.11,1084.87
410.94,1093.33
412.7,1106.15
413.03,1113.08
413.7,1123.81
416.54,1134.54
420.29,1144.49
421.71,1151.18
425.71,1156.71
428.77,1162.48
432.69,1168.46
437.34,1173.94
441.21,1176.87
444.43,1179.08
450.36,1181.48
454.93,1182.93
459.91,1183.19
461.09,1181.7
465.02,1180.79
468.39,1180.43
470.59,1177.97
471.67,1176.5
475.26,1176.52
476.84,1176.03
479.21,1176.4
480.82,1175.69
481.89,1175.45
484.47,1174.22
484.42,1174.19
485.59,1172.99
487.64,1173.67
487.59,1172.54
488.89,1173.71
489.35,1173.02
489.97,1173.43
489.15,1172.18
