x_cog,y_cog
481.56,1174.8
481.32,1172.87
481.18,1174.43
480.78,1174.05
480.8,1174.19
480.69,1174.62
481.15,1175.02
480.98,1175.38
480.37,1175.03
479.93,1177.39
478.64,1178.87
477.94,1179.44
476.1,1179.75
474.01,1179.67
470.87,1181.43
468.1,1184.3
463.63,1187.47
460.3,1190.73
455.98,1193.05
449.98,1192.57
440.92,1190.84
435.04,1189.72
432.51,1187.16
426.75,1182.91
423.58,1175.06
419.27,1163.0
417.02,1150.23
413.83,1132.7
411.31,1115.07
412.42,1093.41
412.64,1076.42
410.31,1058.45
407.9,1045.24
403.43,1034.73
401.3,1028.08
399.34,1023.14
396.13,1024.58
395.5,1021.75
393.61,1023.79
391.67,1022.02
388.87,1021.95
386.81,1021.85
386.7,1023.35
384.99,1024.13
384.17,1023.76
383.06,1024.76
383.54,1024.05
382.73,1027.69
381.46,1029.74
380.67,1028.64
379.99,1028.54
379.98,1028.48
378.55,1027.29
378.77,1027.68
378.68,1025.3
378.1,1027.53
376.28,1026.92
375.45,1027.14
375.0,1026.78
373.96,1026.54
373.91,1026.57
374.08,1027.34
373.96,1028.74
374.32,1028.8
373.97,1029.43
373.96,1027.95
373.99,1027.79
373.81,1027.97
374.08,1027.69
374.56,1028.39
374.08,1027.66
375.22,1027.62
374.76,1027.29
375.98,1027.61
377.11,1028.3
376.66,1028.86
376.79,1029.0
377.65,1029.33
377.65,1029.19
377.65,1028.55
377.71,1028.19
378.86,1027.82
379.09,1029.71
378.71,1029.33
379.49,1029.62
379.71,1028.74
380.94,1025.38
381.46,1026.18
380.49,1027.63
381.16,1026.7
381.99,1026.88
382.55,1027.52
382.14,1028.1
384.27,1027.13
384.47,1028.03
386.14,1027.18
386.15,1029.09
386.74,1029.06
387.6,1028.19
389.39,1030.74
388.74,1030.8
393.03,1036.78
393.15,1042.5
398.37,1044.84
401.98,1049.68
406.76,1057.75
408.97,1067.92
410.89,1078.14
413.31,1088.7
414.07,1098.78
415.12,1109.65
417.58,1121.59
421.55,1132.5
424.39,1144.15
428.42,1151.0
431.62,1157.72
435.44,1163.17
439.53,1166.42
444.97,1168.18
448.96,1172.59
453.96,1174.71
457.97,1175.19
462.84,1177.75
467.07,1179.28
471.09,1177.41
473.5,1174.62
478.04,1173.69
481.6,1172.77
483.79,1171.84
486.33,1170.97
488.61,1171.15
489.98,1169.7
492.87,1171.32
494.08,1170.37
495.27,1169.32
496.37,1169.04
499.13,1169.66
500.28,1168.87
501.07,1169.3
501.89,1170.09
502.83,1170.31
502.6,1170.47
503.33,1170.47
502.87,1168.95
503.51,1168.92
502.85,1168.12
503.32,1169.43
502.6,1168.72
501.99,1169.32
501.89,1169.22
502.28,1169.69
502.29,1170.36
499.83,1170.3
500.66,1171.64
499.01,1170.96
499.17,1170.01
498.94,1170.4
497.86,1169.56
497.95,1169.55
497.77,1169.7
496.84,1168.85
496.83,1169.67
496.0,1169.44
495.81,1169.19
495.81,1169.21
494.87,1170.49
494.69,1170.58
494.61,1171.38
495.27,1171.53
495.27,1171.08
494.37,1171.53
494.14,1171.36
493.3,1171.36
492.73,1171.51
492.62,1171.0
491.17,1170.17
491.24,1170.22
490.84,1171.45
490.2,1170.15
490.46,1172.32
489.23,1172.34
489.75,1173.75
490.03,1173.09
490.22,1172.86
489.82,1173.35
489.68,1172.93
489.52,1172.81
490.47,1173.55
490.47,1173.26
489.26,1173.27
490.15,1172.79
489.25,1173.29
489.35,1173.42
489.15,1173.03
489.25,1173.35
490.35,1172.59
490.3,1173.27
490.53,1173.31
490.76,1173.6
489.95,1173.34
490.77,1172.55
490.03,1172.72
491.09,1171.75
491.04,1171.82
490.09,1173.36
490.18,1173.24
490.37,1173.03
490.03,1172.9
491.18,1172.53
491.16,1172.94
491.16,1172.54
490.84,1172.54
490.06,1172.18
490.29,1173.26
490.66,1172.39
490.39,1172.7
490.92,1172.81
490.79,1172.85
490.66,1172.49
490.54,1171.78
490.66,1171.43
490.19,1171.28
490.48,1171.55
490.74,1172.05
