x_cog,y_cog
456.01,1218.2
455.27,1218.16
454.43,1219.17
454.47,1218.95
454.49,1218.87
454.49,1217.36
454.47,1218.55
453.96,1218.7
453.5,1217.55
454.43,1218.77
454.43,1218.03
453.62,1218.27
454.59,1216.99
454.27,1217.31
453.48,1216.87
454.22,1217.15
454.01,1216.94
453.98,1217.18
453.89,1217.64
454.06,1217.87
454.19,1218.73
454.47,1218.56
453.19,1219.56
453.38,1221.78
452.71,1222.55
452.97,1224.45
451.83,1227.09
451.18,1231.48
450.07,1235.59
449.84,1236.68
449.12,1236.95
448.66,1234.22
447.55,1225.67
446.8,1214.34
444.35,1198.19
444.82,1180.47
443.07,1163.86
445.3,1143.82
444.56,1125.56
443.82,1106.86
445.12,1088.82
444.67,1074.38
444.85,1061.75
443.78,1049.33
443.62,1036.06
443.54,1026.67
444.28,1018.86
444.3,1014.77
442.83,1015.09
447.0,1013.21
447.88,1013.6
448.7,1013.02
449.47,1012.03
449.62,1012.11
449.56,1010.31
449.92,1010.94
450.94,1008.14
450.8,1009.79
448.31,1012.07
448.24,1010.08
449.79,1009.82
451.17,1008.1
449.78,1008.88
450.82,1009.66
449.55,1009.02
448.79,1009.3
448.05,1009.36
449.11,1010.25
448.94,1010.03
447.65,1009.3
448.08,1009.77
446.42,1009.45
446.54,1012.5
445.18,1011.43
445.86,1013.04
445.56,1013.13
444.74,1014.38
445.09,1013.77
444.64,1015.16
443.42,1013.4
443.22,1013.23
443.89,1013.17
442.99,1013.25
443.05,1013.01
442.26,1011.96
442.83,1013.61
442.82,1011.43
442.82,1012.92
442.51,1011.72
442.82,1013.22
442.24,1014.02
442.5,1011.97
442.42,1011.76
442.05,1012.96
442.01,1013.4
441.83,1013.04
441.51,1012.7
439.78,1012.54
440.85,1013.96
440.85,1013.31
440.87,1013.01
442.1,1014.82
442.01,1012.9
442.32,1012.21
442.11,1012.43
441.91,1012.9
442.28,1012.76
441.91,1011.92
441.93,1014.0
442.1,1013.48
442.18,1013.12
442.16,1012.76
441.71,1011.9
442.0,1012.78
440.8,1013.35
439.56,1013.32
440.86,1014.17
441.06,1014.98
441.05,1013.31
441.11,1013.15
441.11,1013.36
441.11,1013.41
441.01,1013.73
440.86,1013.55
440.86,1013.42
440.2,1013.45
440.19,1012.53
439.04,1012.74
438.8,1013.35
438.7,1013.6
438.11,1013.39
436.34,1013.69
436.93,1013.67
436.43,1013.27
435.14,1013.46
436.53,1013.46
436.5,1013.58
436.05,1014.17
435.92,1013.08
436.68,1013.07
436.61,1013.13
436.05,1012.89
434.56,1016.28
434.52,1014.33
434.71,1013.29
434.39,1013.1
434.28,1012.18
434.45,1013.13
434.36,1013.18
434.56,1012.88
434.79,1011.9
434.71,1012.0
434.62,1012.34
434.73,1011.64
434.25,1011.25
434.23,1010.84
434.11,1011.3
434.21,1009.78
433.88,1008.55
433.88,1007.98
433.92,1006.96
434.11,1005.28
434.28,1004.07
432.73,1002.98
435.0,999.91
433.3,1000.55
433.43,1000.21
433.65,1004.41
435.6,1002.95
436.38,1002.64
438.57,1006.3
440.18,1008.02
439.98,1016.1
440.62,1023.03
442.47,1034.12
444.24,1048.64
442.98,1062.47
443.91,1079.07
442.05,1094.02
440.69,1107.85
441.13,1123.53
441.25,1136.92
443.04,1152.02
441.43,1164.12
442.3,1176.83
443.15,1186.72
443.08,1195.4
442.8,1204.74
442.84,1212.93
443.2,1218.31
443.35,1222.91
444.66,1226.54
445.97,1229.21
446.2,1232.0
447.2,1232.66
447.75,1233.47
449.35,1233.52
449.21,1232.57
450.88,1232.32
451.03,1227.43
451.81,1224.9
451.14,1221.59
451.92,1220.36
452.73,1219.03
451.92,1220.38
451.92,1219.54
452.28,1219.29
451.97,1219.01
452.23,1216.39
452.61,1216.19
453.54,1216.0
453.63,1215.39
453.46,1216.23
453.17,1216.63
452.34,1217.14
452.74,1217.22
452.54,1217.99
452.71,1218.95
