x_cog,y_cog
465.41,1227.61
464.56,1226.27
465.4,1227.24
466.31,1228.34
465.51,1226.07
465.7,1225.6
465.88,1224.83
466.09,1225.28
465.81,1223.67
466.67,1224.52
466.01,1225.03
466.58,1223.11
466.75,1224.26
466.16,1223.01
464.79,1223.82
464.59,1223.6
464.87,1224.81
463.11,1225.12
464.55,1224.56
463.58,1228.5
463.3,1227.82
462.44,1231.97
462.22,1234.23
462.48,1238.01
462.61,1240.62
462.42,1242.17
463.49,1241.84
462.47,1241.67
463.69,1238.46
462.52,1231.68
465.13,1223.12
462.52,1211.67
462.8,1199.68
461.75,1185.4
461.88,1173.24
460.9,1156.33
460.47,1142.75
459.83,1128.53
462.21,1114.31
459.38,1100.28
459.4,1081.86
459.11,1066.7
458.05,1051.93
458.93,1043.14
457.32,1031.07
456.38,1024.97
456.88,1016.27
456.14,1010.62
456.45,1008.52
456.0,1007.59
454.41,1006.11
455.04,1008.91
455.89,1009.66
456.24,1009.48
455.34,1007.3
452.75,1008.67
453.66,1007.81
453.66,1009.38
452.1,1011.88
453.35,1012.11
453.08,1012.23
453.9,1010.98
453.79,1010.66
452.48,1011.47
451.83,1014.4
452.03,1014.32
450.3,1012.78
451.3,1012.09
450.31,1014.16
451.15,1013.38
450.34,1014.68
450.28,1014.95
450.48,1012.93
451.3,1013.61
450.26,1012.94
451.3,1012.43
451.81,1012.97
453.18,1011.94
453.49,1011.11
453.46,1010.9
453.65,1010.77
454.21,1011.21
454.21,1011.64
454.36,1010.48
454.55,1011.14
454.66,1010.54
455.02,1010.38
456.53,1010.99
456.29,1010.96
456.48,1011.28
456.64,1011.09
456.68,1011.52
456.68,1011.64
456.68,1010.6
458.5,1010.32
458.58,1010.72
458.69,1010.92
458.73,1010.41
458.92,1011.12
459.12,1011.15
460.31,1011.46
459.08,1011.42
460.44,1011.64
459.08,1011.11
460.73,1011.38
460.47,1010.94
459.0,1011.51
459.19,1012.22
460.07,1012.04
458.81,1013.05
458.92,1012.89
458.92,1012.36
459.1,1011.91
458.92,1013.36
458.73,1012.58
460.28,1012.58
460.09,1012.55
459.86,1011.64
459.88,1011.42
461.01,1011.58
460.06,1012.12
461.42,1011.26
461.59,1010.97
461.43,1011.86
461.59,1010.99
461.49,1011.33
461.6,1012.22
461.6,1009.4
463.54,1008.67
466.24,1009.18
466.55,1009.15
467.5,1005.76
466.59,1005.22
467.88,1002.99
466.75,1002.69
468.16,998.97
467.78,998.2
468.11,996.52
470.83,996.95
471.08,994.85
471.65,996.5
471.16,994.5
471.4,994.51
472.66,993.82
473.84,997.5
473.6,998.49
473.63,1002.23
472.95,1005.26
473.25,1009.53
474.17,1019.25
474.43,1021.78
475.92,1031.81
476.88,1036.29
478.09,1046.28
479.66,1051.34
480.58,1058.7
478.35,1069.64
478.36,1083.74
478.64,1096.89
478.17,1108.54
477.7,1122.9
477.91,1135.47
476.05,1147.34
474.73,1159.58
473.16,1168.82
471.14,1182.22
470.26,1193.39
468.01,1202.6
467.54,1210.02
466.36,1217.58
464.65,1222.73
465.74,1227.57
463.64,1231.14
463.4,1233.29
462.28,1233.97
461.82,1233.2
460.3,1234.28
458.94,1233.31
459.08,1230.52
458.1,1229.3
457.85,1229.35
457.44,1226.75
457.03,1223.78
458.2,1224.48
458.45,1219.77
457.88,1219.02
457.71,1218.56
458.13,1220.05
459.09,1221.16
458.91,1220.47
457.86,1220.16
459.03,1219.78
