x_cog,y_cog
459.58,1220.22
457.98,1217.88
458.36,1219.02
457.48,1218.95
456.48,1219.54
457.3,1217.52
457.73,1217.87
457.75,1219.12
457.44,1218.5
457.17,1217.91
457.3,1219.42
457.46,1217.82
457.46,1218.15
457.46,1218.01
457.46,1218.15
457.3,1217.85
457.51,1218.95
457.92,1220.36
457.8,1218.92
457.8,1219.79
457.8,1217.24
456.33,1218.37
458.23,1217.21
457.24,1218.82
457.75,1220.49
457.92,1219.71
458.19,1220.94
457.92,1221.24
458.34,1222.9
458.55,1223.88
458.95,1225.97
458.7,1224.48
457.07,1227.84
458.06,1226.29
458.91,1229.1
458.14,1231.06
457.97,1232.75
456.85,1235.95
456.49,1238.12
456.83,1241.09
456.91,1244.39
455.79,1245.65
456.45,1246.3
457.09,1251.57
456.58,1255.6
457.31,1257.54
457.28,1260.15
456.82,1264.29
457.92,1266.82
458.58,1267.39
458.36,1267.39
458.74,1266.93
459.48,1264.04
459.4,1261.47
459.86,1256.96
458.5,1251.31
458.01,1243.77
457.6,1236.74
457.33,1227.56
456.1,1218.72
455.51,1206.17
455.51,1194.53
454.93,1183.36
454.13,1172.02
454.66,1158.47
454.8,1146.06
455.24,1134.03
457.75,1123.11
454.31,1110.52
455.59,1097.74
455.89,1083.08
456.6,1075.95
455.25,1064.48
457.03,1054.75
456.01,1047.43
454.99,1040.85
451.75,1031.02
452.83,1027.62
451.84,1022.3
452.72,1021.09
450.97,1017.77
451.57,1016.18
452.14,1015.59
452.56,1016.35
452.27,1015.17
453.96,1015.58
451.2,1016.07
451.53,1016.77
452.49,1015.68
451.61,1014.12
451.44,1014.95
451.5,1013.18
450.2,1015.04
451.74,1013.75
450.43,1014.31
452.06,1014.16
450.73,1013.45
450.78,1013.01
450.43,1013.26
450.75,1014.48
450.37,1013.44
450.47,1013.61
450.62,1013.91
450.03,1011.33
450.22,1011.53
450.28,1011.28
450.28,1010.72
450.22,1009.48
449.43,1008.83
448.1,1008.39
449.7,1010.83
450.94,1009.12
449.17,1008.75
449.25,1010.48
450.56,1008.59
450.57,1011.17
449.33,1010.0
450.48,1011.16
449.64,1012.55
450.11,1013.22
449.69,1013.27
449.69,1015.02
449.44,1014.34
449.38,1014.78
449.42,1015.35
450.29,1015.53
450.21,1015.68
449.61,1015.34
450.84,1014.31
450.97,1014.3
450.77,1014.75
451.34,1015.07
451.31,1015.85
451.79,1015.22
451.6,1015.3
451.6,1015.83
451.6,1015.89
450.8,1015.19
450.88,1016.75
451.78,1015.39
451.06,1014.45
451.02,1014.67
451.06,1013.95
451.75,1015.26
451.76,1015.99
451.67,1015.87
451.75,1016.33
451.2,1015.88
452.26,1016.18
451.37,1016.33
451.88,1015.16
451.03,1017.34
451.99,1015.17
451.3,1015.27
452.18,1014.68
450.81,1014.77
450.6,1015.12
451.55,1015.33
451.45,1015.45
451.2,1014.39
451.15,1016.15
450.99,1016.19
450.96,1016.17
450.76,1016.36
450.95,1016.36
450.93,1016.17
451.23,1016.21
450.68,1016.03
451.38,1016.21
451.31,1016.18
451.2,1015.41
450.78,1016.48
450.68,1016.12
450.68,1016.17
450.9,1016.12
449.85,1016.54
449.8,1015.4
450.58,1014.18
450.88,1012.99
450.65,1014.29
450.68,1014.36
450.67,1012.48
451.2,1012.65
450.95,1012.5
451.21,1012.68
451.18,1011.77
450.13,1011.42
449.72,1008.67
449.72,1009.17
449.17,1008.98
450.73,1009.7
450.53,1008.34
450.41,1006.76
450.49,1005.48
450.58,1002.78
450.86,1005.39
450.44,1003.08
450.28,1001.97
451.05,1000.41
450.64,1001.82
450.66,1004.9
451.0,1005.03
451.49,1011.05
451.34,1016.22
450.66,1019.0
450.26,1024.9
451.04,1030.58
451.51,1037.25
451.24,1046.26
450.45,1055.3
450.89,1064.68
449.76,1074.63
449.58,1083.49
451.81,1092.12
451.43,1101.29
451.08,1108.35
452.47,1117.01
451.09,1125.69
449.46,1134.83
448.75,1144.96
450.35,1154.04
450.49,1162.81
452.12,1173.14
451.12,1182.06
452.54,1191.69
451.5,1198.88
452.22,1206.99
452.67,1214.01
452.34,1220.04
452.24,1225.71
454.33,1231.53
454.66,1235.13
456.15,1238.63
456.88,1242.64
457.84,1243.9
458.68,1245.79
459.21,1246.14
459.31,1244.46
460.0,1242.5
459.69,1240.83
459.2,1237.38
460.75,1234.08
460.77,1232.01
460.29,1229.81
460.2,1230.11
458.72,1228.44
460.1,1228.16
459.84,1229.29
460.06,1227.24
461.32,1227.27
459.4,1228.32
459.18,1228.26
459.95,1227.37
460.03,1226.82
459.81,1224.02
459.33,1225.48
458.95,1225.93
459.39,1225.76
459.39,1225.79
459.39,1225.66
459.9,1225.93
459.9,1226.6
460.05,1225.57
460.05,1226.48
459.14,1226.41
459.38,1226.67
