x_cog,y_cog
501.16,1151.49
500.98,1151.34
501.11,1151.29
497.49,1149.86
499.04,1149.83
500.98,1151.0
499.19,1150.03
500.17,1150.8
501.11,1150.46
499.37,1150.49
501.11,1150.46
501.26,1150.65
501.14,1150.65
500.13,1150.62
499.25,1150.62
499.37,1150.77
501.01,1150.77
501.03,1150.31
498.36,1151.08
499.62,1150.76
498.86,1151.17
499.71,1150.13
499.92,1151.55
498.99,1150.32
499.29,1150.6
495.72,1149.63
497.09,1149.85
494.65,1149.79
493.65,1150.03
496.61,1150.15
491.8,1149.06
495.32,1151.0
491.47,1151.0
489.33,1148.35
488.14,1147.98
486.94,1147.87
485.97,1148.06
484.07,1147.27
482.24,1147.23
482.9,1147.88
481.19,1148.22
479.43,1148.81
476.89,1147.41
473.91,1148.65
471.14,1150.4
467.99,1149.83
465.19,1150.02
462.38,1150.1
458.1,1150.26
454.16,1150.63
450.29,1149.44
443.41,1147.29
439.31,1147.24
432.05,1145.57
425.3,1141.91
422.82,1138.67
418.63,1134.43
417.2,1134.55
411.33,1126.01
410.45,1115.07
406.73,1106.36
404.56,1099.75
400.47,1089.82
397.3,1081.41
392.61,1070.56
390.78,1061.77
383.39,1045.74
380.82,1040.27
378.6,1031.44
375.92,1016.42
375.94,1013.38
374.47,1005.32
375.18,997.39
370.06,990.91
369.89,983.32
368.15,976.62
366.89,969.32
365.68,963.62
365.19,958.48
361.99,952.88
363.11,945.87
358.97,941.32
357.51,935.91
359.92,932.02
356.88,928.01
356.4,927.94
356.52,923.47
355.76,922.22
357.16,920.03
357.21,919.86
353.49,916.51
357.38,916.51
356.79,915.81
356.86,914.49
356.87,914.71
355.17,915.67
354.8,918.36
353.83,919.36
355.36,918.3
353.91,918.71
352.42,919.79
352.05,921.91
352.48,923.42
351.78,923.5
350.5,925.97
350.1,924.48
349.75,924.78
348.65,924.78
347.85,926.55
347.89,926.67
349.2,925.74
349.6,927.47
349.18,928.31
348.82,928.25
346.69,928.91
346.75,929.35
346.62,930.09
346.25,929.62
346.09,930.26
346.03,929.7
344.7,928.63
344.58,929.02
344.67,930.49
343.68,928.66
344.59,927.65
343.49,928.14
343.31,927.32
344.38,928.92
342.17,928.84
342.13,928.9
341.91,927.47
342.46,927.45
342.13,927.17
340.99,927.79
341.91,927.63
340.83,927.15
341.06,927.3
341.02,927.3
340.83,928.36
340.65,927.15
340.49,928.27
