x_cog,y_cog
474.72,1177.71
473.39,1176.72
473.02,1176.74
472.89,1175.36
473.61,1174.85
473.65,1175.3
473.08,1176.04
472.65,1175.29
472.79,1176.07
473.63,1175.26
472.64,1176.06
472.68,1176.04
472.79,1176.5
472.79,1176.04
472.79,1176.14
473.57,1175.64
473.46,1176.21
473.46,1175.88
472.55,1175.17
472.48,1175.49
472.58,1175.26
472.92,1175.99
472.42,1176.64
472.51,1176.88
472.03,1176.3
471.57,1175.78
471.75,1175.88
470.98,1175.56
470.48,1176.31
470.43,1176.54
470.3,1176.62
469.65,1177.08
468.72,1178.28
468.52,1178.08
468.95,1180.64
468.36,1179.7
467.08,1181.84
467.26,1180.89
466.04,1182.31
464.55,1182.13
462.58,1184.36
464.19,1183.76
460.35,1184.18
460.13,1185.44
457.41,1186.08
455.97,1186.52
454.04,1187.16
452.99,1185.98
450.07,1188.17
449.4,1188.78
448.29,1189.86
445.02,1190.22
442.21,1191.47
440.72,1191.55
437.9,1193.14
436.22,1194.58
433.32,1196.16
431.22,1196.85
428.0,1199.98
424.73,1201.91
421.07,1203.15
420.16,1203.39
415.79,1205.55
415.28,1205.38
411.86,1205.3
407.89,1204.1
403.79,1202.12
403.22,1200.91
398.35,1198.54
396.62,1198.24
393.2,1192.26
392.1,1192.66
389.96,1185.69
388.32,1183.63
386.07,1177.21
384.55,1175.53
382.33,1168.32
383.25,1166.49
379.98,1158.1
381.13,1156.65
379.26,1148.02
379.17,1145.9
377.84,1137.69
377.98,1133.72
376.28,1123.74
376.57,1119.45
374.76,1111.3
373.16,1108.58
372.27,1099.3
372.44,1095.17
372.16,1085.49
372.63,1082.06
370.78,1071.56
371.11,1069.55
368.7,1061.65
370.82,1061.51
367.51,1051.14
368.79,1051.8
368.48,1044.73
368.64,1044.74
365.92,1039.59
367.19,1036.82
365.19,1029.97
366.52,1027.44
366.01,1024.13
364.72,1023.44
364.18,1018.73
362.1,1018.4
362.99,1014.86
361.26,1013.93
360.26,1012.19
358.64,1010.79
358.75,1010.64
359.65,1009.08
358.6,1009.68
357.81,1009.35
358.32,1008.24
359.91,1011.15
359.21,1008.49
359.25,1006.81
358.31,1007.81
359.64,1007.57
360.89,1007.36
360.12,1008.81
360.35,1007.7
358.35,1007.27
356.82,1008.95
358.02,1008.96
357.92,1010.72
357.93,1009.52
357.95,1009.46
358.9,1010.57
357.74,1011.46
358.08,1011.98
358.02,1009.76
356.4,1010.8
355.99,1010.88
357.44,1010.8
358.11,1011.53
356.49,1012.4
355.9,1012.33
357.93,1012.39
356.76,1011.25
355.74,1011.22
357.45,1010.88
356.12,1010.77
355.06,1008.43
355.73,1008.81
354.77,1008.59
355.59,1009.35
355.58,1009.06
