x_cog,y_cog
469.7,1176.49
470.63,1176.85
470.9,1177.63
471.3,1177.6
471.7,1177.72
472.29,1178.46
471.37,1177.38
472.3,1177.46
472.3,1178.33
472.13,1176.85
471.71,1176.9
472.67,1177.94
472.67,1177.83
472.4,1177.77
472.18,1177.76
471.72,1178.17
471.4,1178.04
470.26,1177.86
470.83,1178.28
470.15,1177.21
469.82,1179.2
468.94,1177.57
469.3,1177.73
469.14,1177.78
468.63,1177.85
468.76,1177.33
468.06,1178.64
467.26,1178.14
466.09,1178.09
466.88,1178.54
465.56,1179.43
465.41,1179.23
463.99,1179.29
463.87,1181.15
462.24,1179.91
461.91,1178.71
460.13,1180.94
458.58,1180.38
457.1,1181.13
456.02,1181.65
454.28,1182.42
454.07,1182.29
452.06,1183.62
450.87,1183.16
447.57,1186.53
446.8,1188.54
443.83,1189.47
442.49,1187.17
438.87,1187.96
436.88,1189.95
434.1,1190.16
433.54,1190.87
430.74,1191.87
427.96,1192.41
425.12,1193.92
424.03,1193.26
420.02,1194.22
419.79,1195.33
415.97,1196.24
413.16,1196.59
411.03,1195.89
410.06,1194.13
405.5,1193.97
405.58,1194.72
402.38,1193.77
401.95,1192.88
399.18,1190.79
397.38,1190.94
394.56,1186.23
393.35,1185.53
391.37,1179.83
389.73,1178.97
389.1,1173.64
387.09,1171.78
384.88,1165.76
385.15,1166.3
383.42,1158.18
382.46,1155.5
380.98,1147.88
381.27,1146.04
378.56,1137.16
378.2,1134.73
378.42,1127.07
376.48,1123.84
376.64,1115.44
375.47,1111.6
376.47,1104.26
374.11,1101.05
373.29,1090.21
372.96,1087.5
371.7,1079.92
369.79,1077.35
370.43,1069.68
370.39,1068.83
370.55,1062.17
369.29,1062.14
368.37,1054.92
368.2,1053.79
368.51,1047.03
368.46,1045.32
366.71,1039.77
365.68,1038.67
367.11,1032.22
367.55,1031.57
367.63,1024.98
367.25,1022.51
367.92,1017.06
366.83,1016.69
365.46,1013.42
365.38,1012.98
364.65,1011.1
365.34,1009.64
363.46,1006.36
363.38,1004.8
361.97,1005.06
361.75,1007.13
359.37,1006.35
359.49,1008.35
359.39,1009.0
359.07,1008.06
358.26,1007.29
357.7,1007.6
358.13,1006.31
360.14,1007.14
359.15,1006.14
360.56,1007.49
360.29,1007.29
359.48,1007.77
359.69,1008.02
359.9,1008.51
359.83,1008.62
362.42,1008.82
360.43,1007.16
359.99,1007.24
360.16,1005.91
361.84,1005.67
359.5,1004.63
359.97,1005.23
359.37,1006.18
356.72,1002.93
355.49,1001.63
354.26,1002.22
354.4,999.85
353.78,1000.75
353.78,999.28
353.51,1000.7
352.38,998.95
353.57,999.77
352.53,999.38
353.73,998.56
353.61,1002.07
352.76,1001.03
353.51,1002.2
352.29,1003.23
351.26,1002.86
350.98,1003.34
350.98,1001.07
351.38,1002.09
351.32,999.69
350.94,1003.84
350.88,1003.84
351.04,1003.66
351.12,1003.87
350.6,1001.54
350.32,1004.91
350.83,1004.59
350.4,1007.03
350.65,1006.34
350.63,1007.67
350.88,1004.83
350.48,1006.29
350.79,1006.06
349.2,1007.1
351.74,1008.0
350.51,1008.32
351.63,1007.44
351.27,1008.54
350.3,1008.24
351.32,1008.33
351.67,1008.97
351.53,1007.62
