x_cog,y_cog
479.79,1218.11
478.65,1217.44
478.51,1217.42
479.5,1218.78
479.29,1217.28
479.73,1218.24
478.75,1219.43
478.75,1219.21
478.75,1219.21
478.75,1219.27
478.94,1220.54
478.95,1220.39
478.94,1220.42
478.74,1220.42
478.74,1219.56
478.74,1219.53
478.71,1219.42
479.03,1220.1
478.71,1219.56
479.03,1220.37
478.88,1220.19
478.7,1220.56
478.93,1219.23
478.5,1219.27
478.5,1219.36
478.5,1219.22
478.53,1219.08
479.09,1219.11
478.84,1219.51
478.81,1219.02
478.81,1219.94
478.94,1219.14
479.13,1219.92
477.92,1219.32
479.1,1216.41
478.2,1217.09
476.74,1216.06
476.77,1216.53
477.82,1214.46
477.57,1214.96
478.17,1212.78
477.76,1214.57
477.58,1213.95
477.41,1214.64
477.79,1215.83
476.98,1219.88
478.77,1219.45
478.94,1221.96
478.74,1227.76
478.27,1231.9
479.02,1236.87
478.49,1238.25
479.12,1238.08
476.31,1240.16
478.06,1238.87
475.96,1240.66
476.48,1242.03
476.41,1243.85
477.26,1243.65
478.72,1241.62
479.26,1242.86
478.14,1241.43
477.64,1239.76
478.55,1239.3
478.16,1239.3
479.23,1227.35
477.36,1217.63
479.21,1211.23
478.79,1206.8
479.57,1201.12
479.8,1197.1
480.83,1193.42
480.22,1190.69
480.3,1184.94
478.59,1181.97
477.19,1171.76
477.36,1160.51
476.25,1153.21
476.76,1148.54
475.37,1139.62
474.34,1135.91
474.5,1132.31
473.85,1127.4
473.55,1122.99
474.35,1116.06
474.58,1109.0
473.03,1103.3
474.51,1097.94
473.76,1093.7
474.6,1079.57
474.78,1079.05
472.57,1070.74
473.61,1067.02
470.69,1064.28
471.95,1055.56
472.12,1053.88
470.77,1049.89
469.1,1049.0
468.79,1045.93
468.86,1044.23
469.21,1042.48
469.66,1044.55
468.66,1041.52
469.83,1041.67
469.5,1041.79
469.19,1041.46
469.19,1040.86
470.71,1042.76
470.2,1042.23
470.2,1040.22
470.51,1039.55
469.61,1041.57
470.33,1040.05
470.78,1042.62
470.34,1041.32
471.95,1041.78
470.59,1041.55
471.91,1042.55
472.86,1039.2
472.83,1040.07
472.87,1037.04
474.37,1037.84
473.02,1043.05
473.7,1040.73
473.48,1043.23
473.52,1039.84
473.7,1043.16
473.56,1044.24
473.99,1044.01
474.44,1042.17
474.58,1044.56
473.98,1042.19
473.34,1043.6
474.79,1043.86
473.81,1043.48
475.85,1043.04
476.51,1046.17
477.46,1048.99
475.4,1048.62
477.69,1048.81
476.39,1048.08
476.54,1047.75
476.48,1048.17
476.48,1047.92
477.92,1049.1
476.41,1049.18
477.92,1049.43
477.5,1047.74
476.06,1048.01
477.46,1047.49
477.35,1046.21
478.32,1051.44
476.74,1051.41
476.85,1052.11
476.95,1051.53
476.95,1050.99
476.95,1052.59
478.15,1052.18
476.78,1050.66
476.99,1050.66
476.97,1050.08
477.35,1045.03
477.35,1045.36
477.34,1046.51
477.38,1048.03
477.35,1047.56
476.98,1048.62
476.84,1048.98
476.84,1044.5
474.82,1045.95
475.32,1046.25
476.57,1047.69
476.47,1047.4
477.29,1048.54
477.08,1045.69
477.22,1046.66
477.07,1045.14
477.29,1047.73
477.34,1045.65
477.15,1045.49
477.15,1045.57
477.06,1048.92
477.12,1048.66
476.54,1048.75
476.62,1047.03
476.64,1046.79
476.64,1046.79
476.86,1045.5
477.16,1046.86
477.16,1044.06
477.43,1046.73
477.4,1043.57
477.16,1043.84
477.31,1042.91
475.08,1042.2
475.38,1039.18
475.39,1039.6
477.49,1038.92
477.49,1035.81
475.86,1040.19
475.48,1038.75
479.01,1039.55
475.85,1040.55
477.81,1041.23
477.39,1038.6
478.21,1040.79
478.28,1041.97
478.21,1042.74
478.58,1042.77
479.49,1044.36
478.42,1042.07
480.57,1042.37
481.12,1041.49
481.75,1041.0
481.32,1040.72
482.81,1041.42
483.43,1041.07
483.43,1044.31
483.41,1042.1
483.88,1045.71
484.12,1041.21
483.07,1041.88
483.34,1042.55
483.84,1046.5
485.23,1042.42
485.52,1042.9
484.54,1037.02
485.39,1037.0
487.1,1037.13
487.04,1035.15
