sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
545.0,1039.0,650.0,1039.0,545.0,1039.0,11025.0,54289.0,65314.0,105.0,233.0,255.56603843233944,0.41085271205860374,1.147407164316992,114.2584121015626
545.0,1040.0,650.0,1040.0,545.0,1040.0,11025.0,53361.0,64386.0,105.0,231.0,253.74396544548603,0.413802944301184,1.1441688336680205,114.44395478041653
545.0,1043.0,649.0,1043.0,545.0,1043.0,10816.0,51984.0,62800.0,104.0,228.0,250.59928172283335,0.4150051799231635,1.1428478304734144,114.51964268819076
549.0,1044.0,649.0,1044.0,549.0,1044.0,10000.0,51529.0,61529.0,100.0,227.0,248.05039810490126,0.40314388029205944,1.1558466478110074,113.7748653160852
544.0,1043.0,649.0,1043.0,544.0,1043.0,11025.0,51529.0,62554.0,105.0,227.0,250.10797668207226,0.4198186774885313,1.1375507966032565,114.82314037288866
545.0,1043.0,649.0,1043.0,545.0,1043.0,10816.0,51529.0,62345.0,104.0,227.0,249.68980756130196,0.41651680144960146,1.1411857467261706,114.61487307210513
544.0,1039.0,649.0,1039.0,544.0,1039.0,11025.0,53824.0,64849.0,105.0,232.0,254.65466812921377,0.4123230913902673,1.1457937916138072,114.3508515482367
544.0,1040.0,652.0,1040.0,544.0,1040.0,11664.0,51076.0,62740.0,108.0,226.0,250.4795400826183,0.43117294116867677,1.125003962933643,115.54202098841016
544.0,1044.0,648.0,1044.0,544.0,1044.0,10816.0,51984.0,62800.0,104.0,228.0,250.59928172283335,0.4150051799231635,1.1428478304734144,114.51964268819076
540.0,1042.0,643.0,1042.0,540.0,1042.0,10609.0,57121.0,67730.0,103.0,239.0,260.2498799231231,0.39577347751486314,1.1638863797785477,113.31422260592873
534.0,1044.0,647.0,1044.0,534.0,1044.0,12769.0,52900.0,65669.0,113.0,230.0,256.25963396524236,0.44095903147714127,1.1141294071944794,116.165087136344
525.0,1043.0,641.0,1043.0,525.0,1043.0,13456.0,53824.0,67280.0,116.0,232.0,259.3838853899756,0.4472135954999579,1.1071487177940904,116.56505117707799
517.0,1047.0,638.0,1047.0,517.0,1047.0,14641.0,51984.0,66625.0,121.0,228.0,258.11818998280614,0.46877750075676605,1.082890045978642,117.95497068869616
506.0,1047.0,635.0,1047.0,506.0,1047.0,16641.0,52900.0,69541.0,129.0,230.0,263.7062759966095,0.48918062155509173,1.05964627919387,119.28674042544995
496.0,1049.0,632.0,1049.0,496.0,1049.0,18496.0,53824.0,72320.0,136.0,232.0,268.92378102354576,0.5057194997124203,1.0405805540182667,120.37912601136834
481.0,1049.0,623.0,1049.0,481.0,1049.0,20164.0,56644.0,76808.0,142.0,238.0,277.1425625918906,0.5123716785757794,1.0328520689939265,120.82193558529309
469.0,1053.0,612.0,1053.0,469.0,1053.0,20449.0,56644.0,77093.0,143.0,238.0,277.65626231007286,0.5150253007450797,1.029759161377413,120.99914613814317
459.0,1054.0,607.0,1054.0,459.0,1054.0,21904.0,50625.0,72529.0,148.0,225.0,269.3120866207085,0.5495483023323754,0.988972841307891,123.33603013999652
451.0,1059.0,588.0,1059.0,451.0,1059.0,18769.0,48400.0,67169.0,137.0,220.0,259.16982849089516,0.5286109143094676,1.013833001811817,121.91164786510375
437.0,1054.0,585.0,1054.0,437.0,1054.0,21904.0,45796.0,67700.0,148.0,214.0,260.1922366251537,0.5688102070978251,0.9657378080228001,124.66729948407823
426.0,1051.0,576.0,1051.0,426.0,1051.0,22500.0,42849.0,65349.0,150.0,207.0,255.63450471327224,0.5867752483892765,0.9437256642058783,125.92850242282283
422.0,1045.0,564.0,1045.0,422.0,1045.0,20164.0,42849.0,63013.0,142.0,207.0,251.02390324429265,0.5656831806244673,0.9695348317567828,124.44974604941001
411.0,1040.0,561.0,1040.0,411.0,1040.0,22500.0,39601.0,62101.0,150.0,199.0,249.20072231034965,0.6019244190359647,0.9248875179992219,127.00784869431462
407.0,1032.0,556.0,1032.0,407.0,1032.0,22201.0,38416.0,60617.0,149.0,196.0,246.2051989702898,0.6051862455511356,0.9207965280110147,127.24224515466918
399.0,1023.0,550.0,1023.0,399.0,1023.0,22801.0,36481.0,59282.0,151.0,191.0,243.47895186237352,0.62017681136295,0.901828251807899,128.32904732574613
395.0,1006.0,549.0,1006.0,395.0,1006.0,23716.0,39601.0,63317.0,154.0,199.0,251.6286947071021,0.6120128715020251,0.9121930276234517,127.7351894159157
391.0,994.0,538.0,994.0,391.0,994.0,21609.0,45369.0,66978.0,147.0,213.0,258.8010819142764,0.5680038078383743,0.9667179377989384,124.6111421845304
390.0,978.0,530.0,978.0,390.0,978.0,19600.0,48841.0,68441.0,140.0,221.0,261.6123085789352,0.5351430166282042,1.0061192905007323,122.35361096761122
388.0,963.0,511.0,963.0,388.0,963.0,15129.0,54756.0,69885.0,123.0,234.0,264.35771220072246,0.465278652081117,1.086846938934872,117.72825742231913
385.0,948.0,508.0,948.0,385.0,948.0,15129.0,57600.0,72729.0,123.0,240.0,269.6831474156292,0.45609079091039884,1.0971987974012853,117.13513962207688
384.0,937.0,500.0,937.0,384.0,937.0,13456.0,60025.0,73481.0,116.0,245.0,271.07379069175977,0.4279277598323939,1.128597573196944,115.33612228710811
384.0,921.0,491.0,921.0,384.0,921.0,11449.0,62500.0,73949.0,107.0,250.0,271.93565415369864,0.3934754356981941,1.1663873989947395,113.17092476035982
383.0,905.0,492.0,905.0,383.0,905.0,11881.0,61504.0,73385.0,109.0,248.0,270.8966592632696,0.4023674573781616,1.1566949123852157,113.7262633360726
383.0,896.0,486.0,896.0,383.0,896.0,10609.0,62500.0,73109.0,103.0,250.0,270.38676003088614,0.38093581205024374,1.1799881163326733,112.39166105854582
381.0,880.0,477.0,880.0,381.0,880.0,9216.0,63504.0,72720.0,96.0,252.0,269.6664606509308,0.3559953275919878,1.2068173702852525,110.85445803957835
377.0,870.0,469.0,870.0,377.0,870.0,8464.0,70225.0,78689.0,92.0,265.0,280.515596714336,0.3279675036881764,1.2366450552141113,109.14545758050876
371.0,861.0,465.0,861.0,371.0,861.0,8836.0,70756.0,79592.0,94.0,266.0,282.1205416129779,0.3331909100364349,1.2311104760260838,109.46256560936368
366.0,850.0,455.0,850.0,366.0,850.0,7921.0,82944.0,90865.0,89.0,288.0,301.43821920917725,0.29525121344430505,1.2710778836181518,107.17260183625906
365.0,848.0,445.0,848.0,365.0,848.0,6400.0,85849.0,92249.0,80.0,293.0,303.7252047492931,0.26339598673095044,1.3042555106869385,105.27166383095859
356.0,844.0,442.0,844.0,356.0,844.0,7396.0,85849.0,93245.0,86.0,293.0,305.3604427557702,0.28163438336636,1.2852993111896855,106.35777405775919
356.0,837.0,441.0,837.0,356.0,837.0,7225.0,87616.0,94841.0,85.0,296.0,307.9626600742369,0.2760074873346985,1.2911585775982088,106.02206282150803
348.0,834.0,420.0,834.0,348.0,834.0,5184.0,94864.0,100048.0,72.0,308.0,316.30365157550744,0.227629367038187,1.341153884509762,103.1575427400148
348.0,833.0,411.0,833.0,348.0,833.0,3969.0,101761.0,105730.0,63.0,319.0,325.16149833582693,0.19374987605369431,1.3758133074996164,101.17170408233746
344.0,829.0,412.0,829.0,344.0,829.0,4624.0,101761.0,106385.0,68.0,319.0,326.16713507035007,0.2084820715776078,1.3607736569746054,102.03341258277229
343.0,829.0,412.0,829.0,343.0,829.0,4761.0,100489.0,105250.0,69.0,317.0,324.4225639501667,0.21268557636638005,1.3564737260029103,102.27978047964801
339.0,824.0,410.0,824.0,339.0,824.0,5041.0,99856.0,104897.0,71.0,316.0,323.878063474512,0.21921830468641,1.3497831119400654,102.6631244277999
337.0,823.0,406.0,823.0,337.0,823.0,4761.0,101761.0,106522.0,69.0,319.0,326.377082528783,0.21141190265378065,1.357777038324539,102.20510618423128
332.0,824.0,407.0,824.0,332.0,824.0,5625.0,103041.0,108666.0,75.0,321.0,329.64526388225266,0.22751729879786642,1.3412689725516063,103.15094868094471
326.0,821.0,407.0,821.0,326.0,821.0,6561.0,104976.0,111537.0,81.0,324.0,333.9715556750305,0.24253562503633297,1.3258176636680326,104.03624346792647
326.0,820.0,413.0,820.0,326.0,820.0,7569.0,105625.0,113194.0,87.0,325.0,336.44316013258464,0.25858751286759785,1.3092366311087054,104.98626665354492
325.0,817.0,413.0,817.0,325.0,817.0,7744.0,103041.0,110785.0,88.0,321.0,332.84380721293286,0.26438827489947275,1.3032267553496653,105.3306071699359
326.0,820.0,418.0,820.0,326.0,820.0,8464.0,101761.0,110225.0,92.0,319.0,332.00150602068055,0.2771071767194612,1.2900142566705197,106.08762758107312
325.0,818.0,418.0,818.0,325.0,818.0,8649.0,98596.0,107245.0,93.0,314.0,327.48282397707516,0.28398435945608647,1.2828493160917096,106.49814843670096
325.0,817.0,412.0,817.0,325.0,817.0,7569.0,103041.0,110610.0,87.0,321.0,332.58081724597406,0.26159055329897607,1.3061265548045191,105.16446089973844
326.0,817.0,413.0,817.0,326.0,817.0,7569.0,103041.0,110610.0,87.0,321.0,332.58081724597406,0.26159055329897607,1.3061265548045191,105.16446089973844
325.0,817.0,418.0,817.0,325.0,817.0,8649.0,99225.0,107874.0,93.0,315.0,328.4417756619885,0.28315521012074213,1.283713957607754,106.44860812703982
323.0,817.0,411.0,817.0,323.0,817.0,7744.0,103041.0,110785.0,88.0,321.0,332.84380721293286,0.26438827489947275,1.3032267553496653,105.3306071699359
323.0,817.0,410.0,817.0,323.0,817.0,7569.0,103041.0,110610.0,87.0,321.0,332.58081724597406,0.26159055329897607,1.3061265548045191,105.16446089973844
323.0,817.0,410.0,817.0,323.0,817.0,7569.0,103041.0,110610.0,87.0,321.0,332.58081724597406,0.26159055329897607,1.3061265548045191,105.16446089973844
323.0,817.0,410.0,817.0,323.0,817.0,7569.0,102400.0,109969.0,87.0,320.0,331.6157414840255,0.26235184014686147,1.3053377183661221,105.20965789838472
323.0,816.0,411.0,816.0,323.0,816.0,7744.0,106929.0,114673.0,88.0,327.0,338.6340207362515,0.25986756973995734,1.3079112682874792,105.06220434952473
323.0,817.0,410.0,817.0,323.0,817.0,7569.0,106929.0,114498.0,87.0,327.0,338.3755310302446,0.2571107897048968,1.3107650372127646,104.8986954344003
324.0,817.0,411.0,817.0,324.0,817.0,7569.0,106929.0,114498.0,87.0,327.0,338.3755310302446,0.2571107897048968,1.3107650372127646,104.8986954344003
323.0,817.0,411.0,817.0,323.0,817.0,7744.0,106929.0,114673.0,88.0,327.0,338.6340207362515,0.25986756973995734,1.3079112682874792,105.06220434952473
324.0,816.0,411.0,816.0,324.0,816.0,7569.0,106929.0,114498.0,87.0,327.0,338.3755310302446,0.2571107897048968,1.3107650372127646,104.8986954344003
324.0,817.0,411.0,817.0,324.0,817.0,7569.0,106276.0,113845.0,87.0,326.0,337.40924705763473,0.25784711224923557,1.3100030224878285,104.94235566206595
324.0,817.0,412.0,817.0,324.0,817.0,7744.0,106929.0,114673.0,88.0,327.0,338.6340207362515,0.25986756973995734,1.3079112682874792,105.06220434952473
324.0,817.0,412.0,817.0,324.0,817.0,7744.0,106929.0,114673.0,88.0,327.0,338.6340207362515,0.25986756973995734,1.3079112682874792,105.06220434952473
324.0,822.0,411.0,822.0,324.0,822.0,7569.0,103684.0,111253.0,87.0,322.0,333.54609876297457,0.2608335109379414,1.3069108259475055,105.11952547325141
324.0,817.0,412.0,817.0,324.0,817.0,7744.0,106929.0,114673.0,88.0,327.0,338.6340207362515,0.25986756973995734,1.3079112682874792,105.06220434952473
324.0,817.0,412.0,817.0,324.0,817.0,7744.0,106276.0,114020.0,88.0,326.0,337.6684764676738,0.26061064663353184,1.3071416744002717,105.10629883120079
324.0,817.0,412.0,817.0,324.0,817.0,7744.0,106929.0,114673.0,88.0,327.0,338.6340207362515,0.25986756973995734,1.3079112682874792,105.06220434952473
324.0,817.0,411.0,817.0,324.0,817.0,7569.0,106929.0,114498.0,87.0,327.0,338.3755310302446,0.2571107897048968,1.3107650372127646,104.8986954344003
