sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
650.0,1272.0,341.0,1272.0,650.0,1272.0,95481.0,9025.0,104506.0,309.0,95.0,323.27387769505907,0.9558458672973155,0.29827150379842415,17.089698316670006
650.0,1271.0,341.0,1271.0,650.0,1271.0,95481.0,9025.0,104506.0,309.0,95.0,323.27387769505907,0.9558458672973155,0.29827150379842415,17.089698316670006
649.0,1271.0,340.0,1271.0,649.0,1271.0,95481.0,9216.0,104697.0,309.0,96.0,323.5691579863569,0.9549735887158589,0.30122557786238613,17.258954292904086
649.0,1271.0,340.0,1271.0,649.0,1271.0,95481.0,9216.0,104697.0,309.0,96.0,323.5691579863569,0.9549735887158589,0.30122557786238613,17.258954292904086
649.0,1270.0,339.0,1270.0,649.0,1270.0,96100.0,9216.0,105316.0,310.0,96.0,324.5242671973854,0.9552444341903366,0.300311344644725,17.20657258804144
649.0,1270.0,340.0,1270.0,649.0,1270.0,95481.0,9216.0,104697.0,309.0,96.0,323.5691579863569,0.9549735887158589,0.30122557786238613,17.258954292904086
649.0,1271.0,340.0,1271.0,649.0,1271.0,95481.0,9025.0,104506.0,309.0,95.0,323.27387769505907,0.9558458672973155,0.29827150379842415,17.089698316670006
652.0,1266.0,340.0,1266.0,652.0,1266.0,97344.0,10000.0,107344.0,312.0,100.0,327.6339420756036,0.9522822880420736,0.31016806078798553,17.771320822908734
648.0,1272.0,344.0,1272.0,648.0,1272.0,92416.0,8281.0,100697.0,304.0,91.0,317.3279061160553,0.9579995775373725,0.2908531120881767,16.66465578089799
643.0,1281.0,341.0,1281.0,643.0,1281.0,91204.0,5929.0,97133.0,302.0,77.0,311.66167553935793,0.9689994750793868,0.2496478898946307,14.303770455309012
647.0,1274.0,341.0,1274.0,647.0,1274.0,93636.0,6561.0,100197.0,306.0,81.0,316.5390971112415,0.966705227861512,0.25877089196369724,14.826479970355644
641.0,1275.0,337.0,1275.0,641.0,1275.0,92416.0,6561.0,98977.0,304.0,81.0,314.60610292872576,0.966287675827037,0.2603976415454518,14.919685855714851
638.0,1275.0,334.0,1275.0,638.0,1275.0,92416.0,6561.0,98977.0,304.0,81.0,314.60610292872576,0.966287675827037,0.2603976415454518,14.919685855714851
635.0,1277.0,334.0,1277.0,635.0,1277.0,90601.0,6241.0,96842.0,301.0,79.0,311.1944729586308,0.9672408289848194,0.25666947888517055,14.70607786994247
632.0,1281.0,333.0,1281.0,632.0,1281.0,89401.0,6400.0,95801.0,299.0,80.0,309.517366233302,0.9660201094326498,0.26143485773610337,14.979113965881822
623.0,1287.0,329.0,1287.0,623.0,1287.0,86436.0,5329.0,91765.0,294.0,73.0,302.92738403782516,0.9705296235723924,0.2433773834706579,13.944496901805701
612.0,1291.0,325.0,1291.0,612.0,1291.0,82369.0,4761.0,87130.0,287.0,69.0,295.1779124528121,0.9722949715821998,0.23594028970014014,13.518382816911997
607.0,1279.0,321.0,1279.0,607.0,1279.0,81796.0,6889.0,88685.0,286.0,83.0,297.80026863654774,0.96037522501046,0.282450926671565,16.18324601783977
588.0,1279.0,314.0,1279.0,588.0,1279.0,75076.0,7056.0,82132.0,274.0,84.0,286.58681058276215,0.9560802866078609,0.29747276468110606,17.043933936315675
585.0,1268.0,311.0,1268.0,585.0,1268.0,75076.0,10000.0,85076.0,274.0,100.0,291.6779045454078,0.9393923767624444,0.34994264921063895,20.05023687139668
576.0,1258.0,314.0,1258.0,576.0,1258.0,68644.0,12544.0,81188.0,262.0,112.0,284.93508032532606,0.9195076987391662,0.40397012755987755,23.145783358542484
564.0,1252.0,318.0,1252.0,564.0,1252.0,60516.0,16641.0,77157.0,246.0,129.0,277.77148881769705,0.8856200506649231,0.48296887585656145,27.672078222758774
561.0,1239.0,337.0,1239.0,561.0,1239.0,50176.0,24025.0,74201.0,224.0,155.0,272.3986049890858,0.8223243287496829,0.6053124834373288,34.68185058754148
556.0,1228.0,333.0,1228.0,556.0,1228.0,49729.0,27556.0,77285.0,223.0,166.0,278.0017985553331,0.8021530837528534,0.6399040020057405,36.66379860845989
550.0,1214.0,323.0,1214.0,550.0,1214.0,51529.0,30276.0,81805.0,227.0,174.0,286.01573383294846,0.7936626316249531,0.6539902345885049,37.470880284691965
549.0,1205.0,314.0,1205.0,549.0,1205.0,55225.0,31329.0,86554.0,235.0,177.0,294.20061182805176,0.7987746814658152,0.6455405349256704,36.98674815585843
538.0,1207.0,306.0,1207.0,538.0,1207.0,53824.0,30276.0,84100.0,232.0,174.0,290.0,0.8,0.6435011087932843,36.86989764584401
530.0,1199.0,300.0,1199.0,530.0,1199.0,52900.0,32400.0,85300.0,230.0,180.0,292.0616373302047,0.7875050010075858,0.6640461628266847,38.047042531826094
511.0,1197.0,300.0,1197.0,511.0,1197.0,44521.0,34225.0,78746.0,211.0,185.0,280.61717695109115,0.7519140570528056,0.7198356982433377,41.24354745219594
508.0,1188.0,295.0,1188.0,508.0,1188.0,45369.0,37636.0,83005.0,213.0,194.0,288.1058833137567,0.739311525159089,0.7387489846679891,42.32719894105054
500.0,1182.0,301.0,1182.0,500.0,1182.0,39601.0,39601.0,79202.0,199.0,199.0,281.4284989122459,0.7071067811865475,0.7853981633974484,45.00000000000001
491.0,1171.0,296.0,1171.0,491.0,1171.0,38025.0,45369.0,83394.0,195.0,213.0,288.7801932266131,0.6752540671893609,0.8294872207955201,47.52611691161955
492.0,1153.0,297.0,1153.0,492.0,1153.0,38025.0,54289.0,92314.0,195.0,233.0,303.8321905262838,0.6418016460409616,0.8739510162110572,50.07370473006297
486.0,1146.0,300.0,1146.0,486.0,1146.0,34596.0,57600.0,92196.0,186.0,240.0,303.63794229311986,0.612571665435814,0.9114862584620387,52.22431569404534
477.0,1132.0,300.0,1132.0,477.0,1132.0,31329.0,63504.0,94833.0,177.0,252.0,307.9496712126837,0.5747692449320914,0.9584741945673013,54.916526120907264
469.0,1135.0,306.0,1135.0,469.0,1135.0,26569.0,65025.0,91594.0,163.0,255.0,302.6450065671,0.5385847988998984,1.002039742560944,57.412648153117615
465.0,1127.0,309.0,1127.0,465.0,1127.0,24336.0,68644.0,92980.0,156.0,262.0,304.92622058458664,0.5115991655323243,1.033751391892479,59.22959182121343
455.0,1138.0,309.0,1138.0,455.0,1138.0,21316.0,63001.0,84317.0,146.0,251.0,290.37389689846435,0.5028000159775109,1.043961342285133,59.81457888775045
445.0,1141.0,312.0,1141.0,445.0,1141.0,17689.0,63001.0,80690.0,133.0,251.0,284.05985284795173,0.46821118389859445,1.08353106278914,62.08175686914232
442.0,1137.0,318.0,1137.0,442.0,1137.0,15376.0,65025.0,80401.0,124.0,255.0,283.5507009337131,0.4373115622415197,1.1181892786432908,64.06752636303855
441.0,1133.0,322.0,1133.0,441.0,1133.0,14161.0,65536.0,79697.0,119.0,256.0,282.3065709472594,0.42152755991723484,1.1356671329056498,65.06893364721647
420.0,1142.0,325.0,1142.0,420.0,1142.0,9025.0,63504.0,72529.0,95.0,252.0,269.3120866207085,0.35275059947010584,1.2102872836556824,69.3443533518233
411.0,1152.0,325.0,1152.0,411.0,1152.0,7396.0,57600.0,64996.0,86.0,240.0,254.94313091354314,0.3373301319860409,1.226716977795086,70.28570548470195
412.0,1148.0,332.0,1148.0,412.0,1148.0,6400.0,60025.0,66425.0,80.0,245.0,257.73047937719747,0.31040178171134053,1.2551806647561303,71.91655461695134
412.0,1146.0,337.0,1146.0,412.0,1146.0,5625.0,59049.0,64674.0,75.0,243.0,254.31083343027288,0.294914687622081,1.2714300927375446,72.84757825978816
410.0,1140.0,345.0,1140.0,410.0,1140.0,4225.0,63504.0,67729.0,65.0,252.0,260.24795868555816,0.24976180535016437,1.3183620702193333,75.53658249369768
406.0,1142.0,349.0,1142.0,406.0,1142.0,3249.0,61504.0,64753.0,57.0,248.0,254.46610776290032,0.22399839609725136,1.3448811309410575,77.05601274970363
407.0,1145.0,349.0,1145.0,407.0,1145.0,3364.0,61009.0,64373.0,58.0,247.0,253.71834777958017,0.22859994362878303,1.3401570249486225,76.78534141436464
407.0,1145.0,361.0,1145.0,407.0,1145.0,2116.0,62001.0,64117.0,46.0,249.0,253.21334877924585,0.18166498812866025,1.3881169779365308,79.53324430621763
413.0,1145.0,361.0,1145.0,413.0,1145.0,2704.0,62500.0,65204.0,52.0,250.0,255.3507391804457,0.20364147042180197,1.3657204264121503,78.25001642822333
