sho_x(coord),sho_y(coord),hip_x(coord),hip_y(coord),c_x(coord),c_y(coord),a_sq(dis),b_sq(dis),c_sq(dis),a(dis),b(dis),c(dis),cos(rad)),theta(theta),degree(deg)
381.0,904.0,476.0,904.0,381.0,904.0,9025.0,13689.0,22714.0,95.0,117.0,150.71164520368026,0.6303427971449161,0.8888016257873742,129.0754180180175
380.0,904.0,475.0,904.0,380.0,904.0,9025.0,13456.0,22481.0,95.0,116.0,149.93665329064805,0.6336009102180314,0.8845975526663685,129.31629366461553
384.0,905.0,474.0,905.0,384.0,905.0,8100.0,13689.0,21789.0,90.0,117.0,147.61097520171052,0.6097107608496923,0.9151007005533605,127.56859202882748
378.0,905.0,473.0,905.0,378.0,905.0,9025.0,13456.0,22481.0,95.0,116.0,149.93665329064805,0.6336009102180314,0.8845975526663685,129.31629366461553
379.0,905.0,474.0,905.0,379.0,905.0,9025.0,13456.0,22481.0,95.0,116.0,149.93665329064805,0.6336009102180314,0.8845975526663685,129.31629366461553
381.0,905.0,476.0,905.0,381.0,905.0,9025.0,13456.0,22481.0,95.0,116.0,149.93665329064805,0.6336009102180314,0.8845975526663685,129.31629366461553
376.0,904.0,477.0,904.0,376.0,904.0,10201.0,13689.0,23890.0,101.0,117.0,154.5639026422405,0.6534514092451357,0.8586612971366877,130.80233164283908
380.0,904.0,475.0,904.0,380.0,904.0,9025.0,13456.0,22481.0,95.0,116.0,149.93665329064805,0.6336009102180314,0.8845975526663685,129.31629366461553
380.0,903.0,476.0,903.0,380.0,903.0,9216.0,13689.0,22905.0,96.0,117.0,151.34397906755325,0.6343166116780229,0.8836721166534575,129.36931724236473
376.0,904.0,476.0,904.0,376.0,904.0,10000.0,13456.0,23456.0,100.0,116.0,153.15351775261317,0.6529396220694628,0.8593372010553886,130.76360520094116
375.0,909.0,475.0,909.0,375.0,909.0,10000.0,12321.0,22321.0,100.0,111.0,149.40214188558343,0.6693344468687935,0.837483712611627,132.0157178564066
375.0,909.0,470.0,909.0,375.0,909.0,9025.0,12321.0,21346.0,95.0,111.0,146.102703602637,0.6502275293849206,0.8629124450282402,130.55875881056718
378.0,908.0,474.0,908.0,378.0,908.0,9216.0,12544.0,21760.0,96.0,112.0,147.5127113166862,0.6507913734559685,0.8621700546672264,130.60129464500446
377.0,909.0,472.0,909.0,377.0,909.0,9025.0,12544.0,21569.0,95.0,112.0,146.8638825579659,0.6468574733648644,0.8673398756692752,130.305085720749
372.0,908.0,468.0,908.0,372.0,908.0,9216.0,12544.0,21760.0,96.0,112.0,147.5127113166862,0.6507913734559685,0.8621700546672264,130.60129464500446
375.0,908.0,465.0,908.0,375.0,908.0,8100.0,12544.0,20644.0,90.0,112.0,143.68020044529447,0.6263911083160484,0.8938814749524198,128.78436410029735
369.0,910.0,465.0,910.0,369.0,910.0,9216.0,12321.0,21537.0,96.0,111.0,146.7548977036201,0.6541519329315842,0.8577354939360433,130.85537625889572
372.0,911.0,467.0,911.0,372.0,911.0,9025.0,11236.0,20261.0,95.0,106.0,142.3411395205195,0.6674107030476952,0.8400699948165985,131.86753480143196
368.0,915.0,464.0,915.0,368.0,915.0,9216.0,11236.0,20452.0,96.0,106.0,143.01048912579805,0.6712794326264723,0.8348627319990397,132.1658889836935
365.0,912.0,460.0,912.0,365.0,912.0,9025.0,11025.0,20050.0,95.0,105.0,141.59802258506295,0.6709133239691263,0.835356559119391,132.13759477388825
362.0,917.0,462.0,917.0,362.0,917.0,10000.0,10000.0,20000.0,100.0,100.0,141.4213562373095,0.7071067811865475,0.7853981633974484,135.0
357.0,912.0,457.0,912.0,357.0,912.0,10000.0,11236.0,21236.0,100.0,106.0,145.72576985557495,0.6862204268957194,0.8145161449044871,133.3316625517067
