,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,510.0,848.0,510.0,919.0,499.0,755.0,630.0,1389.0,313.0,1439.0,630.0,979.0,401.0,990.0,658.0,1176.0,373.0,1171.0,619.0,1302.0,390.0,1275.0,587.0,1269.0,439.0,1269.0,630.0,1395.0,384.0,1395.0,592.0,1657.0,417.0,1657.0
1,510.0,848.0,510.0,919.0,499.0,750.0,636.0,1389.0,199.0,827.0,625.0,974.0,401.0,985.0,658.0,1176.0,368.0,1171.0,619.0,1302.0,384.0,1275.0,581.0,1269.0,445.0,1269.0,630.0,1400.0,384.0,1395.0,592.0,1657.0,412.0,1657.0
2,510.0,849.0,510.0,920.0,499.0,751.0,635.0,1389.0,199.0,828.0,624.0,975.0,401.0,986.0,657.0,1177.0,368.0,1171.0,619.0,1302.0,385.0,1275.0,581.0,1269.0,445.0,1269.0,630.0,1400.0,385.0,1395.0,592.0,1656.0,412.0,1656.0
3,510.0,850.0,510.0,921.0,500.0,752.0,636.0,1389.0,200.0,828.0,625.0,975.0,402.0,986.0,657.0,1177.0,369.0,1171.0,619.0,1302.0,385.0,1275.0,581.0,1269.0,440.0,1269.0,630.0,1400.0,385.0,1395.0,592.0,1661.0,412.0,1656.0
4,511.0,850.0,511.0,921.0,500.0,752.0,631.0,1390.0,200.0,829.0,625.0,976.0,402.0,987.0,658.0,1177.0,369.0,1172.0,620.0,1302.0,385.0,1275.0,582.0,1270.0,440.0,1270.0,631.0,1395.0,385.0,1395.0,592.0,1656.0,413.0,1656.0
5,511.0,849.0,511.0,921.0,505.0,750.0,632.0,1391.0,212.0,822.0,627.0,976.0,400.0,987.0,654.0,1170.0,373.0,1170.0,616.0,1297.0,384.0,1275.0,583.0,1275.0,445.0,1275.0,632.0,1402.0,384.0,1396.0,599.0,1656.0,411.0,1656.0
6,511.0,846.0,511.0,923.0,500.0,748.0,631.0,1391.0,201.0,830.0,626.0,977.0,402.0,988.0,658.0,1173.0,370.0,1173.0,620.0,1298.0,386.0,1277.0,582.0,1271.0,441.0,1266.0,631.0,1396.0,386.0,1396.0,593.0,1658.0,413.0,1658.0
7,512.0,847.0,512.0,923.0,501.0,749.0,631.0,1392.0,201.0,831.0,626.0,978.0,403.0,989.0,659.0,1174.0,370.0,1174.0,620.0,1299.0,386.0,1277.0,577.0,1272.0,441.0,1266.0,631.0,1397.0,386.0,1397.0,593.0,1659.0,413.0,1659.0
8,511.0,847.0,511.0,923.0,500.0,749.0,631.0,1392.0,201.0,831.0,626.0,978.0,402.0,989.0,658.0,1174.0,369.0,1168.0,620.0,1299.0,386.0,1272.0,577.0,1272.0,440.0,1267.0,631.0,1397.0,386.0,1397.0,593.0,1659.0,413.0,1654.0
9,511.0,846.0,511.0,923.0,500.0,754.0,631.0,1392.0,200.0,830.0,626.0,977.0,402.0,988.0,658.0,1173.0,369.0,1173.0,620.0,1299.0,386.0,1277.0,576.0,1272.0,440.0,1266.0,631.0,1397.0,386.0,1397.0,593.0,1659.0,413.0,1659.0
10,511.0,846.0,511.0,918.0,505.0,753.0,632.0,1391.0,214.0,824.0,627.0,979.0,401.0,990.0,654.0,1171.0,373.0,1166.0,615.0,1292.0,384.0,1270.0,582.0,1276.0,445.0,1276.0,632.0,1402.0,379.0,1397.0,599.0,1656.0,412.0,1656.0
11,511.0,847.0,511.0,923.0,500.0,755.0,631.0,1392.0,201.0,831.0,625.0,978.0,402.0,989.0,658.0,1174.0,369.0,1168.0,620.0,1299.0,386.0,1277.0,576.0,1272.0,440.0,1266.0,631.0,1397.0,386.0,1397.0,593.0,1658.0,413.0,1658.0
12,511.0,845.0,511.0,917.0,506.0,751.0,632.0,1392.0,213.0,823.0,627.0,978.0,401.0,989.0,655.0,1171.0,373.0,1165.0,616.0,1298.0,384.0,1270.0,583.0,1276.0,445.0,1276.0,632.0,1403.0,384.0,1397.0,594.0,1657.0,412.0,1657.0
13,511.0,845.0,511.0,917.0,506.0,751.0,633.0,1391.0,213.0,823.0,627.0,977.0,401.0,988.0,655.0,1170.0,373.0,1165.0,616.0,1297.0,384.0,1270.0,583.0,1281.0,445.0,1275.0,633.0,1402.0,384.0,1397.0,594.0,1656.0,412.0,1656.0
14,506.0,844.0,511.0,916.0,506.0,750.0,633.0,1391.0,213.0,822.0,627.0,976.0,401.0,988.0,655.0,1175.0,373.0,1164.0,616.0,1297.0,384.0,1275.0,583.0,1280.0,445.0,1275.0,633.0,1402.0,384.0,1396.0,594.0,1656.0,412.0,1656.0
15,508.0,849.0,508.0,917.0,501.0,752.0,635.0,1385.0,230.0,839.0,629.0,975.0,403.0,986.0,656.0,1175.0,372.0,1170.0,619.0,1296.0,382.0,1275.0,577.0,1270.0,445.0,1270.0,635.0,1401.0,382.0,1396.0,598.0,1659.0,414.0,1659.0
16,509.0,850.0,509.0,918.0,501.0,753.0,634.0,1395.0,231.0,840.0,629.0,976.0,404.0,986.0,655.0,1170.0,373.0,1170.0,619.0,1290.0,383.0,1274.0,577.0,1274.0,446.0,1274.0,629.0,1400.0,383.0,1395.0,598.0,1662.0,415.0,1656.0
17,512.0,853.0,512.0,919.0,500.0,747.0,633.0,1389.0,213.0,819.0,628.0,980.0,401.0,991.0,655.0,1174.0,373.0,1168.0,617.0,1301.0,384.0,1273.0,584.0,1279.0,445.0,1273.0,628.0,1401.0,384.0,1395.0,595.0,1661.0,412.0,1655.0
18,509.0,848.0,509.0,922.0,501.0,751.0,630.0,1384.0,230.0,837.0,630.0,979.0,404.0,990.0,656.0,1174.0,372.0,1169.0,619.0,1290.0,388.0,1274.0,583.0,1274.0,446.0,1274.0,630.0,1400.0,388.0,1395.0,598.0,1658.0,414.0,1658.0
19,511.0,849.0,506.0,918.0,498.0,752.0,627.0,1387.0,216.0,839.0,627.0,976.0,401.0,986.0,659.0,1176.0,369.0,1171.0,617.0,1297.0,390.0,1271.0,580.0,1276.0,443.0,1271.0,627.0,1397.0,390.0,1392.0,590.0,1661.0,416.0,1650.0
20,510.0,851.0,510.0,921.0,499.0,754.0,628.0,1394.0,208.0,814.0,628.0,980.0,397.0,991.0,655.0,1174.0,370.0,1174.0,617.0,1292.0,391.0,1271.0,574.0,1276.0,445.0,1276.0,628.0,1405.0,391.0,1394.0,590.0,1663.0,413.0,1653.0
21,509.0,851.0,509.0,921.0,498.0,754.0,627.0,1394.0,208.0,813.0,627.0,980.0,396.0,991.0,654.0,1173.0,369.0,1173.0,616.0,1297.0,390.0,1270.0,579.0,1275.0,444.0,1275.0,627.0,1404.0,396.0,1394.0,595.0,1662.0,412.0,1652.0
22,505.0,850.0,511.0,926.0,500.0,757.0,620.0,1390.0,199.0,828.0,631.0,986.0,396.0,997.0,658.0,1177.0,369.0,1172.0,609.0,1297.0,390.0,1270.0,576.0,1276.0,445.0,1270.0,620.0,1396.0,396.0,1385.0,592.0,1658.0,412.0,1652.0
