,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,527.0,852.0,517.0,919.0,509.0,792.0,647.0,1402.0,538.0,1329.0,631.0,976.0,403.0,976.0,657.0,1158.0,366.0,1158.0,616.0,1262.0,392.0,1272.0,579.0,1272.0,434.0,1272.0,642.0,1407.0,387.0,1402.0,605.0,1662.0,418.0,1657.0
1,527.0,853.0,517.0,921.0,509.0,788.0,647.0,1400.0,230.0,884.0,632.0,978.0,402.0,978.0,652.0,1160.0,366.0,1160.0,616.0,1265.0,392.0,1275.0,574.0,1270.0,439.0,1270.0,642.0,1411.0,386.0,1400.0,605.0,1661.0,412.0,1656.0
2,527.0,847.0,516.0,920.0,508.0,781.0,642.0,1398.0,227.0,878.0,632.0,973.0,401.0,973.0,653.0,1162.0,369.0,1162.0,616.0,1267.0,390.0,1272.0,574.0,1272.0,437.0,1272.0,642.0,1409.0,385.0,1404.0,605.0,1661.0,416.0,1656.0
3,526.0,845.0,510.0,919.0,508.0,790.0,647.0,1398.0,226.0,877.0,631.0,971.0,400.0,977.0,652.0,1166.0,368.0,1161.0,615.0,1266.0,389.0,1277.0,573.0,1271.0,442.0,1271.0,642.0,1408.0,384.0,1403.0,605.0,1661.0,416.0,1655.0
4,530.0,845.0,514.0,919.0,506.0,779.0,641.0,1396.0,212.0,866.0,626.0,972.0,398.0,972.0,652.0,1168.0,366.0,1163.0,620.0,1269.0,387.0,1274.0,573.0,1274.0,435.0,1274.0,641.0,1407.0,387.0,1402.0,604.0,1661.0,414.0,1656.0
5,525.0,849.0,509.0,923.0,506.0,777.0,642.0,1396.0,211.0,865.0,626.0,976.0,397.0,976.0,652.0,1168.0,365.0,1162.0,620.0,1269.0,386.0,1274.0,567.0,1274.0,434.0,1274.0,642.0,1407.0,386.0,1401.0,604.0,1662.0,413.0,1651.0
6,526.0,843.0,515.0,918.0,507.0,782.0,642.0,1400.0,224.0,870.0,632.0,976.0,399.0,976.0,653.0,1167.0,367.0,1161.0,621.0,1273.0,388.0,1273.0,574.0,1273.0,441.0,1273.0,642.0,1410.0,388.0,1400.0,605.0,1659.0,415.0,1654.0
7,520.0,849.0,509.0,917.0,503.0,748.0,638.0,1401.0,205.0,815.0,627.0,973.0,402.0,973.0,655.0,1164.0,362.0,1159.0,621.0,1266.0,391.0,1277.0,571.0,1266.0,441.0,1266.0,638.0,1406.0,385.0,1401.0,604.0,1660.0,413.0,1654.0
8,521.0,848.0,509.0,916.0,504.0,747.0,639.0,1401.0,205.0,815.0,628.0,972.0,397.0,978.0,656.0,1164.0,363.0,1158.0,622.0,1265.0,391.0,1277.0,571.0,1265.0,442.0,1265.0,639.0,1406.0,385.0,1406.0,605.0,1660.0,413.0,1654.0
9,520.0,845.0,509.0,920.0,507.0,773.0,642.0,1394.0,211.0,861.0,626.0,973.0,397.0,978.0,653.0,1165.0,365.0,1165.0,621.0,1271.0,387.0,1277.0,573.0,1277.0,440.0,1277.0,642.0,1405.0,387.0,1399.0,605.0,1660.0,413.0,1655.0
10,515.0,845.0,510.0,919.0,496.0,779.0,642.0,1397.0,213.0,866.0,626.0,972.0,398.0,978.0,653.0,1169.0,366.0,1163.0,621.0,1269.0,388.0,1275.0,568.0,1275.0,435.0,1275.0,642.0,1407.0,382.0,1402.0,605.0,1662.0,414.0,1657.0
11,514.0,845.0,509.0,919.0,496.0,778.0,642.0,1397.0,212.0,866.0,626.0,972.0,398.0,977.0,652.0,1169.0,366.0,1163.0,621.0,1269.0,387.0,1275.0,573.0,1275.0,435.0,1275.0,642.0,1407.0,382.0,1402.0,605.0,1662.0,414.0,1657.0
12,514.0,844.0,509.0,919.0,496.0,772.0,643.0,1395.0,210.0,860.0,627.0,973.0,397.0,978.0,653.0,1165.0,365.0,1165.0,621.0,1267.0,386.0,1277.0,573.0,1272.0,439.0,1272.0,637.0,1406.0,386.0,1400.0,605.0,1662.0,413.0,1652.0
13,514.0,845.0,509.0,920.0,496.0,773.0,643.0,1396.0,210.0,862.0,627.0,974.0,397.0,979.0,653.0,1166.0,365.0,1166.0,621.0,1267.0,386.0,1273.0,568.0,1273.0,434.0,1273.0,637.0,1406.0,386.0,1401.0,605.0,1662.0,413.0,1652.0
14,516.0,846.0,510.0,915.0,508.0,779.0,643.0,1399.0,223.0,867.0,628.0,974.0,399.0,974.0,654.0,1165.0,367.0,1165.0,622.0,1272.0,388.0,1277.0,574.0,1272.0,441.0,1272.0,638.0,1410.0,383.0,1399.0,606.0,1660.0,415.0,1655.0
15,514.0,847.0,509.0,916.0,496.0,769.0,643.0,1393.0,209.0,858.0,627.0,970.0,396.0,975.0,654.0,1168.0,364.0,1163.0,621.0,1270.0,386.0,1275.0,573.0,1275.0,439.0,1275.0,638.0,1409.0,386.0,1404.0,605.0,1661.0,413.0,1656.0
