,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,457.0,788.0,553.0,843.0,479.0,699.0,310.0,1293.0,209.0,783.0,568.0,889.0,573.0,879.0,522.0,1131.0,537.0,1111.0,366.0,1212.0,431.0,1177.0,618.0,1248.0,608.0,1233.0,310.0,1303.0,360.0,1283.0,376.0,1576.0,411.0,1506.0
1,456.0,788.0,552.0,848.0,479.0,699.0,310.0,1293.0,209.0,783.0,568.0,889.0,573.0,884.0,517.0,1132.0,532.0,1116.0,360.0,1212.0,421.0,1177.0,623.0,1243.0,593.0,1228.0,310.0,1303.0,355.0,1288.0,375.0,1576.0,411.0,1506.0
2,457.0,788.0,553.0,848.0,479.0,699.0,310.0,1293.0,209.0,783.0,568.0,889.0,578.0,879.0,517.0,1136.0,532.0,1116.0,361.0,1212.0,421.0,1177.0,623.0,1243.0,593.0,1227.0,310.0,1303.0,350.0,1283.0,376.0,1576.0,411.0,1500.0
3,457.0,788.0,553.0,848.0,480.0,700.0,311.0,1293.0,210.0,783.0,568.0,889.0,573.0,884.0,518.0,1136.0,533.0,1111.0,366.0,1207.0,422.0,1177.0,624.0,1247.0,593.0,1227.0,311.0,1303.0,351.0,1283.0,376.0,1576.0,412.0,1505.0
4,457.0,787.0,553.0,847.0,480.0,698.0,310.0,1293.0,209.0,782.0,568.0,888.0,573.0,883.0,518.0,1136.0,533.0,1116.0,366.0,1207.0,427.0,1171.0,624.0,1247.0,594.0,1227.0,310.0,1308.0,351.0,1283.0,376.0,1576.0,411.0,1505.0
5,457.0,787.0,553.0,848.0,480.0,698.0,310.0,1293.0,209.0,782.0,568.0,888.0,573.0,883.0,517.0,1136.0,533.0,1111.0,361.0,1212.0,426.0,1171.0,624.0,1247.0,593.0,1227.0,310.0,1308.0,350.0,1283.0,376.0,1576.0,411.0,1505.0
6,452.0,786.0,554.0,852.0,480.0,698.0,311.0,1293.0,209.0,781.0,564.0,888.0,574.0,883.0,518.0,1136.0,533.0,1116.0,371.0,1207.0,422.0,1177.0,625.0,1247.0,594.0,1227.0,311.0,1308.0,351.0,1283.0,376.0,1577.0,412.0,1506.0
7,457.0,787.0,553.0,848.0,480.0,698.0,310.0,1293.0,209.0,782.0,563.0,888.0,574.0,883.0,518.0,1136.0,533.0,1116.0,366.0,1207.0,427.0,1172.0,624.0,1242.0,594.0,1227.0,310.0,1303.0,351.0,1283.0,376.0,1577.0,412.0,1506.0
8,452.0,787.0,554.0,848.0,480.0,699.0,311.0,1293.0,210.0,782.0,569.0,889.0,574.0,884.0,518.0,1136.0,533.0,1116.0,372.0,1207.0,422.0,1177.0,624.0,1248.0,594.0,1227.0,311.0,1308.0,351.0,1283.0,377.0,1576.0,412.0,1505.0
9,457.0,788.0,553.0,853.0,480.0,699.0,311.0,1293.0,209.0,783.0,568.0,889.0,574.0,884.0,518.0,1137.0,533.0,1116.0,371.0,1207.0,422.0,1172.0,624.0,1243.0,594.0,1228.0,311.0,1308.0,351.0,1283.0,376.0,1576.0,412.0,1506.0
10,456.0,788.0,553.0,849.0,479.0,699.0,310.0,1293.0,209.0,783.0,568.0,889.0,573.0,884.0,517.0,1137.0,532.0,1117.0,376.0,1208.0,426.0,1177.0,623.0,1243.0,593.0,1228.0,310.0,1304.0,350.0,1283.0,376.0,1577.0,411.0,1506.0
11,457.0,787.0,553.0,853.0,480.0,699.0,310.0,1293.0,209.0,782.0,563.0,888.0,573.0,883.0,518.0,1136.0,533.0,1116.0,371.0,1207.0,427.0,1177.0,624.0,1243.0,594.0,1228.0,310.0,1303.0,356.0,1288.0,376.0,1577.0,411.0,1506.0
12,452.0,788.0,553.0,849.0,479.0,700.0,310.0,1294.0,209.0,783.0,568.0,889.0,573.0,884.0,517.0,1137.0,532.0,1112.0,371.0,1208.0,426.0,1177.0,623.0,1243.0,593.0,1228.0,310.0,1304.0,351.0,1284.0,376.0,1576.0,411.0,1506.0
13,452.0,789.0,553.0,849.0,479.0,700.0,310.0,1293.0,209.0,783.0,563.0,889.0,573.0,884.0,517.0,1137.0,532.0,1112.0,371.0,1207.0,426.0,1177.0,623.0,1243.0,593.0,1228.0,310.0,1303.0,351.0,1283.0,376.0,1576.0,411.0,1505.0
14,452.0,788.0,553.0,849.0,479.0,700.0,310.0,1293.0,209.0,783.0,568.0,889.0,573.0,884.0,517.0,1132.0,532.0,1112.0,371.0,1207.0,426.0,1177.0,623.0,1243.0,593.0,1228.0,310.0,1303.0,346.0,1283.0,376.0,1576.0,411.0,1505.0
15,452.0,788.0,553.0,849.0,479.0,700.0,310.0,1293.0,209.0,783.0,563.0,889.0,573.0,884.0,517.0,1132.0,533.0,1112.0,376.0,1207.0,426.0,1177.0,623.0,1243.0,593.0,1228.0,310.0,1303.0,351.0,1283.0,376.0,1576.0,411.0,1505.0
16,452.0,789.0,553.0,849.0,480.0,700.0,311.0,1298.0,210.0,784.0,563.0,889.0,573.0,879.0,518.0,1136.0,533.0,1111.0,367.0,1207.0,422.0,1177.0,624.0,1242.0,594.0,1227.0,306.0,1308.0,352.0,1283.0,377.0,1575.0,412.0,1504.0
17,453.0,784.0,553.0,849.0,480.0,701.0,312.0,1298.0,211.0,784.0,563.0,890.0,573.0,880.0,518.0,1136.0,533.0,1116.0,362.0,1212.0,422.0,1177.0,624.0,1242.0,593.0,1227.0,306.0,1308.0,352.0,1283.0,377.0,1575.0,412.0,1509.0
18,453.0,788.0,554.0,848.0,481.0,700.0,312.0,1298.0,211.0,783.0,564.0,889.0,569.0,879.0,519.0,1136.0,534.0,1116.0,362.0,1212.0,423.0,1177.0,624.0,1242.0,594.0,1227.0,307.0,1308.0,352.0,1282.0,377.0,1575.0,413.0,1505.0
19,452.0,788.0,553.0,849.0,480.0,700.0,311.0,1298.0,210.0,783.0,563.0,889.0,569.0,879.0,518.0,1136.0,533.0,1111.0,367.0,1207.0,422.0,1177.0,624.0,1242.0,594.0,1227.0,306.0,1308.0,352.0,1283.0,377.0,1575.0,412.0,1505.0
20,452.0,783.0,553.0,849.0,480.0,700.0,311.0,1293.0,210.0,783.0,563.0,889.0,573.0,879.0,518.0,1137.0,533.0,1111.0,371.0,1207.0,427.0,1172.0,624.0,1243.0,593.0,1228.0,311.0,1308.0,351.0,1283.0,376.0,1576.0,412.0,1505.0
21,452.0,784.0,553.0,849.0,480.0,701.0,311.0,1293.0,211.0,784.0,563.0,890.0,573.0,880.0,518.0,1137.0,533.0,1111.0,362.0,1212.0,422.0,1177.0,624.0,1242.0,593.0,1227.0,306.0,1308.0,352.0,1283.0,377.0,1575.0,412.0,1504.0
22,452.0,784.0,553.0,849.0,480.0,701.0,311.0,1293.0,210.0,784.0,563.0,885.0,573.0,880.0,518.0,1137.0,533.0,1111.0,366.0,1207.0,427.0,1172.0,623.0,1242.0,593.0,1227.0,306.0,1308.0,351.0,1283.0,377.0,1580.0,412.0,1504.0
23,457.0,784.0,553.0,849.0,480.0,700.0,311.0,1298.0,210.0,784.0,563.0,890.0,568.0,879.0,518.0,1137.0,533.0,1111.0,366.0,1207.0,427.0,1172.0,623.0,1242.0,593.0,1227.0,306.0,1308.0,351.0,1283.0,376.0,1580.0,412.0,1504.0
24,452.0,784.0,553.0,849.0,480.0,700.0,311.0,1298.0,210.0,784.0,563.0,890.0,573.0,879.0,518.0,1137.0,533.0,1111.0,367.0,1207.0,422.0,1177.0,624.0,1242.0,594.0,1227.0,306.0,1308.0,347.0,1283.0,372.0,1575.0,412.0,1505.0
25,453.0,784.0,554.0,849.0,481.0,700.0,312.0,1298.0,211.0,784.0,564.0,889.0,569.0,879.0,519.0,1137.0,534.0,1116.0,362.0,1212.0,423.0,1177.0,624.0,1247.0,594.0,1227.0,307.0,1308.0,347.0,1283.0,372.0,1575.0,413.0,1505.0
26,457.0,784.0,553.0,845.0,480.0,701.0,311.0,1298.0,210.0,784.0,563.0,890.0,568.0,880.0,518.0,1137.0,533.0,1112.0,362.0,1213.0,422.0,1177.0,624.0,1243.0,594.0,1228.0,306.0,1308.0,347.0,1283.0,377.0,1581.0,412.0,1505.0
27,453.0,783.0,554.0,849.0,480.0,700.0,311.0,1298.0,210.0,783.0,564.0,889.0,569.0,879.0,518.0,1137.0,533.0,1112.0,367.0,1207.0,422.0,1177.0,624.0,1243.0,594.0,1228.0,306.0,1308.0,347.0,1283.0,377.0,1576.0,412.0,1505.0
28,458.0,784.0,549.0,845.0,481.0,701.0,312.0,1298.0,211.0,784.0,564.0,890.0,569.0,880.0,519.0,1137.0,534.0,1112.0,362.0,1213.0,423.0,1177.0,625.0,1248.0,594.0,1228.0,307.0,1309.0,342.0,1283.0,378.0,1576.0,413.0,1505.0
