,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,469.0,881.0,511.0,937.0,490.0,800.0,421.0,1319.0,267.0,1327.0,593.0,980.0,460.0,989.0,576.0,1147.0,426.0,1130.0,460.0,1246.0,383.0,1199.0,576.0,1237.0,469.0,1203.0,421.0,1327.0,319.0,1276.0,451.0,1546.0,366.0,1481.0
1,469.0,882.0,516.0,938.0,490.0,801.0,417.0,1318.0,238.0,857.0,588.0,981.0,456.0,989.0,580.0,1147.0,426.0,1130.0,456.0,1250.0,379.0,1199.0,571.0,1233.0,473.0,1203.0,417.0,1327.0,315.0,1276.0,452.0,1545.0,366.0,1481.0
2,469.0,882.0,516.0,938.0,490.0,797.0,417.0,1319.0,238.0,857.0,589.0,981.0,456.0,989.0,580.0,1148.0,426.0,1130.0,456.0,1250.0,375.0,1199.0,571.0,1233.0,473.0,1203.0,417.0,1327.0,315.0,1276.0,452.0,1545.0,366.0,1477.0
3,469.0,882.0,516.0,938.0,490.0,797.0,417.0,1318.0,238.0,857.0,588.0,981.0,456.0,989.0,580.0,1147.0,426.0,1130.0,451.0,1254.0,375.0,1199.0,571.0,1233.0,477.0,1203.0,417.0,1327.0,315.0,1276.0,451.0,1545.0,366.0,1481.0
4,464.0,883.0,515.0,938.0,490.0,797.0,417.0,1318.0,238.0,857.0,588.0,981.0,456.0,989.0,579.0,1147.0,426.0,1130.0,456.0,1249.0,375.0,1198.0,571.0,1232.0,477.0,1202.0,417.0,1326.0,315.0,1275.0,451.0,1548.0,366.0,1480.0
5,464.0,882.0,516.0,938.0,486.0,801.0,417.0,1318.0,238.0,856.0,588.0,980.0,456.0,989.0,580.0,1147.0,426.0,1130.0,451.0,1254.0,379.0,1198.0,571.0,1233.0,477.0,1203.0,417.0,1327.0,315.0,1275.0,451.0,1545.0,366.0,1480.0
6,464.0,882.0,516.0,938.0,486.0,801.0,417.0,1318.0,238.0,856.0,588.0,980.0,456.0,989.0,580.0,1147.0,426.0,1130.0,451.0,1254.0,379.0,1198.0,571.0,1233.0,477.0,1203.0,417.0,1327.0,315.0,1275.0,451.0,1545.0,366.0,1477.0
7,465.0,878.0,512.0,938.0,486.0,801.0,417.0,1319.0,238.0,857.0,589.0,981.0,456.0,989.0,580.0,1148.0,426.0,1131.0,456.0,1251.0,379.0,1199.0,572.0,1233.0,477.0,1203.0,417.0,1328.0,319.0,1276.0,452.0,1546.0,362.0,1482.0
8,460.0,882.0,511.0,938.0,481.0,801.0,417.0,1319.0,237.0,856.0,588.0,980.0,456.0,989.0,580.0,1147.0,426.0,1130.0,456.0,1250.0,379.0,1199.0,571.0,1229.0,477.0,1203.0,417.0,1327.0,319.0,1276.0,451.0,1546.0,366.0,1481.0
9,456.0,883.0,511.0,938.0,477.0,802.0,417.0,1319.0,238.0,857.0,588.0,981.0,456.0,990.0,580.0,1148.0,426.0,1131.0,456.0,1246.0,379.0,1199.0,575.0,1233.0,477.0,1203.0,417.0,1327.0,319.0,1276.0,451.0,1545.0,362.0,1481.0
10,456.0,882.0,507.0,938.0,477.0,801.0,417.0,1315.0,237.0,857.0,584.0,981.0,451.0,990.0,580.0,1148.0,426.0,1135.0,456.0,1247.0,378.0,1199.0,576.0,1238.0,477.0,1204.0,417.0,1324.0,318.0,1272.0,451.0,1542.0,361.0,1478.0
11,452.0,884.0,503.0,939.0,469.0,802.0,418.0,1316.0,238.0,858.0,580.0,982.0,447.0,991.0,580.0,1149.0,426.0,1132.0,460.0,1243.0,379.0,1200.0,572.0,1235.0,477.0,1205.0,418.0,1325.0,319.0,1273.0,452.0,1543.0,362.0,1479.0
12,448.0,884.0,499.0,939.0,465.0,803.0,418.0,1316.0,238.0,858.0,580.0,982.0,448.0,991.0,584.0,1149.0,426.0,1136.0,460.0,1243.0,379.0,1200.0,572.0,1235.0,473.0,1209.0,418.0,1325.0,319.0,1273.0,452.0,1543.0,362.0,1479.0
13,439.0,887.0,495.0,943.0,461.0,806.0,418.0,1316.0,238.0,861.0,572.0,981.0,444.0,994.0,585.0,1149.0,426.0,1136.0,465.0,1239.0,379.0,1200.0,577.0,1239.0,474.0,1209.0,418.0,1324.0,319.0,1273.0,452.0,1543.0,362.0,1479.0
14,431.0,889.0,486.0,945.0,456.0,808.0,418.0,1317.0,687.0,864.0,568.0,984.0,435.0,996.0,585.0,1150.0,426.0,1137.0,465.0,1236.0,379.0,1197.0,576.0,1236.0,473.0,1210.0,418.0,1326.0,320.0,1274.0,452.0,1544.0,362.0,1479.0
15,422.0,892.0,481.0,947.0,443.0,812.0,418.0,1317.0,685.0,867.0,566.0,990.0,430.0,1003.0,587.0,1151.0,422.0,1138.0,464.0,1236.0,380.0,1202.0,575.0,1236.0,473.0,1210.0,418.0,1325.0,324.0,1274.0,452.0,1541.0,363.0,1482.0
16,410.0,896.0,472.0,954.0,441.0,815.0,418.0,1314.0,679.0,884.0,555.0,991.0,422.0,1004.0,588.0,1153.0,422.0,1140.0,464.0,1235.0,381.0,1198.0,571.0,1239.0,472.0,1215.0,418.0,1322.0,323.0,1273.0,451.0,1541.0,365.0,1484.0
17,398.0,900.0,464.0,961.0,425.0,820.0,419.0,1314.0,678.0,887.0,542.0,994.0,415.0,1011.0,591.0,1154.0,419.0,1138.0,464.0,1236.0,382.0,1199.0,571.0,1240.0,468.0,1212.0,415.0,1323.0,324.0,1273.0,452.0,1544.0,365.0,1483.0
18,384.0,907.0,457.0,968.0,410.0,828.0,416.0,1316.0,675.0,895.0,533.0,1000.0,404.0,1013.0,590.0,1150.0,416.0,1138.0,461.0,1235.0,384.0,1199.0,570.0,1243.0,469.0,1219.0,416.0,1324.0,323.0,1276.0,453.0,1543.0,363.0,1482.0
19,371.0,911.0,446.0,968.0,396.0,828.0,417.0,1315.0,681.0,882.0,520.0,1005.0,392.0,1018.0,586.0,1150.0,413.0,1142.0,462.0,1236.0,380.0,1199.0,573.0,1245.0,462.0,1216.0,413.0,1323.0,322.0,1278.0,450.0,1541.0,363.0,1484.0
20,354.0,914.0,433.0,973.0,383.0,831.0,416.0,1318.0,683.0,881.0,508.0,1006.0,383.0,1018.0,578.0,1148.0,408.0,1143.0,453.0,1239.0,379.0,1198.0,574.0,1243.0,449.0,1214.0,412.0,1327.0,320.0,1281.0,449.0,1543.0,366.0,1485.0
21,340.0,916.0,417.0,977.0,366.0,833.0,413.0,1323.0,673.0,900.0,494.0,1006.0,372.0,1018.0,576.0,1144.0,397.0,1140.0,454.0,1237.0,372.0,1197.0,567.0,1241.0,458.0,1221.0,409.0,1331.0,320.0,1278.0,450.0,1542.0,364.0,1485.0
22,323.0,915.0,403.0,979.0,349.0,841.0,411.0,1326.0,666.0,907.0,483.0,1003.0,355.0,1015.0,563.0,1135.0,391.0,1142.0,447.0,1238.0,367.0,1198.0,563.0,1234.0,459.0,1222.0,407.0,1334.0,315.0,1282.0,447.0,1545.0,363.0,1486.0
23,309.0,914.0,395.0,971.0,340.0,835.0,407.0,1328.0,671.0,902.0,468.0,995.0,346.0,1012.0,557.0,1129.0,387.0,1137.0,443.0,1239.0,362.0,1194.0,557.0,1227.0,456.0,1215.0,407.0,1336.0,318.0,1288.0,448.0,1548.0,362.0,1491.0
24,299.0,904.0,381.0,965.0,322.0,829.0,401.0,1332.0,670.0,896.0,454.0,986.0,336.0,1006.0,544.0,1124.0,377.0,1132.0,438.0,1243.0,356.0,1198.0,552.0,1214.0,454.0,1206.0,401.0,1344.0,312.0,1291.0,446.0,1548.0,361.0,1487.0
25,292.0,889.0,370.0,952.0,314.0,813.0,400.0,1338.0,669.0,881.0,445.0,977.0,329.0,997.0,532.0,1118.0,370.0,1126.0,429.0,1242.0,350.0,1201.0,545.0,1201.0,449.0,1197.0,400.0,1346.0,312.0,1292.0,445.0,1550.0,358.0,1492.0
