,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,467.0,870.0,514.0,930.0,492.0,793.0,432.0,1316.0,274.0,1324.0,586.0,968.0,458.0,986.0,586.0,1140.0,428.0,1127.0,475.0,1230.0,385.0,1204.0,578.0,1230.0,475.0,1204.0,432.0,1324.0,329.0,1277.0,454.0,1543.0,368.0,1483.0
1,467.0,869.0,518.0,929.0,492.0,792.0,432.0,1316.0,239.0,856.0,587.0,972.0,458.0,985.0,587.0,1140.0,428.0,1131.0,475.0,1234.0,381.0,1204.0,578.0,1230.0,480.0,1204.0,432.0,1324.0,325.0,1273.0,454.0,1539.0,368.0,1483.0
2,466.0,868.0,518.0,929.0,492.0,791.0,432.0,1315.0,239.0,856.0,587.0,971.0,458.0,984.0,587.0,1139.0,428.0,1130.0,479.0,1233.0,381.0,1203.0,578.0,1229.0,479.0,1203.0,432.0,1324.0,325.0,1276.0,454.0,1543.0,368.0,1482.0
3,467.0,869.0,518.0,929.0,492.0,791.0,432.0,1315.0,239.0,856.0,587.0,972.0,458.0,984.0,587.0,1139.0,428.0,1130.0,480.0,1233.0,381.0,1203.0,578.0,1229.0,480.0,1203.0,432.0,1323.0,325.0,1276.0,454.0,1538.0,368.0,1482.0
4,467.0,868.0,518.0,932.0,493.0,794.0,432.0,1315.0,239.0,855.0,587.0,971.0,458.0,984.0,587.0,1139.0,428.0,1130.0,475.0,1238.0,381.0,1203.0,579.0,1234.0,480.0,1203.0,432.0,1324.0,325.0,1277.0,454.0,1539.0,368.0,1483.0
5,467.0,868.0,518.0,932.0,492.0,795.0,432.0,1315.0,239.0,855.0,587.0,971.0,458.0,984.0,587.0,1139.0,428.0,1130.0,480.0,1234.0,381.0,1203.0,579.0,1229.0,480.0,1203.0,432.0,1324.0,325.0,1277.0,454.0,1539.0,368.0,1483.0
6,467.0,868.0,518.0,932.0,493.0,794.0,432.0,1316.0,238.0,855.0,587.0,971.0,458.0,984.0,587.0,1139.0,428.0,1130.0,480.0,1234.0,381.0,1204.0,579.0,1234.0,480.0,1204.0,432.0,1324.0,325.0,1277.0,454.0,1540.0,368.0,1484.0
7,466.0,867.0,518.0,932.0,492.0,794.0,432.0,1315.0,238.0,855.0,587.0,971.0,458.0,984.0,587.0,1139.0,428.0,1126.0,479.0,1234.0,380.0,1203.0,578.0,1229.0,479.0,1203.0,432.0,1324.0,324.0,1277.0,454.0,1539.0,367.0,1483.0
8,466.0,867.0,518.0,932.0,492.0,794.0,432.0,1315.0,238.0,855.0,587.0,971.0,458.0,984.0,587.0,1139.0,428.0,1126.0,479.0,1234.0,380.0,1203.0,578.0,1234.0,479.0,1203.0,432.0,1324.0,324.0,1277.0,453.0,1539.0,367.0,1483.0
9,467.0,867.0,518.0,932.0,492.0,794.0,432.0,1316.0,238.0,855.0,587.0,971.0,458.0,984.0,587.0,1139.0,428.0,1126.0,475.0,1234.0,380.0,1204.0,579.0,1230.0,479.0,1204.0,432.0,1325.0,324.0,1277.0,454.0,1540.0,367.0,1480.0
10,467.0,868.0,518.0,933.0,492.0,791.0,432.0,1315.0,239.0,855.0,587.0,971.0,458.0,984.0,587.0,1139.0,428.0,1126.0,475.0,1234.0,381.0,1203.0,578.0,1234.0,479.0,1203.0,432.0,1324.0,325.0,1277.0,454.0,1539.0,368.0,1483.0
11,467.0,869.0,518.0,929.0,492.0,792.0,432.0,1315.0,240.0,856.0,587.0,972.0,458.0,985.0,587.0,1139.0,428.0,1126.0,475.0,1234.0,381.0,1204.0,578.0,1234.0,480.0,1204.0,432.0,1324.0,325.0,1276.0,454.0,1538.0,368.0,1482.0
12,467.0,869.0,518.0,934.0,493.0,792.0,433.0,1315.0,240.0,856.0,587.0,972.0,454.0,985.0,587.0,1139.0,428.0,1126.0,475.0,1234.0,381.0,1204.0,578.0,1229.0,480.0,1204.0,428.0,1324.0,325.0,1277.0,454.0,1538.0,368.0,1482.0
13,467.0,869.0,514.0,933.0,493.0,792.0,433.0,1315.0,240.0,856.0,587.0,972.0,454.0,985.0,587.0,1139.0,428.0,1126.0,476.0,1234.0,381.0,1204.0,579.0,1229.0,480.0,1204.0,428.0,1324.0,325.0,1272.0,454.0,1539.0,368.0,1483.0
14,467.0,871.0,515.0,931.0,493.0,793.0,433.0,1316.0,238.0,853.0,589.0,975.0,455.0,983.0,589.0,1139.0,429.0,1126.0,476.0,1234.0,381.0,1204.0,580.0,1234.0,480.0,1204.0,429.0,1325.0,325.0,1273.0,455.0,1541.0,368.0,1480.0
15,464.0,869.0,516.0,929.0,490.0,791.0,434.0,1317.0,240.0,856.0,585.0,972.0,456.0,985.0,589.0,1136.0,430.0,1128.0,473.0,1240.0,382.0,1201.0,581.0,1235.0,481.0,1205.0,430.0,1321.0,331.0,1274.0,451.0,1541.0,369.0,1481.0
16,463.0,867.0,510.0,932.0,484.0,794.0,433.0,1316.0,239.0,855.0,583.0,971.0,454.0,984.0,588.0,1139.0,428.0,1126.0,476.0,1234.0,385.0,1199.0,579.0,1234.0,480.0,1204.0,433.0,1324.0,329.0,1272.0,454.0,1540.0,368.0,1484.0
17,458.0,869.0,510.0,929.0,480.0,792.0,433.0,1315.0,240.0,856.0,583.0,972.0,450.0,985.0,587.0,1139.0,428.0,1126.0,480.0,1234.0,385.0,1199.0,578.0,1229.0,480.0,1199.0,428.0,1324.0,330.0,1272.0,454.0,1538.0,368.0,1482.0
18,454.0,872.0,506.0,933.0,476.0,795.0,433.0,1312.0,239.0,855.0,579.0,972.0,450.0,985.0,592.0,1140.0,428.0,1127.0,476.0,1235.0,385.0,1200.0,579.0,1230.0,480.0,1200.0,428.0,1321.0,329.0,1269.0,450.0,1541.0,368.0,1481.0
19,446.0,873.0,502.0,933.0,470.0,790.0,434.0,1313.0,242.0,860.0,579.0,971.0,446.0,988.0,592.0,1138.0,425.0,1129.0,476.0,1236.0,387.0,1198.0,579.0,1232.0,476.0,1202.0,429.0,1321.0,331.0,1270.0,451.0,1539.0,370.0,1484.0
20,441.0,878.0,497.0,938.0,462.0,796.0,432.0,1313.0,238.0,856.0,574.0,977.0,441.0,990.0,591.0,1140.0,428.0,1132.0,475.0,1235.0,385.0,1201.0,578.0,1235.0,475.0,1205.0,428.0,1321.0,329.0,1270.0,449.0,1541.0,367.0,1481.0
21,432.0,878.0,488.0,938.0,457.0,797.0,432.0,1308.0,238.0,861.0,569.0,977.0,436.0,990.0,595.0,1140.0,423.0,1132.0,470.0,1235.0,384.0,1200.0,582.0,1235.0,475.0,1205.0,427.0,1321.0,329.0,1269.0,449.0,1540.0,367.0,1484.0
22,419.0,883.0,479.0,943.0,445.0,802.0,432.0,1308.0,689.0,862.0,565.0,982.0,427.0,995.0,595.0,1145.0,423.0,1132.0,470.0,1235.0,384.0,1205.0,582.0,1239.0,475.0,1209.0,427.0,1321.0,333.0,1269.0,449.0,1540.0,367.0,1484.0
23,411.0,887.0,470.0,947.0,436.0,810.0,432.0,1309.0,688.0,865.0,556.0,985.0,423.0,1002.0,594.0,1143.0,419.0,1134.0,470.0,1233.0,385.0,1203.0,581.0,1237.0,470.0,1211.0,428.0,1318.0,330.0,1271.0,449.0,1540.0,368.0,1484.0
24,399.0,895.0,462.0,954.0,424.0,814.0,432.0,1310.0,687.0,869.0,543.0,992.0,411.0,1005.0,593.0,1145.0,420.0,1136.0,471.0,1234.0,386.0,1200.0,581.0,1242.0,471.0,1213.0,428.0,1318.0,331.0,1272.0,449.0,1543.0,369.0,1484.0
25,382.0,900.0,453.0,958.0,409.0,815.0,428.0,1314.0,681.0,883.0,532.0,995.0,399.0,1008.0,594.0,1145.0,415.0,1136.0,469.0,1236.0,386.0,1198.0,577.0,1244.0,465.0,1215.0,428.0,1323.0,333.0,1273.0,449.0,1542.0,366.0,1484.0
26,368.0,907.0,440.0,962.0,394.0,822.0,428.0,1315.0,687.0,868.0,521.0,1000.0,389.0,1013.0,589.0,1145.0,411.0,1136.0,470.0,1234.0,385.0,1196.0,576.0,1243.0,466.0,1217.0,428.0,1323.0,330.0,1272.0,449.0,1540.0,368.0,1485.0
27,354.0,907.0,429.0,965.0,379.0,824.0,425.0,1320.0,683.0,878.0,508.0,999.0,375.0,1011.0,583.0,1141.0,408.0,1137.0,467.0,1232.0,383.0,1195.0,575.0,1241.0,462.0,1212.0,425.0,1324.0,329.0,1274.0,446.0,1541.0,366.0,1487.0
28,338.0,905.0,414.0,964.0,364.0,821.0,419.0,1322.0,288.0,846.0,494.0,993.0,364.0,1006.0,579.0,1132.0,402.0,1141.0,465.0,1238.0,376.0,1196.0,574.0,1234.0,461.0,1208.0,419.0,1330.0,326.0,1276.0,444.0,1541.0,364.0,1491.0
29,329.0,902.0,401.0,961.0,354.0,818.0,417.0,1323.0,683.0,872.0,481.0,990.0,354.0,1003.0,569.0,1129.0,392.0,1138.0,455.0,1239.0,371.0,1197.0,565.0,1222.0,459.0,1205.0,413.0,1331.0,321.0,1281.0,443.0,1542.0,363.0,1491.0
30,316.0,888.0,396.0,951.0,347.0,802.0,413.0,1325.0,681.0,871.0,471.0,981.0,345.0,997.0,555.0,1123.0,383.0,1136.0,446.0,1241.0,366.0,1195.0,564.0,1212.0,459.0,1199.0,413.0,1338.0,320.0,1283.0,442.0,1543.0,362.0,1493.0
