,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,462.0,915.0,513.0,974.0,488.0,846.0,431.0,1320.0,266.0,1320.0,596.0,1017.0,454.0,1017.0,600.0,1174.0,431.0,1139.0,474.0,1222.0,384.0,1198.0,568.0,1237.0,470.0,1214.0,427.0,1328.0,317.0,1277.0,458.0,1552.0,372.0,1493.0
1,458.0,915.0,513.0,974.0,496.0,846.0,427.0,1319.0,254.0,911.0,596.0,1017.0,454.0,1013.0,600.0,1174.0,431.0,1139.0,478.0,1221.0,380.0,1198.0,572.0,1237.0,470.0,1217.0,423.0,1331.0,317.0,1272.0,458.0,1551.0,368.0,1488.0
2,458.0,914.0,517.0,973.0,495.0,845.0,427.0,1322.0,254.0,910.0,596.0,1016.0,454.0,1016.0,600.0,1173.0,431.0,1142.0,478.0,1220.0,380.0,1197.0,572.0,1240.0,470.0,1216.0,423.0,1330.0,317.0,1275.0,458.0,1550.0,368.0,1491.0
3,458.0,914.0,517.0,973.0,488.0,845.0,427.0,1322.0,254.0,910.0,596.0,1016.0,454.0,1016.0,600.0,1173.0,431.0,1142.0,478.0,1220.0,380.0,1197.0,568.0,1240.0,470.0,1216.0,423.0,1330.0,317.0,1275.0,458.0,1550.0,372.0,1491.0
4,462.0,913.0,517.0,972.0,488.0,845.0,427.0,1321.0,255.0,909.0,595.0,1015.0,454.0,1015.0,599.0,1172.0,431.0,1140.0,478.0,1219.0,380.0,1195.0,572.0,1238.0,470.0,1219.0,427.0,1328.0,317.0,1274.0,458.0,1552.0,372.0,1489.0
5,458.0,913.0,517.0,972.0,488.0,845.0,427.0,1321.0,254.0,910.0,596.0,1015.0,454.0,1015.0,600.0,1172.0,431.0,1141.0,478.0,1219.0,380.0,1196.0,568.0,1239.0,470.0,1219.0,427.0,1329.0,317.0,1274.0,458.0,1553.0,372.0,1490.0
6,458.0,914.0,517.0,973.0,488.0,846.0,427.0,1322.0,254.0,910.0,595.0,1016.0,454.0,1012.0,599.0,1173.0,431.0,1142.0,478.0,1220.0,380.0,1196.0,572.0,1239.0,470.0,1216.0,427.0,1330.0,317.0,1275.0,458.0,1553.0,372.0,1490.0
7,458.0,914.0,517.0,973.0,488.0,846.0,427.0,1321.0,255.0,910.0,595.0,1016.0,454.0,1012.0,599.0,1173.0,431.0,1141.0,478.0,1220.0,380.0,1196.0,572.0,1239.0,474.0,1220.0,427.0,1329.0,317.0,1274.0,458.0,1552.0,372.0,1490.0
8,458.0,914.0,517.0,972.0,487.0,845.0,427.0,1321.0,255.0,910.0,595.0,1015.0,454.0,1015.0,599.0,1172.0,431.0,1141.0,478.0,1219.0,380.0,1195.0,572.0,1238.0,470.0,1215.0,423.0,1328.0,317.0,1274.0,458.0,1551.0,372.0,1489.0
9,458.0,914.0,513.0,973.0,487.0,845.0,427.0,1321.0,255.0,910.0,595.0,1016.0,454.0,1016.0,599.0,1172.0,431.0,1141.0,478.0,1219.0,380.0,1196.0,572.0,1239.0,474.0,1219.0,427.0,1328.0,317.0,1274.0,458.0,1551.0,372.0,1489.0
10,458.0,914.0,517.0,973.0,487.0,846.0,427.0,1321.0,255.0,910.0,595.0,1016.0,454.0,1012.0,599.0,1173.0,431.0,1141.0,478.0,1220.0,380.0,1196.0,571.0,1239.0,470.0,1216.0,423.0,1329.0,317.0,1274.0,458.0,1552.0,372.0,1490.0
11,458.0,915.0,513.0,973.0,487.0,846.0,427.0,1321.0,255.0,911.0,595.0,1016.0,454.0,1012.0,599.0,1172.0,431.0,1141.0,478.0,1219.0,380.0,1196.0,571.0,1239.0,474.0,1219.0,427.0,1329.0,317.0,1274.0,458.0,1551.0,372.0,1489.0
12,458.0,915.0,513.0,974.0,488.0,846.0,427.0,1321.0,255.0,911.0,595.0,1017.0,454.0,1013.0,599.0,1173.0,431.0,1142.0,478.0,1220.0,380.0,1196.0,572.0,1239.0,474.0,1220.0,423.0,1329.0,317.0,1274.0,458.0,1552.0,368.0,1489.0
13,458.0,915.0,513.0,973.0,488.0,846.0,427.0,1321.0,255.0,911.0,595.0,1016.0,454.0,1012.0,599.0,1173.0,431.0,1141.0,478.0,1220.0,380.0,1196.0,572.0,1239.0,474.0,1220.0,427.0,1329.0,317.0,1274.0,458.0,1552.0,368.0,1489.0
14,458.0,915.0,513.0,973.0,488.0,846.0,427.0,1322.0,255.0,911.0,595.0,1016.0,454.0,1012.0,599.0,1173.0,431.0,1142.0,478.0,1220.0,380.0,1196.0,572.0,1239.0,474.0,1220.0,427.0,1329.0,317.0,1275.0,458.0,1552.0,372.0,1490.0
15,458.0,914.0,513.0,973.0,487.0,845.0,427.0,1321.0,254.0,910.0,595.0,1016.0,454.0,1016.0,599.0,1172.0,431.0,1141.0,478.0,1219.0,380.0,1196.0,572.0,1239.0,474.0,1219.0,423.0,1329.0,317.0,1274.0,458.0,1548.0,372.0,1490.0
16,458.0,913.0,513.0,972.0,488.0,845.0,427.0,1321.0,255.0,909.0,595.0,1019.0,454.0,1015.0,599.0,1172.0,431.0,1141.0,478.0,1219.0,380.0,1195.0,572.0,1238.0,470.0,1219.0,427.0,1329.0,317.0,1274.0,458.0,1548.0,372.0,1489.0
17,458.0,914.0,513.0,973.0,488.0,845.0,427.0,1321.0,255.0,910.0,595.0,1016.0,454.0,1016.0,599.0,1172.0,431.0,1141.0,478.0,1219.0,380.0,1196.0,572.0,1239.0,474.0,1219.0,423.0,1329.0,317.0,1274.0,458.0,1548.0,372.0,1489.0
18,458.0,914.0,513.0,973.0,487.0,846.0,427.0,1321.0,255.0,910.0,595.0,1016.0,454.0,1016.0,599.0,1172.0,431.0,1141.0,478.0,1219.0,380.0,1195.0,571.0,1238.0,474.0,1219.0,423.0,1328.0,317.0,1274.0,458.0,1551.0,368.0,1489.0
19,458.0,914.0,513.0,973.0,487.0,845.0,427.0,1321.0,254.0,910.0,595.0,1016.0,454.0,1016.0,599.0,1173.0,431.0,1141.0,478.0,1220.0,380.0,1196.0,572.0,1239.0,474.0,1220.0,423.0,1329.0,317.0,1274.0,458.0,1549.0,372.0,1490.0
20,458.0,914.0,513.0,973.0,488.0,846.0,427.0,1318.0,254.0,910.0,595.0,1016.0,454.0,1016.0,599.0,1169.0,431.0,1142.0,478.0,1220.0,380.0,1196.0,572.0,1240.0,474.0,1220.0,427.0,1330.0,317.0,1275.0,458.0,1549.0,372.0,1490.0
21,458.0,915.0,513.0,974.0,487.0,846.0,427.0,1318.0,254.0,911.0,595.0,1017.0,454.0,1013.0,599.0,1170.0,431.0,1142.0,478.0,1220.0,380.0,1197.0,572.0,1240.0,474.0,1220.0,427.0,1326.0,317.0,1275.0,458.0,1549.0,372.0,1491.0
22,458.0,915.0,513.0,974.0,487.0,847.0,427.0,1319.0,254.0,912.0,595.0,1017.0,454.0,1013.0,599.0,1170.0,431.0,1143.0,478.0,1221.0,380.0,1197.0,572.0,1241.0,470.0,1217.0,427.0,1327.0,317.0,1276.0,458.0,1550.0,368.0,1487.0
