,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,471.0,913.0,523.0,977.0,497.0,843.0,426.0,1307.0,274.0,1315.0,599.0,1017.0,463.0,1017.0,599.0,1170.0,447.0,1154.0,467.0,1214.0,406.0,1190.0,579.0,1242.0,479.0,1226.0,426.0,1315.0,326.0,1270.0,459.0,1548.0,374.0,1483.0
1,467.0,912.0,523.0,976.0,497.0,846.0,427.0,1311.0,259.0,912.0,599.0,1020.0,463.0,1020.0,607.0,1171.0,447.0,1147.0,475.0,1211.0,407.0,1183.0,579.0,1243.0,479.0,1227.0,427.0,1319.0,323.0,1271.0,459.0,1551.0,371.0,1479.0
2,468.0,913.0,524.0,973.0,498.0,843.0,428.0,1311.0,259.0,909.0,597.0,1014.0,464.0,1018.0,617.0,1167.0,448.0,1146.0,480.0,1211.0,404.0,1183.0,577.0,1247.0,476.0,1227.0,428.0,1319.0,323.0,1271.0,460.0,1549.0,372.0,1480.0
3,466.0,912.0,521.0,975.0,499.0,847.0,431.0,1309.0,257.0,912.0,600.0,1018.0,466.0,1018.0,619.0,1168.0,450.0,1144.0,486.0,1211.0,407.0,1183.0,576.0,1242.0,474.0,1223.0,427.0,1317.0,324.0,1270.0,458.0,1549.0,372.0,1478.0
4,467.0,913.0,522.0,972.0,492.0,844.0,431.0,1311.0,258.0,909.0,601.0,1015.0,463.0,1019.0,624.0,1169.0,447.0,1145.0,490.0,1216.0,408.0,1185.0,577.0,1240.0,479.0,1220.0,427.0,1318.0,321.0,1267.0,459.0,1551.0,372.0,1480.0
5,463.0,915.0,522.0,974.0,492.0,847.0,432.0,1314.0,259.0,911.0,600.0,1017.0,463.0,1021.0,623.0,1165.0,451.0,1142.0,494.0,1216.0,408.0,1185.0,576.0,1240.0,479.0,1220.0,428.0,1318.0,322.0,1267.0,459.0,1553.0,373.0,1482.0
6,465.0,915.0,519.0,973.0,483.0,860.0,431.0,1310.0,665.0,923.0,596.0,1015.0,465.0,1019.0,626.0,1165.0,450.0,1142.0,496.0,1218.0,408.0,1188.0,577.0,1237.0,477.0,1218.0,431.0,1318.0,324.0,1268.0,458.0,1552.0,373.0,1479.0
7,465.0,916.0,519.0,973.0,483.0,860.0,431.0,1308.0,262.0,923.0,596.0,1016.0,465.0,1019.0,627.0,1169.0,450.0,1142.0,492.0,1215.0,404.0,1189.0,577.0,1239.0,477.0,1219.0,431.0,1319.0,323.0,1269.0,458.0,1554.0,373.0,1481.0
8,465.0,914.0,519.0,972.0,490.0,850.0,431.0,1307.0,261.0,922.0,596.0,1014.0,465.0,1018.0,623.0,1168.0,450.0,1141.0,492.0,1218.0,404.0,1187.0,577.0,1238.0,477.0,1218.0,431.0,1318.0,323.0,1268.0,458.0,1553.0,373.0,1480.0
9,465.0,917.0,520.0,971.0,491.0,849.0,431.0,1307.0,261.0,921.0,597.0,1017.0,465.0,1017.0,620.0,1172.0,446.0,1145.0,493.0,1218.0,404.0,1187.0,578.0,1237.0,477.0,1218.0,431.0,1319.0,326.0,1268.0,458.0,1554.0,373.0,1477.0
10,466.0,915.0,520.0,973.0,491.0,855.0,431.0,1307.0,260.0,919.0,598.0,1016.0,466.0,1016.0,621.0,1171.0,446.0,1148.0,493.0,1218.0,404.0,1186.0,578.0,1237.0,477.0,1218.0,431.0,1318.0,326.0,1268.0,458.0,1555.0,372.0,1478.0
11,465.0,914.0,520.0,973.0,491.0,854.0,430.0,1311.0,260.0,918.0,597.0,1015.0,465.0,1015.0,621.0,1171.0,446.0,1147.0,493.0,1217.0,403.0,1190.0,578.0,1237.0,477.0,1217.0,430.0,1318.0,326.0,1268.0,458.0,1555.0,372.0,1478.0
12,467.0,914.0,522.0,974.0,492.0,841.0,431.0,1314.0,257.0,906.0,597.0,1017.0,467.0,1017.0,617.0,1171.0,447.0,1148.0,490.0,1215.0,403.0,1187.0,577.0,1239.0,479.0,1219.0,431.0,1322.0,324.0,1270.0,459.0,1555.0,372.0,1480.0
13,467.0,914.0,522.0,974.0,492.0,841.0,431.0,1313.0,257.0,907.0,597.0,1017.0,467.0,1017.0,617.0,1171.0,447.0,1147.0,490.0,1215.0,403.0,1187.0,577.0,1238.0,478.0,1219.0,427.0,1321.0,324.0,1270.0,459.0,1554.0,372.0,1479.0
14,467.0,914.0,522.0,973.0,492.0,841.0,431.0,1313.0,257.0,906.0,597.0,1017.0,467.0,1017.0,617.0,1171.0,447.0,1147.0,490.0,1218.0,403.0,1186.0,577.0,1238.0,478.0,1218.0,427.0,1321.0,324.0,1269.0,459.0,1554.0,372.0,1479.0
15,467.0,914.0,522.0,973.0,492.0,841.0,431.0,1313.0,257.0,906.0,597.0,1017.0,467.0,1017.0,617.0,1175.0,447.0,1147.0,490.0,1214.0,403.0,1186.0,577.0,1238.0,478.0,1218.0,427.0,1321.0,324.0,1269.0,459.0,1554.0,372.0,1479.0
16,466.0,913.0,522.0,973.0,492.0,840.0,431.0,1312.0,257.0,905.0,597.0,1016.0,466.0,1016.0,617.0,1170.0,447.0,1146.0,490.0,1217.0,403.0,1186.0,577.0,1237.0,478.0,1217.0,427.0,1320.0,324.0,1269.0,459.0,1553.0,372.0,1478.0
17,466.0,914.0,522.0,973.0,492.0,841.0,431.0,1312.0,257.0,906.0,597.0,1016.0,466.0,1016.0,616.0,1170.0,447.0,1143.0,490.0,1214.0,403.0,1186.0,577.0,1237.0,478.0,1218.0,427.0,1320.0,324.0,1269.0,459.0,1553.0,372.0,1478.0
18,463.0,914.0,522.0,973.0,492.0,841.0,431.0,1313.0,257.0,906.0,597.0,1017.0,463.0,1017.0,617.0,1171.0,447.0,1143.0,490.0,1214.0,403.0,1186.0,577.0,1238.0,478.0,1218.0,427.0,1321.0,325.0,1269.0,459.0,1554.0,372.0,1479.0
19,465.0,915.0,520.0,973.0,491.0,854.0,431.0,1310.0,667.0,918.0,597.0,1019.0,465.0,1015.0,621.0,1171.0,446.0,1147.0,493.0,1217.0,403.0,1190.0,574.0,1236.0,477.0,1217.0,431.0,1318.0,326.0,1267.0,458.0,1554.0,372.0,1481.0
20,463.0,913.0,518.0,973.0,492.0,840.0,431.0,1313.0,257.0,905.0,597.0,1016.0,463.0,1016.0,617.0,1171.0,447.0,1143.0,490.0,1214.0,403.0,1186.0,578.0,1238.0,479.0,1214.0,427.0,1321.0,324.0,1270.0,459.0,1551.0,372.0,1479.0
21,462.0,914.0,518.0,973.0,492.0,840.0,431.0,1313.0,257.0,906.0,597.0,1016.0,462.0,1016.0,617.0,1171.0,447.0,1143.0,490.0,1214.0,403.0,1187.0,577.0,1238.0,478.0,1214.0,427.0,1321.0,324.0,1270.0,458.0,1551.0,371.0,1479.0
22,461.0,916.0,519.0,974.0,483.0,856.0,430.0,1311.0,260.0,920.0,597.0,1016.0,461.0,1016.0,620.0,1171.0,446.0,1144.0,492.0,1218.0,403.0,1187.0,574.0,1233.0,477.0,1218.0,426.0,1318.0,326.0,1268.0,457.0,1551.0,372.0,1481.0
23,462.0,914.0,518.0,973.0,492.0,841.0,431.0,1313.0,257.0,906.0,597.0,1017.0,462.0,1017.0,621.0,1171.0,447.0,1143.0,490.0,1214.0,403.0,1187.0,577.0,1238.0,478.0,1218.0,427.0,1317.0,324.0,1270.0,458.0,1550.0,371.0,1479.0
24,460.0,911.0,516.0,975.0,486.0,834.0,428.0,1311.0,257.0,900.0,592.0,1015.0,460.0,1019.0,620.0,1171.0,448.0,1143.0,492.0,1215.0,404.0,1187.0,576.0,1243.0,476.0,1219.0,428.0,1319.0,325.0,1271.0,460.0,1546.0,372.0,1482.0
25,457.0,915.0,513.0,975.0,485.0,839.0,429.0,1311.0,257.0,899.0,589.0,1019.0,461.0,1019.0,621.0,1171.0,449.0,1143.0,493.0,1215.0,405.0,1187.0,577.0,1239.0,477.0,1219.0,429.0,1319.0,325.0,1271.0,461.0,1543.0,373.0,1479.0
26,452.0,914.0,513.0,974.0,480.0,842.0,428.0,1311.0,256.0,898.0,589.0,1018.0,456.0,1018.0,617.0,1170.0,444.0,1142.0,492.0,1215.0,404.0,1190.0,577.0,1243.0,476.0,1219.0,428.0,1319.0,324.0,1271.0,460.0,1543.0,372.0,1479.0
27,451.0,917.0,511.0,977.0,475.0,841.0,427.0,1312.0,255.0,901.0,587.0,1021.0,455.0,1021.0,618.0,1173.0,443.0,1145.0,491.0,1217.0,407.0,1189.0,575.0,1241.0,475.0,1217.0,427.0,1316.0,327.0,1273.0,455.0,1544.0,371.0,1480.0
28,446.0,918.0,506.0,978.0,470.0,842.0,426.0,1310.0,254.0,902.0,586.0,1022.0,450.0,1018.0,618.0,1174.0,446.0,1146.0,494.0,1214.0,402.0,1190.0,574.0,1242.0,478.0,1218.0,426.0,1318.0,326.0,1270.0,454.0,1546.0,370.0,1482.0
29,440.0,921.0,505.0,977.0,464.0,844.0,428.0,1312.0,255.0,897.0,581.0,1021.0,448.0,1021.0,618.0,1171.0,440.0,1146.0,493.0,1215.0,404.0,1191.0,573.0,1243.0,477.0,1219.0,424.0,1320.0,327.0,1271.0,456.0,1541.0,368.0,1481.0
