,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,445.0,885.0,455.0,953.0,437.0,805.0,543.0,1363.0,180.0,890.0,580.0,1010.0,336.0,1004.0,590.0,1181.0,320.0,1165.0,538.0,1264.0,362.0,1280.0,533.0,1264.0,383.0,1269.0,538.0,1373.0,351.0,1394.0,559.0,1674.0,341.0,1674.0
1,445.0,886.0,455.0,953.0,437.0,805.0,544.0,1363.0,180.0,891.0,575.0,1005.0,336.0,1000.0,590.0,1182.0,320.0,1166.0,538.0,1265.0,362.0,1275.0,528.0,1265.0,383.0,1265.0,544.0,1374.0,346.0,1400.0,559.0,1675.0,341.0,1675.0
2,445.0,886.0,455.0,953.0,437.0,805.0,543.0,1363.0,180.0,891.0,575.0,1005.0,336.0,1000.0,590.0,1182.0,320.0,1166.0,538.0,1265.0,362.0,1275.0,528.0,1265.0,383.0,1265.0,543.0,1374.0,346.0,1400.0,559.0,1675.0,341.0,1675.0
3,445.0,886.0,455.0,953.0,437.0,805.0,543.0,1364.0,180.0,891.0,575.0,1005.0,336.0,1000.0,590.0,1182.0,320.0,1166.0,538.0,1265.0,362.0,1275.0,528.0,1265.0,382.0,1265.0,543.0,1374.0,346.0,1395.0,559.0,1676.0,341.0,1670.0
4,445.0,883.0,455.0,950.0,437.0,807.0,543.0,1365.0,180.0,893.0,579.0,1007.0,341.0,1002.0,590.0,1183.0,320.0,1162.0,538.0,1261.0,362.0,1276.0,527.0,1261.0,388.0,1261.0,543.0,1375.0,346.0,1396.0,559.0,1675.0,341.0,1670.0
5,445.0,884.0,455.0,951.0,437.0,809.0,543.0,1360.0,181.0,894.0,579.0,1008.0,336.0,1003.0,589.0,1184.0,321.0,1163.0,538.0,1262.0,362.0,1277.0,527.0,1262.0,388.0,1262.0,543.0,1370.0,346.0,1396.0,558.0,1675.0,341.0,1670.0
6,445.0,883.0,455.0,950.0,437.0,807.0,543.0,1360.0,180.0,893.0,574.0,1007.0,336.0,1002.0,590.0,1183.0,320.0,1163.0,538.0,1261.0,362.0,1277.0,528.0,1261.0,388.0,1261.0,543.0,1370.0,346.0,1396.0,559.0,1676.0,341.0,1671.0
7,444.0,881.0,455.0,954.0,447.0,806.0,543.0,1364.0,725.0,892.0,579.0,1006.0,335.0,1001.0,590.0,1182.0,320.0,1162.0,538.0,1260.0,361.0,1276.0,527.0,1265.0,387.0,1260.0,543.0,1374.0,351.0,1390.0,559.0,1675.0,341.0,1670.0
8,445.0,881.0,455.0,954.0,447.0,806.0,543.0,1364.0,725.0,891.0,575.0,1006.0,335.0,1001.0,590.0,1183.0,320.0,1162.0,538.0,1261.0,361.0,1276.0,528.0,1266.0,387.0,1261.0,543.0,1375.0,351.0,1390.0,559.0,1676.0,341.0,1671.0
9,445.0,882.0,455.0,955.0,447.0,807.0,543.0,1360.0,725.0,892.0,574.0,1007.0,336.0,1001.0,590.0,1183.0,320.0,1162.0,538.0,1261.0,362.0,1277.0,528.0,1266.0,387.0,1266.0,543.0,1370.0,346.0,1396.0,559.0,1676.0,341.0,1671.0
10,445.0,882.0,455.0,955.0,447.0,807.0,543.0,1364.0,181.0,893.0,579.0,1007.0,336.0,1001.0,590.0,1183.0,320.0,1162.0,538.0,1265.0,362.0,1276.0,528.0,1265.0,383.0,1265.0,543.0,1374.0,346.0,1395.0,559.0,1675.0,341.0,1675.0
11,445.0,883.0,455.0,955.0,447.0,808.0,543.0,1364.0,181.0,893.0,579.0,1007.0,336.0,1002.0,590.0,1183.0,320.0,1162.0,538.0,1266.0,362.0,1276.0,527.0,1266.0,388.0,1261.0,543.0,1375.0,346.0,1395.0,559.0,1675.0,341.0,1675.0
12,445.0,886.0,455.0,954.0,447.0,805.0,543.0,1360.0,179.0,891.0,575.0,1006.0,335.0,1000.0,590.0,1183.0,320.0,1167.0,538.0,1266.0,361.0,1276.0,528.0,1266.0,387.0,1266.0,538.0,1370.0,346.0,1401.0,559.0,1672.0,341.0,1672.0
13,445.0,886.0,455.0,954.0,447.0,806.0,543.0,1365.0,726.0,891.0,575.0,1006.0,335.0,1001.0,590.0,1183.0,320.0,1167.0,538.0,1266.0,361.0,1277.0,528.0,1266.0,387.0,1266.0,538.0,1375.0,346.0,1401.0,559.0,1672.0,341.0,1672.0
14,444.0,887.0,455.0,954.0,447.0,806.0,543.0,1365.0,179.0,892.0,574.0,1006.0,335.0,1001.0,590.0,1183.0,320.0,1168.0,538.0,1266.0,361.0,1277.0,528.0,1266.0,387.0,1266.0,538.0,1376.0,346.0,1402.0,559.0,1672.0,340.0,1672.0
15,444.0,886.0,455.0,954.0,447.0,806.0,543.0,1365.0,179.0,891.0,574.0,1006.0,335.0,1001.0,590.0,1183.0,320.0,1167.0,538.0,1266.0,361.0,1276.0,528.0,1266.0,387.0,1266.0,543.0,1375.0,346.0,1396.0,559.0,1672.0,340.0,1672.0
16,444.0,885.0,455.0,953.0,447.0,804.0,543.0,1365.0,178.0,891.0,580.0,1010.0,335.0,1000.0,590.0,1183.0,319.0,1167.0,538.0,1266.0,361.0,1276.0,528.0,1266.0,387.0,1261.0,543.0,1376.0,350.0,1391.0,559.0,1673.0,340.0,1673.0
17,444.0,886.0,454.0,953.0,447.0,805.0,543.0,1365.0,178.0,891.0,579.0,1011.0,334.0,1000.0,590.0,1183.0,319.0,1167.0,538.0,1266.0,361.0,1276.0,527.0,1266.0,387.0,1266.0,543.0,1375.0,350.0,1391.0,559.0,1673.0,340.0,1673.0
18,444.0,885.0,454.0,953.0,447.0,804.0,543.0,1365.0,178.0,891.0,574.0,1005.0,334.0,1000.0,590.0,1188.0,313.0,1167.0,538.0,1266.0,360.0,1277.0,527.0,1266.0,387.0,1266.0,543.0,1376.0,350.0,1392.0,559.0,1673.0,340.0,1673.0
19,444.0,889.0,454.0,957.0,446.0,803.0,543.0,1365.0,726.0,889.0,580.0,1009.0,334.0,1004.0,590.0,1182.0,318.0,1166.0,538.0,1266.0,360.0,1276.0,528.0,1266.0,381.0,1266.0,543.0,1375.0,355.0,1386.0,559.0,1674.0,339.0,1674.0
