,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,449.0,882.0,464.0,952.0,451.0,805.0,538.0,1366.0,474.0,1301.0,583.0,1007.0,349.0,992.0,563.0,1152.0,334.0,1157.0,523.0,1291.0,379.0,1286.0,533.0,1251.0,389.0,1261.0,538.0,1371.0,364.0,1406.0,553.0,1675.0,359.0,1670.0
1,448.0,879.0,463.0,949.0,451.0,807.0,543.0,1362.0,194.0,889.0,583.0,1008.0,344.0,993.0,568.0,1153.0,334.0,1153.0,523.0,1287.0,379.0,1287.0,528.0,1252.0,394.0,1257.0,538.0,1377.0,364.0,1406.0,553.0,1675.0,359.0,1670.0
2,448.0,879.0,463.0,949.0,451.0,807.0,543.0,1362.0,194.0,889.0,582.0,1004.0,349.0,994.0,567.0,1153.0,334.0,1153.0,523.0,1287.0,378.0,1287.0,528.0,1253.0,393.0,1258.0,538.0,1377.0,363.0,1407.0,553.0,1675.0,354.0,1665.0
3,448.0,879.0,463.0,949.0,450.0,806.0,543.0,1363.0,193.0,889.0,583.0,1004.0,348.0,994.0,568.0,1153.0,333.0,1153.0,523.0,1288.0,378.0,1288.0,528.0,1253.0,393.0,1258.0,538.0,1378.0,363.0,1408.0,553.0,1673.0,358.0,1668.0
4,448.0,878.0,463.0,948.0,450.0,805.0,542.0,1362.0,193.0,888.0,582.0,1007.0,348.0,993.0,567.0,1152.0,333.0,1157.0,522.0,1287.0,378.0,1287.0,527.0,1257.0,393.0,1257.0,537.0,1377.0,363.0,1407.0,552.0,1671.0,358.0,1666.0
5,448.0,881.0,463.0,951.0,450.0,804.0,543.0,1366.0,193.0,886.0,583.0,1006.0,343.0,996.0,568.0,1151.0,333.0,1156.0,523.0,1286.0,378.0,1286.0,528.0,1256.0,393.0,1261.0,538.0,1376.0,363.0,1406.0,553.0,1675.0,353.0,1665.0
6,448.0,879.0,463.0,949.0,451.0,807.0,543.0,1361.0,717.0,889.0,582.0,1008.0,344.0,993.0,567.0,1153.0,334.0,1153.0,528.0,1287.0,379.0,1287.0,528.0,1252.0,393.0,1257.0,538.0,1376.0,364.0,1406.0,553.0,1675.0,354.0,1665.0
7,448.0,879.0,463.0,949.0,451.0,807.0,543.0,1361.0,717.0,889.0,583.0,1008.0,344.0,993.0,568.0,1152.0,334.0,1157.0,528.0,1287.0,379.0,1287.0,528.0,1252.0,394.0,1257.0,538.0,1371.0,364.0,1406.0,553.0,1674.0,354.0,1665.0
8,448.0,881.0,463.0,950.0,451.0,809.0,542.0,1366.0,196.0,891.0,582.0,1005.0,344.0,995.0,572.0,1153.0,330.0,1158.0,527.0,1287.0,379.0,1287.0,527.0,1252.0,394.0,1257.0,542.0,1376.0,364.0,1405.0,552.0,1673.0,354.0,1668.0
9,448.0,881.0,463.0,950.0,451.0,809.0,542.0,1370.0,196.0,891.0,582.0,1004.0,344.0,994.0,572.0,1148.0,330.0,1158.0,527.0,1286.0,379.0,1286.0,527.0,1257.0,389.0,1262.0,542.0,1375.0,364.0,1405.0,552.0,1672.0,354.0,1667.0
10,448.0,881.0,463.0,950.0,451.0,809.0,542.0,1366.0,196.0,891.0,582.0,1004.0,344.0,995.0,572.0,1153.0,329.0,1158.0,527.0,1287.0,379.0,1287.0,527.0,1252.0,394.0,1257.0,542.0,1376.0,364.0,1406.0,552.0,1673.0,359.0,1668.0
