,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,476.0,796.0,570.0,875.0,523.0,714.0,274.0,1250.0,199.0,796.0,585.0,929.0,595.0,904.0,511.0,1146.0,481.0,1102.0,323.0,1191.0,343.0,1161.0,580.0,1250.0,555.0,1211.0,269.0,1255.0,298.0,1201.0,333.0,1566.0,367.0,1502.0
1,476.0,796.0,570.0,875.0,523.0,715.0,274.0,1250.0,200.0,796.0,585.0,925.0,590.0,905.0,506.0,1147.0,481.0,1102.0,323.0,1186.0,333.0,1166.0,580.0,1245.0,555.0,1211.0,269.0,1260.0,299.0,1201.0,333.0,1566.0,368.0,1502.0
2,481.0,793.0,570.0,876.0,523.0,717.0,270.0,1250.0,201.0,798.0,584.0,926.0,594.0,906.0,506.0,1147.0,481.0,1102.0,324.0,1186.0,338.0,1166.0,579.0,1245.0,555.0,1211.0,270.0,1260.0,299.0,1201.0,334.0,1565.0,363.0,1506.0
3,481.0,792.0,570.0,876.0,523.0,716.0,274.0,1250.0,200.0,797.0,584.0,925.0,589.0,906.0,506.0,1147.0,481.0,1102.0,324.0,1186.0,338.0,1161.0,580.0,1245.0,555.0,1211.0,269.0,1260.0,299.0,1201.0,333.0,1565.0,363.0,1501.0
4,481.0,792.0,570.0,876.0,523.0,716.0,274.0,1250.0,200.0,797.0,585.0,925.0,585.0,910.0,506.0,1147.0,481.0,1102.0,323.0,1186.0,338.0,1166.0,580.0,1245.0,555.0,1211.0,269.0,1260.0,304.0,1201.0,333.0,1565.0,363.0,1501.0
5,481.0,797.0,569.0,876.0,523.0,716.0,274.0,1250.0,200.0,797.0,584.0,925.0,584.0,910.0,505.0,1147.0,481.0,1102.0,323.0,1191.0,338.0,1161.0,579.0,1245.0,555.0,1206.0,269.0,1260.0,299.0,1201.0,333.0,1565.0,368.0,1501.0
6,481.0,793.0,569.0,877.0,523.0,717.0,270.0,1250.0,201.0,798.0,584.0,926.0,589.0,906.0,501.0,1147.0,481.0,1102.0,324.0,1191.0,338.0,1166.0,579.0,1245.0,555.0,1210.0,270.0,1260.0,299.0,1201.0,334.0,1569.0,363.0,1505.0
7,481.0,793.0,569.0,877.0,513.0,717.0,275.0,1245.0,201.0,798.0,584.0,926.0,594.0,906.0,505.0,1147.0,481.0,1098.0,324.0,1186.0,338.0,1161.0,579.0,1245.0,554.0,1211.0,270.0,1260.0,299.0,1201.0,333.0,1569.0,363.0,1505.0
8,481.0,798.0,569.0,876.0,523.0,717.0,274.0,1245.0,200.0,798.0,584.0,926.0,589.0,911.0,505.0,1147.0,481.0,1103.0,323.0,1186.0,338.0,1167.0,579.0,1245.0,554.0,1211.0,269.0,1260.0,304.0,1201.0,333.0,1565.0,368.0,1501.0
9,481.0,798.0,569.0,876.0,522.0,717.0,274.0,1250.0,200.0,798.0,584.0,926.0,589.0,911.0,505.0,1147.0,481.0,1098.0,323.0,1186.0,338.0,1162.0,579.0,1245.0,554.0,1211.0,269.0,1260.0,299.0,1196.0,333.0,1570.0,368.0,1506.0
10,481.0,798.0,569.0,876.0,522.0,717.0,274.0,1250.0,200.0,798.0,584.0,926.0,589.0,911.0,505.0,1147.0,481.0,1098.0,323.0,1186.0,338.0,1162.0,579.0,1245.0,554.0,1211.0,269.0,1260.0,299.0,1196.0,333.0,1570.0,367.0,1506.0
11,481.0,797.0,569.0,876.0,522.0,716.0,274.0,1250.0,200.0,797.0,584.0,925.0,589.0,910.0,505.0,1147.0,481.0,1097.0,323.0,1186.0,343.0,1161.0,579.0,1245.0,554.0,1211.0,269.0,1260.0,298.0,1196.0,333.0,1565.0,367.0,1501.0
12,481.0,797.0,569.0,876.0,522.0,716.0,274.0,1250.0,200.0,797.0,584.0,925.0,589.0,910.0,505.0,1147.0,481.0,1097.0,323.0,1186.0,343.0,1161.0,579.0,1245.0,554.0,1211.0,269.0,1260.0,298.0,1196.0,333.0,1565.0,367.0,1501.0
13,481.0,798.0,569.0,876.0,522.0,717.0,274.0,1250.0,200.0,798.0,584.0,926.0,589.0,911.0,505.0,1147.0,481.0,1098.0,323.0,1186.0,343.0,1162.0,579.0,1245.0,554.0,1211.0,269.0,1260.0,299.0,1196.0,333.0,1570.0,367.0,1506.0
14,481.0,798.0,569.0,876.0,522.0,717.0,274.0,1250.0,200.0,798.0,584.0,925.0,594.0,906.0,505.0,1147.0,481.0,1098.0,323.0,1186.0,343.0,1161.0,579.0,1245.0,554.0,1206.0,269.0,1260.0,299.0,1196.0,333.0,1569.0,368.0,1506.0
15,476.0,798.0,569.0,877.0,512.0,717.0,274.0,1250.0,201.0,798.0,584.0,926.0,589.0,906.0,505.0,1147.0,481.0,1098.0,323.0,1186.0,338.0,1166.0,579.0,1245.0,554.0,1206.0,269.0,1260.0,299.0,1196.0,333.0,1569.0,368.0,1505.0
16,476.0,798.0,569.0,876.0,513.0,716.0,274.0,1245.0,200.0,798.0,584.0,925.0,584.0,911.0,505.0,1147.0,481.0,1103.0,323.0,1186.0,338.0,1162.0,579.0,1245.0,555.0,1211.0,269.0,1260.0,299.0,1196.0,333.0,1570.0,368.0,1506.0
17,476.0,793.0,569.0,877.0,513.0,717.0,274.0,1245.0,201.0,798.0,584.0,926.0,589.0,906.0,505.0,1147.0,481.0,1098.0,323.0,1186.0,338.0,1167.0,584.0,1245.0,559.0,1211.0,269.0,1260.0,299.0,1196.0,333.0,1569.0,368.0,1506.0
18,476.0,793.0,569.0,876.0,513.0,717.0,274.0,1245.0,200.0,798.0,584.0,926.0,584.0,911.0,505.0,1147.0,481.0,1103.0,323.0,1186.0,338.0,1166.0,584.0,1245.0,555.0,1211.0,269.0,1255.0,299.0,1196.0,333.0,1570.0,368.0,1506.0
19,476.0,793.0,569.0,876.0,513.0,716.0,274.0,1250.0,200.0,798.0,584.0,925.0,584.0,911.0,505.0,1147.0,481.0,1103.0,323.0,1186.0,338.0,1166.0,584.0,1245.0,555.0,1206.0,269.0,1260.0,299.0,1196.0,333.0,1565.0,368.0,1506.0
20,471.0,796.0,565.0,875.0,513.0,715.0,274.0,1245.0,200.0,796.0,580.0,930.0,585.0,910.0,506.0,1147.0,481.0,1102.0,323.0,1186.0,338.0,1166.0,585.0,1245.0,560.0,1211.0,269.0,1260.0,303.0,1196.0,333.0,1566.0,368.0,1507.0
21,471.0,796.0,565.0,875.0,513.0,715.0,274.0,1245.0,200.0,796.0,580.0,930.0,585.0,910.0,511.0,1147.0,481.0,1102.0,323.0,1186.0,338.0,1166.0,580.0,1245.0,555.0,1211.0,269.0,1255.0,299.0,1196.0,333.0,1566.0,368.0,1507.0
22,471.0,796.0,565.0,875.0,513.0,714.0,273.0,1245.0,199.0,796.0,575.0,924.0,590.0,910.0,511.0,1147.0,481.0,1102.0,323.0,1186.0,338.0,1166.0,585.0,1245.0,565.0,1211.0,273.0,1255.0,303.0,1196.0,333.0,1567.0,367.0,1507.0
23,466.0,792.0,560.0,871.0,503.0,716.0,274.0,1245.0,200.0,797.0,575.0,925.0,584.0,910.0,511.0,1147.0,481.0,1102.0,323.0,1186.0,338.0,1167.0,580.0,1245.0,565.0,1211.0,269.0,1255.0,299.0,1196.0,333.0,1566.0,368.0,1507.0
24,466.0,792.0,560.0,871.0,503.0,716.0,274.0,1246.0,200.0,797.0,574.0,925.0,589.0,906.0,510.0,1147.0,481.0,1103.0,323.0,1186.0,338.0,1167.0,584.0,1246.0,564.0,1211.0,269.0,1255.0,298.0,1196.0,333.0,1566.0,367.0,1507.0
